1:7:001:1	Tó yíląąd
1:7:001:0	Ákohgo Bóhólníihii éí Nóah áyidííniid , Ni áádóó bił dah yíkahii t'áá ánółtso k'ad tsinaa'eeł biih wohkááh , háálá t'áá ákogi ánít'éego díí oochíłígíí bitahgi nééhonisin .
1:7:002:0	Naaldlooshii daadą́ą dooleełii t'áá ałtso bitahdóó biką'ii índa bi'áadii tsosts'id níjaa'go bił yah ahidííkah ; naaldlooshii doo daadą́ą da dooleełii éí biką'ii índa bi'áadii naaki níláago bił yah ahidííkah .
1:7:003:0	Nidaat'a'ii biką'ii índa bi'áadii ałdó' tsosts'id níjaa'go bił yah ahidííkah ; nahasdzáán bikáá'góó t'áá át'éé nít'éé' dahináanii ał'ąą ádaat'éii t'áá da'ahílchíih doo biniyé baa áhólyą́ą doo .
1:7:004:0	Áko tsosts'id yiską́ągo shizaad k'ehgo dízdiin jį́ áádóó dízdiin tł'éé' nahałtin doo , áko t'áá ałtso dahináanii ádaashłaaígíí nahasdzáán bikáa'gi ádeeshdįįł .
1:7:005:0	Áko Nóah éí Bóhólníihii hach'į' yee haadzíi'ii t'áá ałtso bi'jiilaa .
1:7:006:0	Nóah éí hastą́ądi neeznádiin binááhaigo nahasdzáán bikáa'gi tó yíląąd .
1:7:007:0	Tó dooląąłígíí biniinaa Nóah áádóó haye'ké áádóó hwe'asdzą́ą́ índa haye'ké bida'asdzą́ą́ t'áá ádzíłtso tsinaa'eeł biih jookai .
1:7:008:0	Naaldlooshii daadą́ą dooleełii áádóó naaldlooshii doo daadą́ą da dooleełii áádóó nidaat'a'ii índa nihokáa'gi nidaa'na'ii t'áá ałtso
1:7:009:0	biką'ii índa bi'áadii naaki níláago Nóah yich'į' tsinaa'eeł yii' yah aheeskai ; Diyin God éí Nóah yich'į' haadzíi'ii yik'eh ádaadzaa .
1:7:010:0	Áádóó ákódzaago tsosts'id yiską́ą́dóó bik'ijį' nahasdzáán bikáa'gi tó bi'niiląąd .
1:7:011:0	Áko Nóah hastą́ądi neeznádiin binááhaigo áádóó naaki nídízííd binih tsosts'idts'áadahgóó yoołkáałgo ts'ídá éí bijį́į́dą́ą́' tónteel bii'dę́ę́' tó hadadziisxaal , áádóó yá ąą ádaadzaago tó dadeeshchxosh .
1:7:012:0	Áko nahasdzáán bikáa'gi nahałtingo dízdiin jį́ índa dízdiin tł'éé' azlį́į́' .
1:7:013:0	Nihihoníłtą́ bijį́į́dą́ą́' Nóah áádóó haye'ké Shem áádóó Ham índa Jéífeth áádóó Nóah be'asdzą́ą́ áádóó haye'ké bida'asdzą́ą́ tált'éego tsinaa'eeł biih jookai .
1:7:014:0	T'áá ádzíłtso áádóó naaldlooshii ał'ąą ádaat'éii áádóó alį́į́' ał'ąą ádaat'éii áádóó nihokáá' nidaa'na'ii ał'ąą ádaat'éii índa nidaat'a'ii ał'ąą ádaat'éii
1:7:015:0	bits'íís dahináago nídadidzihii nináneel'ą́ąjį' naaki níláago Nóah yich'į' tsinaa'eeł yii' yah aheeskai .
1:7:016:0	Diyin God éí Nóah yich'į' haadzíi'ii bik'ehgo yah adahaaskaígíí éí bits'íís dahólóonii ał'ąą ádaat'éii t'áá ałtso bitahdóó biką'ii índa bi'áadii yah aakaii t'áá yił Bóhólníihii hadádi'níłkaal .
1:7:017:0	Dízdiin jį́ nahasdzáán bikáá'góó tó de anool'ąął , áko tó t'áá íiyisí de adínées'ąądgo tsinaa'eeł dah naa'eeł silį́į́' .
1:7:018:0	Áádóó t'ah biláhígo ayóó át'éego tó de náádí'nées'ąądgo nahasdzáán ałtso yik'i diilkǫ' , áko tsinaa'eeł táłkáá' dah dii'éél .
1:7:019:0	Tó alááh nool'ąądgo nahasdzáán ałtso yik'i diilkǫ' áádóó dził aghádaaz'á yę́ę yá biyaagi t'áá níłtéél nít'éé' ałtso tó bik'i dadiilkǫ' .
1:7:020:0	Naadiin naakidóó náá'áłníí' ké silá ánízáádgóó tó néés'ąądgo dził ałtso yik'i diilkǫ' .
1:7:021:0	Áko nahasdzáán bikáa'gi bits'íís hólǫ́ǫgo naaldeehii t'áá ałtso : éí nidaat'a'ii áádóó alį́į́' áádóó naaldlooshii áádóó nihokáá'góó nidaa'na'ii índa diné ałdó' ts'ídá ałtso tó ábísdįįd ;
1:7:022:0	nídídzihii nináneel'ą́ąjį' nihokáá'góó naasdee' yę́ę ts'ídá ałtso tó ábísdįįd .
1:7:023:0	Áko ni' bikáa'gi dahináanii ałtso tó ábísdįįd : diné áádóó naaldlooshii áádóó nidaa'na'ii índa nidaat'a'ii éí nahasdzáán bikáa'gi ábi'disdįįd , áko tsinaa'eeł biyi' góne' Nóah hoł hólónígíí t'éiyá t'áá bił dzoodzíí' .
1:7:024:0	Tó éí nahasdzáán t'áá yik'i dilkǫǫhgo neeznádiindóó ba'aan ashdladiin yiską́ .
