1:35:001:1	Bétheldi Diyin God éí Jéíkab yik'ijisdli'
1:35:001:0	Diyin God éí Jéíkab áyidííniid , Dah diinéehgo Béthelgóó dínééh ; áadi kénááhót'į́į doo ; ákwe'é Diyin God bich'į' náádi'yííłnih biniyé bikáá' náá'iiniihí ádíílííł ; nínaaí Íísa bits'ą́ą́' yóó'íínílwod yę́ędą́ą́' ákwii nich'į' yit'íní í'diishyaa .
1:35:002:0	Ákohgo Jéíkab éí ba'áłchíní índa yił naakaígíí t'áá ałtso áyidííniid , Ana'í bi'eda'alyaii nihee dahólóonii yóó'adahołtł'iid áádóó ádąąh dahołdééh , índa danihi'éé' ła' biih náádaahkai .
1:35:003:0	Áko sołtį' , Béthel góde dii'nééł ; áadi Diyin God bich'į' náádi'yeesh'nih biniyé bikáá' náá'iiniihí ádeeshłííł ; shich'į' nahwii'ná yę́ędą́ą́' éí shich'į' ééhoosinii éí t'áá naasháágóó shaa áhályą́ą́ nít'éé' .
1:35:004:0	Áko ana'í bi'eda'alyaii nidajijaahígíí t'áá a łtso índa jaatł'óół hajaa' bighá daaz'áhígíí Jéíkab baa dadziiznil , áko Jéíkab éí Shííkem bíighahgi chéch'il biyaagi nooh yishchį́ .
1:35:005:0	Áko índa dah náádazhdii'ná , áko éí dahanaagóó kin hadaas'áhígíí Diyin God bik'ee hoł daayéé' , áko Jéíkab biye'ké t'áadoo yich'į' dadeezbaa' da .
1:35:006:0	Áádóó Kéínan kéyahgi Luz kin shijaa'di éí biyi' ( t'áá éí Béthel hoolyéhígi ) ; Jéíkab índa diné bił nijikaígíí t'áá ałtso bił jíkai .
1:35:007:0	Ákwe'é bikáá' náá'iiniihí ájiilaa , áko éí haz'ánígi El Béthel hoolyée doo , jidííniid , háálá hánaaí bits'ą́ą́' yóó'ajoolwod yę́ędą́ą́' ákwe'é Diyin God hach'į' yit'íní í'diilyaa .
1:35:008:0	Áko Déborah éí Rebékah bineesánígíí daaztsą́ągo Béthel biyeijígo chéch'il biyaagi łeeh bi'dooltį́ ; ákwe'é Álan-bákoth hoosye' .
1:35:009:0	Áko Diyin God éí Jéíkab yich'į' yit'íní í'diilyaa ; Péídan-éíramdę́ę́' ch'íná'náago bik'ijisdli' .
1:35:010:0	Áádóó Diyin God ábidííniid , Jéíkab éí nízhi' ; k'ad éí doo Jéíkab yinílyée da doo , nidi Ízrel yinílyée doo , áádóó Ízrel yee hóózhi' .
