4:8:001:1	Éran éí bee hool'iní deidiiłtłah
4:8:001:0	Áádóó Bóhólníihii éí Mózes yich'į' haadzíi'go ání, 
4:8:002:0	Éran bich'į' handziihgo ábidiní, Bee hool'iní tsosts'idgo nídiiłtłi'go éí bá yada'ii'áhígíí bílátahdóó bidáahjigo bee ni'deezdíin doo. 
4:8:003:0	Áko Éran t'áá ákó'iilaa; bá yada'ii'áhígíí yidááhdóó sizį́įgo bee hool'iní deidiiłtłah; Bóhólníihii éí Mózes áyidííniidígíí bi'jiilaa. 
4:8:002:1	Líívai dine'é diyingo bits'ąą dahasti'
4:8:004:0	Díí bee hool'iní bá yada'ii'áhígíí bee ályaii éí óola t'áá bízhání t'áá bitł'ááhdę́ę́' bich'ilátah hózhóón nahalingo naashch'ąą'íjį' óola yitseedgo bee ályaa; bee hool'iní bá yada'ii'áhígíí ádoolníiłgi Bóhólníihii éí Mózes yich'į' yit'íní áyiilaa yę́ę bik'ehgo ájiilaa.  
4:8:005:0	Áko Bóhólníihii éí Mózes yich'į' haadzíi'go ání, 
4:8:006:0	Ízrel dine'é bitahdę́ę́' Líívai dine'é bits'áníníiłgo bąąh dah hodííłdah. 
4:8:007:0	Bąąh dah hółdéehgo kódíílííł; tó yee ádadidooldahígíí bik'ídadííłtah, áádóó bits'íís bikáá'góó t'áá át'é deidooshih índa bi'éé' deidoogisgo t'áá bí ádadidooldah. 
4:8:008:0	Índa bíni'dii dóola yázhí nídeididoolóosgo áádóó ak'áán nááhániihii éí ak'áán dibahí ak'ah bił ałtahgo ályaaígíí óóltą'go índa dóola yázhí náánáła' éí ádił ni'iidzííhjí nááhániihii át'éego náádeidiyoołnih. 
4:8:009:0	Áádóó níbaal bii' dahozdísinii bich'éédą́ą'gi Líívai dine'é nidíí'ish, índa Ízrel dine'é t'áá dah yinééł nít'éé' áłah ádíílííł. 
4:8:010:0	Áko Bóhólníihii binááł Líívai dine'é nidíí'ishgo Ízrel dine'é Líívai dine'é yik'i dah dadidoolnih, 
4:8:011:0	áádóó Éran éí Líívai dine'é nilíinii Bóhólníihii binááł náásee bił nídi'dilnihgo náá'iiniihígi át'éego Ízrel dine'é bá baa hozhdidoo'ááł, áko Bóhólníihii yá nidaal'a'go nidaalnish doo. 
4:8:012:0	Áko Líívai dine'é éí dóola yázhí bitsiit'áagi dah dadidoolnih, áádóó ła' éí ádił ni'iidzííhjí nááhániihii át'éego índa ła'ígíí didlidgo nááhániihii át'éego Bóhólníihii bich'į' nááhidííłnih; éí Líívai dine'é bá bee k'ééhodoodǫǫł biniyé nááhidííłnih. 
4:8:013:0	Éran áádóó biye'ké binááł Líívai dine'é nidíí'ishgo Bóhólníihii bich'į' náásee bił nídi'dilnihgo nááhániihígi át'éego baa didíí'ááł. 
4:8:014:0	Líívai dine'é ats'ádííniłgo Ízrel dine'é bitahgóó Líívai dine'é éí shí doo. 
4:8:015:0	Ákódzaadóó bik'ijį' Líívai dine'é éí nidaal'a' doo biniyé níbaal bii' dahozdísinii góne' yah adookah; bąąh dah dahodííłdahgo náásee bił nídi'dilnihgo náá'iiniihígi át'éego náádahodiyííłnih. 
4:8:016:0	Háálá éí Ízrel dine'é bits'ą́ą́dóó t'áá íiyisí shaa ho'deet'ą́; éí Ízrel dine'é t'áá ałtso alą́ąjį' daazhchíinii bitsásk'ehgi Líívai dine'é ádá nídiish'nil. 
4:8:017:0	Ízrel dine'é alą́ąjį' nidahaazhchíinii t'áá ałtso shí; éí t'áá áłah diné danilínígíí áádóó alį́į́' éí Ííjip kéyahdi alą́ąjį' daazhchíinii niséłtseed bijį́į́dą́ą́' ádá áásésįįdgo diyingo nidiní'ą́. 
4:8:018:0	Áádóó Ízrel dine'é alą́ąjį' daazchíinii t'áá ałtso bitsásk'ehgi Líívai dine'é nídiinil. 
4:8:019:0	Líívai dine'é aa yílyáii dajílį́įgo Ízrel dine'é bits'ą́ą́dóó Éran áádóó biye'ké baa honínil; éí níbaal bii' dahozdísinii góne' Ízrel dine'é bá nidajil'a' doo áádóó Ízrel dine'é bá k'éédahojoołdǫǫł doo, áko Ízrel dine'é bitahgi doo naałniih doołnih da; Ízrel dine'é éí níbaal bii' hodílzinii yit'áahjį' nídadikahgo ákót'ée doo. 
4:8:020:0	Kót'éego Mózes áádóó Éran índa Ízrel dine'é dah yinéełii t'áá ałtso Bóhólníihii éí Mózes yich'į' yee haadzí'ígíí t'áá át'é bik'ehgo Ízrel dine'é éí Líívai dine'é bídadéét'i'ii bá baa nidziskai. 
4:8:021:0	Líívai dine'é ádadooldee' índa bi'éé' deizgis, áádóó Éran éí Bóhólníihii binááł náásee bił nídi'dilnihgo náá'iiniihígi át'éego nááhwiisnii', índa Éran éí bee há k'ééhodǫǫłii bee ho'dííłdee'. 
4:8:003:1	Líívai dine'é naanish yíighah nidadi'yoołeełii
4:8:022:0	Áádóó bik'ijį' Líívai dine'é nidaal'a' doo biniyé níbaal bii' dahozdísinii góne' yah eekaigo Éran áádóó biye'ké bá nidajil'a'; Bóhólníihii éí Mózes yich'į' yee haadzí'ígíí bik'ehgo Líívai dine'é bídéét'i'go bá áda'jiilaa. 
4:8:023:0	Áádóó Bóhólníihii éí Mózes yich'į' haadzíi'go ání, 
4:8:024:0	Díí éí Líívai dine'é bídadéét'i': naadiin ashdla'dóó yówehgo béédááhaígíí éí níbaal bii' dahozdísinii góne' nidaal'a' doo, 
4:8:025:0	índa ashdladiindóó yówehgo nibéédahaháahgo binaanish yíighah nida'iiłeeh doo áádóó doo nináádaal'a' da doo, 
4:8:026:0	nidi dabik'isóó níbaal bii' dahozdísinii góne' áká anídaalwo'go t'áadoo le'é yaa ádahalyą́ą doo; t'áá bí t'éí doo yéego nidaalnish da doo. Díí kót'éego Líívai dine'é bídadéét'i'ii hazhó'ó ádíílííł.
