4:26:001:1	Mó'ab kéyahgi Ízrel dine'é dabi'déélta'
4:26:001:0	Áko nahasnii' yę́ędóó bik'ijį' Bóhólníihii éí Mózes áádóó náá'iiłniihii Éran biye' Eliyéízar yich'į' haadzíi'go ání, 
4:26:002:0	Ízrel dine'é dabizhé'é yę́ę ba'áłchíní náás ahoolchíiłii t'áá ałtso bik'ehgo naadiindóó yówehgo béédááhaii ana'al'į́ yídaneel'áanii t'áá ałtso Ízrel dine'é bitahgi yídóoł tah. 
4:26:003:0	Áádóó Mózes índa náá'iiłniihii Eliyéízar éí Mó'ab kéyah dadzígaigi Jórdan tooh nílíní bíighahgi Jériko binaashiijí hach'į' hahaasdzíi'go ání, 
4:26:004:0	Diné deínółta'; éí naadiindóó yówehgo béédááhaii Bóhólníihii éí Mózes índa Ízrel dine'é yich'į' yee haadzíi'ii át'é. Ííjip kéyahdę́ę́' ch'íná'nánígíí: 
4:26:005:0	Éí Rúben, Ízrel dine'é alą́ąjį' bá yizhchínígíí: Rúben biye' Héínak ba'áłchíní Héínak dine'é danilį́. Rúben biye' Pállu ba'áłchíní Pállu dine'é danilį́. 
4:26:006:0	Rúben biye' Hézran ba'áłchíní Hézran dine'é danilį́. Rúben biye' Kármii ba'áłchíní Kármii dine'é danilį́. 
4:26:007:0	Díí éí Rúben dine'é bada'áłchíní náás ahoolchíiłii ádaat'į́. Áko éí dízdiindóó ba'aan tádiindi mííldóó ba'aan tsosts'idi neeznádiindóó ba'aan tádiingo ánéelą́ą́'. 
4:26:008:0	Áádóó Pállu biye' Iiláíyab wolyé. 
4:26:009:0	Índa Iiláíyab biye'ké Nému'el, Déíthan índa Abáíram dabidi'ní. Díí dah oonééł bitahdóó Déíthan áádóó Abáíram néidiinilígíí éí Kórah yiłgo Mózes áádóó Éran yighada'dit'áahgo Bóhólníihii yich'į' nidaalteeh yę́ę ádaat'į́. 
4:26:010:0	Áko éí ni' ąą áhoodzaago Kórah t'áá hoł aho'doolna'go ádadzisdįįd, índa naakidi neeznádiindóó ba'aan ashdladiingo ázhnéelą́ą'go kǫ' ahodííłk'ą́ą́'. Áko éí bee ééhózinii dadzizlį́į́'. 
