4:25:001:1	Ízrel dine'é éí Béíyal-píyor yich'į' dahodeesáá'
4:25:001:0	Shíttimgi Ízrel dine'é kééhat'į́įgo Mó'ab dine'é bitsi'ké yił ajił yaa nídiikai. 
4:25:002:0	Mó'ab dine'é bidiyin dabidi'níinii yich'į' nááda'iiłniihjį' Ízrel dine'é hágo deiłníigo índa yił da'ayą́ągo áádóó bidiyin dabidi'níinii yich'į' yaa áńdaat'įįhgo nidahałá. 
4:25:003:0	Áko Ízrel dine'é éí Béíyal-píyor ida'alyaii yikéé' dah diikai; éí bąą Bóhólníihii éí Ízrel dine'é yich'į' báhóóchįįd. 
4:25:004:0	Áádóó Bóhólníihii éí Mózes ííłní, Diné bitahdóó hastóí aląąjį' naazíinii t'áá ałtso éí Bóhólníihii binááł shą́ą'jį' dahidiinííł, áko Bóhólníihii t'óó báhádzidgo yee bánáháchįįhígíí Ízrel dine'é bits'ą́ąjį' kónídoo'nííł. 
4:25:005:0	Áko Mózes éí Ízrel dine'é yá ándahodii'aahii ííłní, Nihidine'é bitahdóó Béíyal-píyor ida'alyaii yikéé' dah dahidiikaígíí t'áá ałtso nidaałtseed. 
4:25:006:0	Shoo, Ízrel dine'é ła' níyáago Mídiyan dine'é asdzání léi' éí Mózes áádóó Ízrel dine'é dah yinéłígíí t'áá ałtso binááł hak'isóó bitahjį' bił yah ajíí'áázh; jó, Ízrel dine'é éí níbaal bii' dahozdísinii bich'éédą́ą'gi daacha. 
4:25:007:0	Áko Eliyéízar biye' Fíniyas éí Éran náá'iiłniihii nilį́į́ nít'éé' yę́ę binálí díí yiyiiłtsą́ągo dah oonééłdóó dah diiyáago tsiidétáán néidiitą́. 
4:25:008:0	Áko Ízrel diné áádóó Mídiyan dine'é asdzání bikéé' níbaal góne' yah ajoolwodgo t'áá áłah bitsą́'nii' góne' yighá'níłgeed. Kódzaago Ízrel dine'é éí naałniih bits'áldoh. 
4:25:009:0	Áko naałniih dahóóghą́'ígíí naadiin dį́įdi mííl ázhnéelą́ą́'. 
4:25:010:0	Áádóó Bóhólníihii éí Mózes ííłní, 
4:25:011:0	Eliyéízar biye' Fíniyas éí Éran náá'iiłniihii nilį́į́ nít'éé' yę́ę binálí Ízrel dine'é baa łe'nisinígi át'éego łe'nízingo sháhóóchįįdígíí Ízrel dine'é yits'ą́ąjį' kóyiilaa, áko baa łe'nisingo ábi'niiłdįįdígíí t'áadoo atíshłaa da. 
4:25:012:0	Éí bąą shá kódidííniił, Jó, hózhǫ́ǫ́jí bee aha'deet'ą́ baa diní'ą́. 
4:25:013:0	Áko bí doo, índa ba'áłchíní náás ahoolchííłgóó ałdó' daabí doo; nááda'iiłniihii bibee aha'deet'áanii hool'áágóó daabí doo, háálá biDiyin God yá łe'nízingo Ízrel dine'é yá k'ééhásdǫǫd. 
4:25:014:0	Ízrel dinéhígíí éí Mídiyan dine'é asdzání nilíinii bił naho'diztseed yę́ę éí Zímrai joolyéego éí Símiyan dine'é bizhé'é yę́ę bits'ą́ą́dóó náás ahoolchíiłii Séílu aląąjį' sizíinii biye' jílį́į́ nít'éé'. 
4:25:015:0	Índa Mídiyan dine'é asdzání bi'diisyínígíí éí Kázbai wolyéego éí Mídiyan dine'é bizhé'é yę́ę bits'ą́ą́dóó náás ahoolchíiłii ła' Zer aląąjį' sizíinii yitsi' nilį́į́ nít'éé'. 
4:25:016:0	Áádóó Bóhólníihii éí Mózes ííłní, 
4:25:017:0	Mídiyan dine'é bich'į' nidahoyołnáago nidaałtseed, 
4:25:018:0	háálá bindahagiz yee nihich'į' nidahwiiłnáá nít'éé'; éí Píyor bich'į' nahadláhígíí índa Mídiyan dine'é bilah Kázbai wolyéii biniinaa nihida'deezlo'; éí Mídiyan dine'é yá aląąjį' sizíinii yitsi' nilį́į́ nít'éé'; Píyor bich'į' nahadláii biniinaa naałniih níłnii' bijį́į́dą́ą́' bi'diisyį́.
