4:17:001:1	Éran bigish
4:17:001:0	Áko Bóhólníihii éí Mózes yich'į' haadzíi'go ííłní, 
4:17:002:0	Ízrel dine'é bich'į' handziihgo dabizhé'é yę́ę náás ahoolchíłígíí gish bik'eh nítą́ągo nídidíínił; bá aląąjį' naazíinii t'áá ałtso dabizhé'é yę́ę náás ahoolchíiłii bik'ehgo gish naakits'áadahgo nídidííniłgo dine'é łá'í jinízínígo dahagish bikáa'gi házhi' ádadííliił. 
4:17:003:0	Áádóó Líívai dine'é bigish bikáa'gi éí Éran bízhi' ádíílííł; Ízrel dine'é dahazhé'é yę́ę náás ahoolchíiłii bá aląąjį' nidzizíinii gish t'ááłá'í hak'eh nítą́ą doo. 
4:17:004:0	Éí níbaal bii' dahozdísingi tsits'aa' dílzinii neeznáago bik'eh ó'oo'níiłii bee bééhániihii bii' sinilii bidááhdóó nihił ahínéishkahígi nidadoohnił. 
4:17:005:0	Ákohgo diné bigish nídideeshtį́łígíí éí ch'ilátah hózhóón bąąh hodooleeł, áádóó Ízrel dine'é nich'į' saad dahółónígíí dabidideeshxił. 
4:17:006:0	Áko Mózes éí Ízrel dine'é yich'į' haadzíí', áádóó aląąjį' nidzizíinii t'áá ádzíłtso dahagish Mózes baa dadziiznil; dahazhé'é yę́ę náás ahoolchíiłii bik'ehgo aląąjį' nidzizíinii gish t'ááłá'í hak'eh nítą́, áko gish naakits'áadahgo Éran bigish éí dahagish bitah sitą́. 
4:17:007:0	Áádóó Mózes éí níbaal bii' hodílzinii bii' neeznáago bik'eh ó'oo'níiłii bee bééhániihii si'ánígi Bóhólníihii bidááhdóó gish niinínil. 
4:17:008:0	Áko biiskání Mózes éí níbaal bii' hodílzinii bii' neeznáago bik'eh ó'oo'níiłii bee bééhániihii si'ání góne' yah ajííyáá nít'éé'; jó, Éran bigish éí Líívai dine'é bá sitánígíí bąąh hada'neesą́ągo bílátah da'iigaigo bąąh bineest'ą' álman wolyéhígíí dadínéesą́ą́ lá. 
4:17:009:0	Ákohgo Mózes éí Bóhólníihii bits'ą́ą́dóó gish t'áá át'é Ízrel dine'é yich'į' ch'íiníjaa', áko deinééł'į́į'go diné łá'í nízínígo dabigish nídeidiyiitą́. 
4:17:010:0	Áádóó Bóhólníihii éí Mózes ííłní, Éran bigish éí tsits'aa' dílzinii neeznáago bik'eh ó'oo'níiłii bee bééhániihii bii' sinilii bidááhdóó ninánítį́į́h; éí bá bee ééhózinii át'éego hasht'e'sitą́ą doo, áádóó shich'į' saad dahółónígíí dabididííłhił, áko doo dadínóonéeł da. 
4:17:011:0	Áádóó Mózes ákódziidzaa; Bóhólníihii hach'į' yee haadzí'ígíí bik'ehgo ádziidzaa. 
4:17:012:0	Ízrel dine'é éí Mózes yich'į' hadaasdzíi'go ádeiłní, Jó, danii'né, ánihi'niidįįd; t'áá áníiltso ánihi'niidįįd. 
4:17:013:0	T'áá ałtso Bóhólníihii biníbaal bii' hodílzinii bit'áahjį' nehekáhígíí daniné. T'áásh áníiltso dadíníi'nééł lá?
