4:19:001:1	Chin bąąh dahólóonii bąąh dadooldah
4:19:001:0	Áko Bóhólníihii éí Mózes áádóó Éran yich'į' haadzíi'go ání, 
4:19:002:0	Díí bee haz'áanii biyi' bik'eh hoogáałii át'é: Bóhólníihii yee haadzíi'go ání, Ízrel dine'é bił hołne'; éí béégashii yáázh bi'áadii łichí'ígíí hadaałt'éii índa t'ah doo azéédéetání bizéédéetįįhígíí nihaa deidoolóós. 
4:19:003:0	Áádóó náá'iiłniihii Eliyéízar baa doohłóosgo níbaal haal'á bits'áhwiiní'ą́ąjį' ch'íidoolóós, índa t'áá binááł diyoolyééł, 
4:19:004:0	áádóó náá'iiłniihii Eliyéízar éí béégashii bidiłígíí yiih nídílnihgo níbaal bii' dahozdísinii bidáahjigo tsosts'idi yik'íidoołtah. 
4:19:005:0	Béégashii bikágí, áádóó bitsį', áádóó bidił índa bichaan hanááł didoodlił, 
4:19:006:0	áádóó náá'iiłniihii éí dilk'is áádóó ch'il hísap wolyéhígíí índa tł'óół łichxí'ígíí néididooniłgo béégashii yáázh bi'áadii didlidgo dook'ą́ą́ł góne' iidiyoołkał. 
4:19:007:0	Áko índa náá'iiłniihii bi'éé' yidoogis, áádóó naazbį́į́'dóó bik'ijį' índa níbaal haal'áajį' nídoodááł, nidi i'íí'ą́ąjį' chin bąąh hólǫ́ǫ doo. 
4:19:008:0	Áádóó béégashii yáázh bits'íís yiidííł idígíí bi'éé' yidoogis índa nidoobeeł, áko i'íí'ą́ąjį' chin bąąh hólǫ́ǫ doo. 
4:19:009:0	Áko diné doo chin bąąh hólóonii ła' éí béégashii yáázh bi'áadii bit'eesh néididoojihgo níbaal haal'á bits'áhwiiní'ą́ądi yá'áhoot'éehjį' niidoojih; éí t'áá sahdii nideet'áanii tó biih nájihgo ádił ni'iidzííh ididoodah biniyé Ízrel dine'é bá hasht'e'shijaa' doo. 
4:19:010:0	Áádóó éí béégashii yáázh bi'áadii bit'eesh ahaniiníjaa'ígíí bi'éé' yidoogis, áko i'íí'ą́ąjį' chin bąąh hólǫ́ǫ doo, índa éí Ízrel dine'é áádóó hatahgi dé'éyóní t'óó átsééd kééhat'íinii bił díí hool'áágóó há yee nihoní'áanii át'é. 
4:19:011:0	Diné t'áá háiida éí diné daaztsą́ągo bits'íís yíhidéé'náa'go éí tsosts'id yiską́ąjį' chin bąąh hólǫ́ǫ doo. 
4:19:012:0	Ákohgo táá' yiską́ągo éí tó yee ádidooldah áádóó tsosts'id yiską́ąjį' doo chin bąąh hólǫ́ǫ doo, nidi táá' yiską́ągo t'áadoo ádooldee'góó tsosts'id yiską́ąjį' chin bąąh hólǫ́ǫ doo. 
4:19:013:0	T'áá háiida éí diné ła' daaztsą́ągo bits'íís yíhidéé'náa'go t'áadoo ádooldee'góó éí Bóhólníihii biníbaal bii' hodílzinii yidoołchxǫǫł; éí Ízrel dine'é bits'ą́ąjį' bidi'yoolyééł; tó bee i'didéehgo nideet'áanii doo bik'ístahgóó biniinaa chin bąąh hólǫ́ǫ doo; jó, t'áá bí chin t'ahdii bąąh hólǫ́. 
4:19:014:0	Díí bee haz'áanii át'é: níbaal góne' diné ła' dadziztsą́ągo ákóne' yah ahikáhígíí áádóó ákóne' dahólónígíí t'áá ał tso éí tsosts'id yiską́ąjį' chin bąąh dahólǫ́ǫ doo. 
4:19:015:0	T'áá ákót'éego ałdó' łeets'aa' doo bidada'deez'ánígíí t'áá át'é chin bąąh hólǫ́ǫ doo. 
4:19:016:0	Áádóó t'áá háiida dzígaidi diné ła' diltłish bee seesyį́įgo, doodaii' ats'íís daaztsą́ągo, doodaii' diné bits'in ła', doodaii' jishcháa'da bíhizhdéé'náa'go éí tsosts'id yiską́ąjį' chin bąąh hólǫ́ǫ doo. 
4:19:017:0	Chin bąąh hólóonii bá béégashii yáázh bi'áadii bit'eesh ádił ni'iidzííh iidiłdééh biniyé łeets'aa' bee t'eesh haidookáałgo tó nílínídę́ę́' tó ła' néididookáałgo yik'i yeidooził, 
4:19:018:0	áádóó doo chin bąąh hólóonii ch'il hísap wolyéii tó yiih yidoołjołgo níbaal áádóó łeets'aa' t'áá át'é áádóó ákóne' naháaztáanii índa tsinda, doodaii' seesyíinii, doodaii' daaztsáanii, doodaii' jishcháá' yíhidéé'ná'ígíí bik'ízhdoołtah, 
4:19:019:0	áko doo chin bąąh hólóonii éí chin bąąh hólónígíí táá' yiską́ągo, áádóó tsosts'id yiską́ągo tó yik'íidoołtah, áko tsosts'id yiską́ąjį' doo chin bąąh hólóonii éí chin bąąh hólónígíí yąąh hodoołdah; éí bi'éé' yidoogis áádóó tá'ádidoogis, áko i'íí'ą́ągo índa chin bąąh ádin doo. 
4:19:020:0	Nidi diné chin bąąh hólóonii doo ádooldee'góó éí Ízrel dine'é bits'ą́ąjį' bidi'yoolyééł, háálá Bóhólníihii biníbaal bii' hodílzinii jííłchxǫ'; tó bee i'didéehgo nideet'áanii éí t'áadoo hak'ístah da; éí t'ah chin bąąh hólǫ́. 
4:19:021:0	Áko díí ahóyéel'áágóó há yee nihoní'áanii át'é: tó bee i'didéehgo nideet'áanii tó ak'íístahígíí bi'éé' yidoogis, áádóó tó bee i'didéehgo nideet'áanii bíhizhdéé'náa'go i'íí'ą́ąjį' chin bąąh hólǫ́ǫ doo. 
4:19:022:0	Áádóó chin bąąh hólóonii t'áá ha'át'íhída bídahizhdiyii'náhígíí chin bąąh hólǫ́ nidahaleeh, índa t'áá háiida éí chin bąąh hólǫ́ nidahaleehígíí bíhizhdéé'náa'go i'íí'ą́ąjį' chin bąąh hólǫ́ǫ doo.
