4:28:001:1	T'áá ákwíí jį́ náádahaniihii
4:28:001:0	Áádóó Bóhólníihii éí Mózes yich'į' haadzíi'go ííłní, 
4:28:002:0	Ízrel dine'é bich'į' bee nihoní'aahgo kóbidiní, Shinááhániihii éí ch'iyáán shich'į' didlidgo łikání halchingo nááhíłniih doo, áko díí baa nídahwiilzhíísh góne' áńdaał'įįhgo shich'į' náádahołniih doo. 
4:28:003:0	Índa kódabididííniił, Díí didlidgo nááhániihii éí Bóhólníihii bich'į' náádahołniih dooleełígíí éí dibé yázhí naakigo ła' binááhaaí hadaałt'éii t'áá ákwíí jį́ áłahjį' didlidgo náádahołniih doo. 
4:28:004:0	Abínígo dibé yázhí ła' náádahołniih doo; ła'ígíí éí e'e'áahgo náádahołniih doo; 
4:28:005:0	ómer bee í'neel'ąąhí bee ak'áán t'ááłáhídi haaką́ągo éí kwáart bee í'neel'ąąhí áníłtsooígíí bíighahgo bee ak'ah ník'íbí'neeshtłishii haaką́ągo bił ałtahgo ak'áán náádahołniih doo. 
4:28:006:0	Áko díí t'áá ákwíí jį́ didlidgo náá'iiniihii át'é; éí Dził Sáínaidi bee nihoot'áanii éí łikání halchingo Bóhólníihii bich'į' didlidgo nááhániih doo biniyé át'é. 
4:28:007:0	Índa yanáadzi'go nááhániihii éí kwáart bee í'neel'ąąhí bee wáin t'ááłáhídi haaką́ągo dibé yázhí t'ááłá'ígo bił náádahołniih doo; hodiyingo haz'ą́ągi wáin bidziilii yanáadzi'go nááhániihii Bóhólníihii bich'į' náádahołniih doo. 
4:28:002:1	Háá'áyį́į́h jį́ áádóó náhidizíidgo náádahaniihii
4:28:008:0	Áádóó dibé yázhí ła'ígíí éí e'e'áahgo náádahołniih doo; abínígo ak'áán nááhániihígi át'éego índa yanáadzi'go nááhániihígi át'éego náádahołniihgo Bóhólníihii bich'į' didlidgo łikání halchingo nááhániihii át'ée doo. 
4:28:009:0	Áko háá'áyį́į́h jį́į́ góne' éí dibé yázhí naakigo ła' binááhaaí hadaałt'éii éí ómer bee í'neel'ąąhí bee ak'áán naakidi haaką́ągo ak'ah bił ałtahgo áádóó yanáadzi'go nááhániihii t'áá bił ahóóltą'go náádahołniih doo. 
4:28:010:0	Díí éí háá'áyį́į́h jį́ ná'ádleeh bik'eh didlidgo nááhániihii ádaat'éego ałdó' náádahołniih doo; ła' éí t'áá ákwíí jį́ didlidgo nááhániih dooígíí índa yanáadzi'go nááhániih dooígíí óóltą' dooleeł.  
4:28:011:0	T'áá nínádízi' bik'eh ła'a jį́į́ góne' nááda'ayoołniihgo didlidgo nááhániihii Bóhólníihii bich'į' náádahołniih dooígíí éí dóola yázhí naakigo, deenásts'aa' t'ááłá'ígo índa dibé yázhí tsosts'idgo ła' béédááhaii hadaałt'éii 
4:28:012:0	índa ómer bee í'neel'ąąhí bee ak'áán táadi haaką́ągo ak'ah bił ałtahgo ak'áán nááhidoonihii át'éego dóola yázhí ła' bóóltą'go bił náádahołniih doo, áádóó ómer bee í'neel'ąąhí bee ak'áán naakidi haaką́ągo ak'ah bił ałtahgo ak'áán náhidoonihii át'éego deenásts'aa' bóóltą'go náádahołniih doo, 
4:28:013:0	áádóó ómer bee í'neel'ąąhí bee ak'áán t'ááłáhídi hahakaahgo ak'ah bił ałtahgo ak'áán nááhániihii át'éego dibé yázhí bik'eh nítį́įgo bił didlidgo nááhániihii łikání halchinii át'éego Bóhólníihii bich'į' didlidgo náádahołniih doo. 
4:28:014:0	Áádóó yanáadzi'go nááhániihii éí kwáart bee í'neel'ąąhí bee wáin naakidi haaką́ągo dóola yázhí ła' bóóltą'go, áádóó kwáart bitisígo bee í'neel'ąąhí ánéelt'e'ígíí bee wáin haaką́ągo deenásts'aa' bóóltą'go índa kwáart bee í'neel'ąąhí bee wáin t'ááłáhídi haaką́ągo dibé yázhí bik'eh nítį́įgo náádahołniih doo, áko díí éí nináháhááh bii' t'áá nínádízi' bik'eh didlidgo náádahołniih doo. 
4:28:003:1	Hodílzingo áłah ná'ádleeh nídeit'aahgo náádahaniihii
4:28:015:0	Áádóó tł'ízíchǫǫh t'ááłá'ígo ádił ni'iidzííhjí nááhániihii át'éego ałdó' Bóhólníihii bich'į' náádahołniih doo. Ła' éí t'áá ákwíí jį́ didlidgo nááhániih dooígíí índa yanáadzi'go nááhániih dooígíí óóltą' dooleeł.  
4:28:016:0	Átsé nídízííd binih dį́į́'ts'áadah yoołkááł góne' Bóhólníihii bi'atis'adeesdzáii bee bééhániihii át'ée doo. 
4:28:017:0	T'áá díí yiziłígíí bii' ashdla'áadah yoołkááł góne' hodílzingo áłah ná'ádleeh néiit'aah doo; éí díík'ǫsh t'áágééd bááh ályaii tsosts'id yiską́ąjį' nídaahdį́įh doo. 
4:28:018:0	Hahóóyá bijį́ dahodíínóhsingo áłah náhdleeh doo; éí bijį́ ts'ídá doo ninádaołnish da doo, 
4:28:019:0	nidi nááda'ayołniihgo náádahidoołnihii dadohłidgo didlidgo nááhániihii át'éego Bóhólníihii bich'į' náádahołniih dooígíí éí dóola yázhí naakigo, deenásts'aa' t'ááłá'ígo, dibé yázhí tsosts'idgo ła' béédááhaii dabiką'ii hadaałt'éii, 
4:28:020:0	áádóó ak'áán nááhániihii át'éego ómer bee í'neel'ąąhí bee ak'áán táadi haaką́ągo ak'ah bił ałtahgo dóola yázhí ła' bóóltą'go, ak'áán naakidi haaką́ągo deenásts'aa' bóóltą'go, 
4:28:021:0	índa ak'áán t'ááłáhídi hahakaahgo dibé yázhí tsosts'idígíí bik'eh nítį́įgo bił náádahołniih doo, 
4:28:022:0	áádóó tł'ízíchǫǫh t'ááłá'ígo éí ádił ni'iidzííhjí nááhániihii át'éego éí bee nihá k'ééhoodǫǫł doo. 
4:28:023:0	Áko díí didlidgo nááhániihii náádahidoołnihígíí éí abínígo nááhániihii át'éego óóltą' dooleeł. 
4:28:024:0	Kót'éego t'áá ákwíí jį́ tsosts'id yiską́ąjį' ak'áán didlidgo nááhániihii Bóhólníihii bich'į' łikání halchingo náádahołniih doo. Náádahidoonihii áłahjį' didlidgo nááhániihii áádóó yanáadzi'go nááhániihii óóltą'go náádahołniih doo. 
4:28:025:0	Tsosts'id yiską́ą́ góne' éí dahodíínóhsingo áłah náhdleeh doo; éí bijį́ doo nidoołnish da.  
4:28:026:0	Tsosts'idi nihee damį́įgo da'azlį́į́'dóó bik'ijį' tł'oh naadą́ą́' átsé dant'į́hígíí bijį́į́ góne' ak'áán ániidíii Bóhólníihii bich'į' náádahołniihgo dahodíínóhsingo áłah náhdleeh doo; ákóne' doo nidoołnish da. 
4:28:027:0	Nááda'ayołniihgo didlidgo nááhániihii łikání halchingo Bóhólníihii bich'į' náádahołniih dooígíí éí dóola yázhí naakigo, deenásts'aa' t'ááłá'ígo índa dibé yázhí tsosts'idgo ła' béédááhaii dabiką'ígíí, 
4:28:028:0	áádóó ak'áán nááhániihii át'éego ómer bee í'neel'ąąhí bee ak'áán táadi haaką́ągo ak'ah bił ałtahgo dóola yázhí bóóltą'go, ak'áán naakidi haaką́ągo deenásts'aa' bóóltą'go, 
4:28:029:0	índa ak'áán t'ááłáhídi hahakaahgo dibé yázhí tsosts'idígíí bik'eh nítį́įgo bił náádahołniih doo, 
4:28:030:0	áádóó tł'ízíchǫǫh t'ááłá'ígo éí ádił ni'iidzííhjí nááhániihii át'éego éí bee nihá k'ééhoodǫǫł doo. 
4:28:031:0	Díí náádahidoołnihígíí éí áłahjį' didlidgo nááhániihii áádóó ak'áán nááhániihii, (alį́į́' hadaałt'éii nááhániihii óóltą'go) índa yanáadzi'go nááhániihii náádahołniih doo.
