4:7:001:1	Bikáá' náá'iiniihí dílzingo bá náádahaniihii nideet'ą́
4:7:001:0	Mózes éí níbaal bii' hodílzinii ałtso niiní'ą́ bijį́į́dą́ą́' ak'ah yik'i yayiiziidgo yiyíísį́į́' áádóó dílzingo niidiní'ą́, bee binda'anishígíí t'áá ałtso t'áá bił áádóó bikáá' náá'iiniihí índa łeets'aa' chodao'íinii t'áá ałtso ak'ah yik'i yadayiiziidgo yiyíísį́į́' áádóó dílzingo niidiní'ą́. 
4:7:002:0	Áko éí Ízrel dine'é naat'áanii danilíinii, dabizhé'é bada'áłchíní da'ahílchíihii, Ízrel dine'é yá aląąjį' naazíinii éí dabi'déélta'ígíí yee bídahólníihii nááda'iisnii'. 
4:7:003:0	Áko Bóhólníihii yich'į' náádeidiyoołnihígíí nidayiizh'eezh: tsinaabąąs bik'i dah na'azbaalígíí hastą́ągo áádóó béégashii naakits'áadahgo, naat'áanii naakigo tsinaabąąs t'ááłá'í bik'eh nízį́ áádóó béégashii ałdó' t'ááłá'í bik'eh nítį́įgo éí níbaal bii' hodílzinii bidáahgi nidayiizh'eezh. 
4:7:004:0	Áádóó Bóhólníihii éí Mózes yich'į' haadzíi'go ání, 
4:7:005:0	Nidayiizh'eezhígíí nídiiníiłgo éí níbaal bii' dahozdísingi chodao'į́į doo; Líívai dine'é t'ááłá'í nízínígo bindaanishígíí bik'ehgo baa hidíínił. 
4:7:006:0	Áko Mózes éí tsinaabąąs áádóó béégashii nidayiizh'eezhígíí Líívai dine'é yeinínil. 
4:7:007:0	Tsinaabąąs naakigo índa béégashii dį́į'go díí Gérshan dine'é bindaanishígíí bik'ehgo yeinínil, 
4:7:008:0	áádóó tsinaabąąs dį́į'go índa béégashii tseebíigo díí Miirárai dine'é bindaanishígíí bik'ehgo yeinínil; éí Éran náá'iiłniihii nilíinii biye' Íthamar yee bóhólnííh. 
4:7:009:0	Nidi Kóhath dine'é éí t'áadoo ła' yeinínil da, háálá éí níbaal bii' hodílzinii góne' dadílzinii chodao'ínígíí baa ádahojilyą́ągo hawos bee nidajijaahgo haa dadeest'ą́. 
4:7:010:0	Áádóó bikáá' náá'iiniihí ak'ah bik'i yaadziidgo bee yilzį́į́' bijį́į́dą́ą́' naat'áanii danilíinii éí bikáá' náá'iiniihí bidáahgi náádeidiyoołnihígíí nidayiizhjaa'. 
4:7:011:0	Áko Bóhólníihii éí Mózes ííłní, Náádazhdi'yoołnihgo náádahizhdoołnihígíí naat'áanii t'ááłá'í jinítínígo t'áá bee há dahoo'a' bijį́į́ góne' bikáá' náá'iiniihí diyingo nidají'aah dooleeł biniyé náádazhdi'yoołnih. 
4:7:012:0	Ła'a jį́ aleeh góne' Júdah dine'é nilíinii Amínadab biye' Náshan néidiyoołnihígíí nááyiisnii': 
4:7:013:0	díí nááyiisnii'ígíí éí béésh łigaii łeets'aat'ą́hí t'ááłá'ígo éí shékel wolyéii t'ááłáhídi neeznádiindóó ba'aan tádiin dah hidiidloh bíighahgo áádóó béésh łigaii łeets'aa' nímazí t'ááłá'ígo éí níbaal bii' hodílzingi shékel choo'íinii tsosts'idiin dah hidiidloh bíighahgo, díí t'áá áłah bii' ak'áán hadeezbingo ak'ah bił ałtahgo éí ak'áán nááhániihii át'éego nááyiisnii'; 
4:7:014:0	óola łeets'aa' nímazí t'ááłá'ígo shékel wolyéii neeznáá dah hidiidloh bíighahgo éí bii' tsin bijeeh dilidgo łikání halchinii hadeezbingo, 
4:7:015:0	dóola yázhí t'ááłá'ígo, deenásts'aa' t'ááłá'ígo, dibé yázhí biką'ii ła' binááhaaí t'ááłá'ígo, didlidgo náádahidoonihii ádaat'é; 
4:7:016:0	tł'ízíchǫǫh t'ááłá'ígo éí ádił oodzíí'jí nááhidoonihii át'é, 
4:7:017:0	áádóó náádahidoonihii hózhǫ́ǫ́jí nááhániihii ádaat'éego éí béégashii naakigo, deenásts'aa' ashdla'go, tł'ízíchǫǫh ashdla'go, dibé yázhí biką'ii ła' béédááhaii ashdla'go, díí éí Amínadab biye' Náshan nááyiisnii'. 
4:7:018:0	Naaki jį́ aleeh góne' Ísakar dine'é naat'áanii nilíinii Zú'er biye' Niithániyel náá'iisnii': 
4:7:019:0	díí nááyiisnii'ígíí éí béésh łigaii łeets'aat'ą́hí t'ááłá'ígo éí shékel wolyéii t'ááłáhídi neeznádiindóó ba'aan tádiin dah hidiidloh bíighahgo áádóó béésh łigaii łeets'aa' nímazí t'ááłá'ígo éí níbaal bii' hodílzingi shékel choo'íinii tsosts'idiin dah hidiidloh bíighahgo, díí t'áá áłah bii' ak'áán hadeezbingo ak'ah bił ałtahgo éí ak'áán nááhániihii át'éego nááyiisnii'; 
4:7:020:0	óola łeets'aa' nímazí t'ááłá'ígo shékel wolyéii neeznáá dah hidiidloh bíighahgo éí bii' tsin bijeeh dilidgo łikání halchinii hadeezbingo, 
4:7:021:0	dóola yázhí t'ááłá'ígo, deenásts'aa' t'ááłá'ígo, dibé yázhí biką'ii ła' binááhaaí t'ááłá'ígo didlidgo náádahidoonihii ádaat'é; 
4:7:022:0	tł'ízíchǫǫh t'ááłá'ígo éí ádił oodzíí'jí nááhidoonihii át'é, 
