4:6:001:1	Názarait bá bee haz'áanii
4:6:001:0	Áádóó Bóhólníihii éí Mózes yich'į' haadzíi'go ání, 
4:6:002:0	Ízrel dine'é bich'į' handziihgo ábidiní, Diné ła', doodaii' asdzání ła' Názarait jidooleeł biniyé ats'á'ázhdeet'aahgo ádee hadidoodzihgo éí Bóhólníihii bich'į' ádee hadidoodzihgo ats'á'ázhdidoot'ááł; 
4:6:003:0	wáin índa tó tsi'nida'iiłáii doo jidlą́ą́góó ízhdi'doolnííł; wáin dík'ǫ́ǫzhii, doodaii' tó tsi'na'iiłáii dík'ǫ́ǫzhii doo jidlą́ą da doo; ch'il na'atł'o'ii bineest'ą' ániidígíí, doodaii' bisgą' doo jiyą́ą da doo índa bitoo' doo jidlą́ą da doo. 
4:6:004:0	Ats'á'ázhdeeltį́įgo hóyoołkááł biyi' ch'il na'atł'o'ii sikaadii bits'ą́ą́dóó doodį́įłgo ályaii éí bílástsii' índa bikágí nidi doo jiyą́ą da doo. 
4:6:005:0	Ats'á'ázhdeeltį́įgo ádee hadzoodzíi'go hóyoołkááł biyi' doo hatsii' doolzhih da; Bóhólníihii bich'į' t'áá ats'á'ázhdeet'ánígíí bíighah azlį́į'jį' jidiyin doo, áádóó bíni'dii hatsii' nineez dooleeł. 
4:6:006:0	Bóhólníihii bá ats'á'ázhdeet'ą́ągo hóyoołkááł biyi' ats'íís daaztsáanii doo bit'áahjį' jidoogáał da. 
4:6:007:0	Hazhé'é, doodaii' hamá, doodaii' hak'is, doodaii' halah ła' daaztsą́ągo bee t'áá hó doo bi'didéehii doo ázhdi'doolníił da, háálá haDiyin God bá bee hwééhózinii diyingo bits'ąą hasti'go hatsii'káa'gi hólǫ́. 
4:6:008:0	Ats'á'ázhdeet'ą́ągo hóyoołkááł biyi' Bóhólníihii bich'į' jidiyin dooleeł. 
4:6:009:0	Áádóó diné ła' t'áadoo hooyání hwíighahgi daaztsą́ągo hatsii' bee hwééhózinii diyingo bits'ąą dzisti'ígíí yidoołchǫǫł, áko ho'didééh bijį́į́ hatsii' jidooshihígíí éí tsosts'id jį́į́ góne' hatsii' ałtso jidooshih. 
4:6:010:0	Áko tseebíí jį́ azlį́į'go hasbídí naakigo, doodaii' hasbídí łigaii biyázhí naakigo níbaal bii' dahozdísinii bich'éédą́ą'gi náá'iiłniihii baazhdoojih, 
4:6:011:0	áádóó náá'iiłniihii náádi'yoołnihgo éí ła'ígíí ádił ni'iidzííhjí nááhániihii áádóó ła'ígíí éí didlidgo nááhániihii át'éego yee há k'ééhodoołdǫǫł, háálá daaztsáanii bíhizhdéé'náa'go bee ádił adzisiih, áádóó t'áá éí bijį́ jidiyingo ánáhodi'doolnííł. 
4:6:012:0	Áko diyingo bits'ąą hasti'go hóyoołkáłígíí Bóhólníihii bich'į' ats'á'ánídizhdoot'ááł, áádóó dibé yázhí biką'ii ła' binááhaaí jidoolóosgo doo ákǫ́ǫ́ áhát'į́į́jí nááhániihii át'éego nááhizhdoołnih, nidi átséédą́ą́' ats' á'ázhdeet'ą́ągo hwíiníłkánígíí doo íílįįd da, háálá ats'á'ázhdeet'áanii yíchxǫ'. 
4:6:013:0	Áádóó Názarait nilíinii bá díí bee haz'áanii át'é: ats'á'ádeet'ą́ągo bíyoołkáłígíí bíighah azlį́į'go níbaal bii' dahozdísinii bich'éédą́ą'jį' hoł dadookah, 
4:6:014:0	índa Bóhólníihii bich'į' nááhizhdoołnihígíí éí dibé yázhí biką'ii ła' binááhaaí hadaałt'éii didlidgo nááhániihii át'éego áádóó dibé yázhí bi'áadii ła' binááhaaí hadaałt'éii éí ádił ni'iidzííhjí nááhániihii át'éego índa deenásts'aa' t'ááłá'ígo hadaałt'éii hózhǫ́ǫ́jí nááhániihii át'éego nááhizhdoołnih, 
4:6:015:0	áádóó díík'ǫsh t'áágééd bááh ályaii ts'iizis bee yíkánígíí, tł'oh naadą́ą́' ak'áán éí ak'ah bił ałtaa násdziidgo bááh dá'áka'í nahalinígíí ak'ah bik'i yadziidii, áádóó ak'áán nááhidoonihii índa yanáadzi'go nááhániihii nááhizhdoołnih. 
4:6:016:0	Áko náá'iiłniihii éí Bóhólníihii binááł hasht'e'niidooniłgo ádił ni'iidzííhjí nááhániihii índa didlidgo nááhániihii néidiyoołnih, 
4:6:017:0	áko náádi'yoołnihgo deenásts'aa' éí hózhǫ́ǫ́jí nááhániihii át'éego Bóhólníihii yich'į' néidiyoołnih; díík'ǫsh t'áágééd bááh ályaii ts'iizis bee yíkánígíí biłgo náá'iiłniihii náádi'yoołnihgo ak'áán nááhániihii áádóó yanáadzi'go nááhániihii ałdó' néidiyoołnih. 
4:6:018:0	Áko níbaal bii' dahozdísinii bich'éédą́ą'gi Názarait nilíinii ats'á'ádeet'ánígíí bitsii' bee bééhózinígíí yidooshih, áádóó ats'á'ádeet'ą́ągo bitsii' néididoołjołgo nááhidoonihii hózhǫ́ǫ́jí nááhániihii nááhániihgo biyaa góne' tsídzaii doołjoł. 
4:6:019:0	Áádóó náá'iiłniihii éí deenásts'aa' bigaan shibézhígíí néididootį́į́ł áádóó díík'ǫsh t'áágééd bááh ályaii t'ááłá'ígo índa díík'ǫsh t'áágééd bááh dá'áka'í ályaii t'ááłá'ígo ts'iizis bii'dę́ę́' haidooniłgo Názarait ats'á'ádeet'áanii bitsii' bee bééhózin nít'éé' yę́ę yiyííshéé'dóó bik'ijį' yílák'ee yidoonił, 
4:6:020:0	áko náá'iiłniihii éí hoł náásee hoł yił dideesnii'go náásee bił didiilnihgo nááhániihii Bóhólníihii binááł nááhizhdoołnih; éí náá'iiłniihii bá dílzinii ádaat'éego ajéíts'iin náásee bił didilnihgo áádóó ajáád bił dah nídi'diilnihgo nááhániihii óóltą'go áádóó bik'ijį' índa Názarait éí wáin néídlį́įhgo bee bá hwiidoo'aał. 
