4:20:001:1	Tsé bii'dę́ę́' tó háána'
4:20:001:0	Áádóó átsé nídízídígíí binih Ízrel dine'é t'áá yinééł nít'éé' honoojí Zin hoolyéejį' níná; t'áá ákwe'é Kéídesh hoolyéegi niheezná; ákwii Míriyam daaztsą́ągo yóó'ábi'diilyaa. 
4:20:002:0	Ákwe'é dah oonéłígíí bá tó ádingo biniinaa áłah áda'ahiilyaago Mózes áádóó Éran yik'ijį' daazlį́į́'. 
4:20:003:0	Áko Mózes nayíyádaałti'go saad bighą́ągo kódaaní, Danihik'isóó, Bóhólníihii binááł daneeznánígi át'éego nihí ałdó' dadíníi'nééł nít'éé'! 
4:20:004:0	Ha'át'íísh biniyé Bóhólníihii bidine'é dah yinéłígíí díí honoojíijį' ííní'eezhgo nihí áádóó nihilį́į́' bił nihi'niiná? 
4:20:005:0	Ha'át'íí biniyé Ííjip kéyahdę́ę́' ch'ínihííní'eezhgo díí doo yá'áhoot'ééhgóó haz'ą́ąjį' anihííní'eezh? Ákwe'é tł'oh naadą́ą́' ałtah áát'eełii, doodaii' fig sikaadii bineest'ą', doodaii' ch'il na'atł'o'ii, doodaii' pámgrenit bineest'ą' ádaadin; tó doodlį́įłii ałdó' ádaadin. 
4:20:006:0	Áádóó Mózes índa Éran éí áłah nilínígíí bits'ą́ą́' dashdii'áazhgo níbaal bii' dahozdísinii bich'éédą́ą'jį' ni'jį' tsé'yaa jineeshjool, áko Bóhólníihii bits'ádi'nílíidii hach'į' yit'íní silį́į́'. 
4:20:007:0	Áko Bóhólníihii éí Mózes yich'į' haadzíi'go ání, 
4:20:008:0	Gish nídiitįįh áádóó áłah nilínígíí t'ááłáhíjį' áłah óhłééh; ni áádóó nik'is Éran bił áłah dooleełígíí binááł tsé bich'į' hadíídzihgo bits'ą́ą́dóó tó hadoonah, áko tsé biyi'dóó tó hadoonahígíí éí áłah nilínígíí áádóó dabilį́į́' ałdó' deidoodlį́į́ł. 
4:20:009:0	Áko Bóhólníihii hólǫ́ǫ́dóó Mózes éí gish néidiitą́; bich'į' bee ha'oodzí'ígíí yi'iilaa. 
4:20:010:0	Áko Mózes áádóó Éran éí áłah nilínígíí t'ááłáhíjį' tsétsį́įjį' áłah ájiilaago ábizhdííniid, K'ad da'íísółts'ą́ą́'. Nihí nidaałteehígíí, da' nihíísh díí tsé biyi'dę́ę́' tó háálį́įgo nihá ádiilnííł? 
4:20:011:0	Áko Mózes éí gish yił yadidiilnii'go naakidi tsé néidííłhaalgo tó t'óó ahayóí hadzííłhaal, áko áłah nilínígíí da'oodlą́ą́' áádóó dabilį́į́' ałdó' da'oodlą́ą́'. 
4:20:012:0	Áádóó Bóhólníihii éí Mózes áádóó Éran ííłní, Ízrel dine'é binááł doo shiinohdlą́ą́góó áádóó doo shidíínóhsingóó biniinaa díí áłah nilínígíí kéyah baa dinish'aahígíí doo biih dooh'ish da. 
4:20:002:1	Íídam dine'é éí Ízrel dine'é yich'į' kéyah yaa dahóchį'
4:20:013:0	Díí tó háána'ígi Méribah hoosye', háálá ákwii Ízrel dine'é éí Bóhólníihii yich'į' saad dahasłį́į́' índa ákwii hach'į' diyingo í'diilyaa.  
4:20:014:0	Áko Mózes éí Kéídeshdóó hane' nidei'áhí danilíinii éí Íídam hoolyéédóó aláahgo naat'áanii bich'į' ajiis'a'go ájíní, Ízrel dine'é nik'éí kódaaní, Díí nił bééhózin: ach'į' nahwii'ná t'áá át'é bik'ee ka nisiikai; 
4:20:015:0	éí danihizhé'é yę́ę Ííjip kéyah góyaa íínáago áádóó áadi kéédahwiit'į́įgo nízaad nihoolzhiizh, índa Ííjip dine'é éí ts'ídá doo ákwii ádanihííł'įįd da, áádóó danihizhé'é yę́ę ałdó' ákódayííł'įįd, 
4:20:016:0	nidi Bóhólníihii bich'į' deichago nihidiizts'ą́ą́', áko diyingo naal'a'í yiníł'a'go Ííjip kéyahdóó ch'ínihiní'eezh. Jó, nikéyah nihoneel'ą́ągi Kéídesh kin haal'áagi dah yii'nééł. 
4:20:017:0	Baa nánooshkąąh, nihíni'dii nikéyah góne' ch'ídii'nééł; nidá'ák'eh, doodaii' nich'il na'atł'o'ii bitah góne' éí doo adii'néeł da; nitóhadahadleehgi nidi nito' doo ła' nits'ą́ą́' dadiidlį́įł da; aláahgo naat'áanii be'atiingóó t'áá k'éhézdon hadidii'nééł; nish'náajį', doodaii nishtł'ajį' t'áadoo atiin bits'ániikáhí hadidiikah; nił hahoodzoígíí ałtso bii' hadiikaijį'. 
4:20:018:0	Nidi Íídam wolyéii áhodííniid, Doo shíighahgóó ch'ídíínéeł da, doodaii' diltłish bee nihich'į' nídadidiibah. 
4:20:019:0	Ákohgo Ízrel dine'é ádahodííniid, T'áá k'éhézdon atiingóó hadidii'nééł; nihí índa nihilį́į'da nito' ła' nits'ą́ą́' deiidlą́ą'go éí bik'é nich'į' ni'deeshłééł; t'áadoo haa dadeit'íní t'óó t'áá ni' níighah ch'ídeeshnééł. 
4:20:020:0	Nidi Íídam ání, Doo nihíighahgóó ch'ídoohnéeł da. Áko Íídam dine'é t'óó ahayóigo índa adziil bee dahólǫ́ǫgo hach'į' ch'íníná. 
4:20:003:1	Dził Hor bighą́ą'di Éran daaztsą́
4:20:021:0	Kót'éego Íídam dine'é bikéyah góne' Ízrel dine'é hadidoonéełgo dayókeedígíí t'áadoo yada'deez'ą́ą da, áko Ízrel dine'é t'óó hats'ą́ąjigo nák'ee'ąądi hak'ee'ąą ahééníná. 
4:20:022:0	Ákohgo Ízrel dine'é dah yinéłígíí t'áá ałtso Kéídeshdóó dah náádii'náago Dził Hor hoolyéejį' níná. 
4:20:023:0	Áádóó Íídam kéyah hahoodzooígíí bíighahgi Dził Hor hoolyéegi Bóhólníihii éí Mózes áádóó Éran yich'į' haadzíi'go ání, 
4:20:024:0	Éran éí hadine'é yę́ę bich'į' nízhdoodleeł; jó, Ízrel dine'é kéyah baa dinish'aahígíí doo biishdoogáał da, háálá tó háána'go Méribah hoosye'ígi t'áá ánóhłah shizaad bich'į' disoołtee'. 
4:20:025:0	Éran áádóó biye' Eliyéízar bił nídii'éeshgo Dził Hor góde hashí'éésh. 
4:20:026:0	Áko Éran bi'éé' baa didííniłgo biye' Eliyéízar bee hadidíílííł, áádóó ákwii Éran dazdootsaałgo hadine'é yę́ę bich'į' nízhdoodleeł. 
4:20:027:0	Áádóó Mózes éí Bóhólníihii hach'į' yee haadzí'ígíí bik'eh ádziidzaa; dah oonéłígíí t'áá ałtso binááł Dził Hor góde hadziskai. 
4:20:028:0	Áko Mózes éí Éran bi'éé' yeidiinilgo Éran biye' Eliyéízar yee haidiilaa; áadi dziłghą́ą'gi Éran daaztsą́, áko Mózes áádóó Eliyéízar éí dziłghą́ą́'dę́ę́' bidanáát'áázh. 
4:20:029:0	Ákohgo dah oonéłígíí éí Éran daaztsą́ągo bił béédahoozingo Ízrel dine'é t'áá ałtso daachago haa yínííł naakaigo tádiin yiską́.
