4:9:001:1	Atis'adeesdzá bee bééhániihii
4:9:001:0	Bóhólníihii éí Mózes kóyidííniid, éí Dził Sáínai honoojíidi naaki náhááh góne' átsé nídízídígíí binih íídą́ą́' Ííjip kéyahdę́ę́' ch'ééjí'náago kóní, 
4:9:002:0	Bíni'dii Ízrel dine'é atis'adeesdzá bee bééhániihii baa náhwiilzhíísh góne' yaa ninákah doo. 
4:9:003:0	Díí yiziłígíí binih dį́į́'ts'áadah jį́į́ góne' i'íí'ą́ągo t'áá bá náhoot'aah góne' yee nihwiiz'áanii t'áá át'é índa bik'ehgo hoogáałii t'áá át'é bik'ehgo baa nináhkah doo. 
4:9:004:0	Áádóó Mózes éí Ízrel dine'é yich'į' haadzíí', Éí atis'adeesdzá bee bééhániihii baa nináhkah doo. 
4:9:005:0	Áko átsé nídízídígíí binih dį́į́'ts'áadah jį́į́ góne' i'íí'ą́ągo atis'adeesdzá bee bééhániihii Sáínai honoojíigi baa nidziskai; Bóhólníihii éí Mózes yich'į' yee haadzí'ígíí t'áá át'é bik'ehgo Ízrel dine'é áda'iilaa. 
4:9:006:0	Áádóó diné ła' bits'íís daaztsą́ą́ léi' yee adadoolchxǫ'go biniinaa t'áá éí bijį́ t'áadoo atis'adeesdzá bee bééhániihii doo yee atah nidahóła át'ée da silį́į́'; éí bijį́ Mózes áádóó Éran bidááhdóó nijíkai. 
4:9:007:0	Áko díí diné ádahałní, Nihí diné daaztsą́ą́ léi' bee ádadeelchxǫ', áko ha'át'éegoshą' t'ą́ą́' ádanihi'dólzingo Bóhólníihii bich'į' nááhániihii Ízrel dine'é bitahgi bee hoo'a'go doo náádahidiilnih da? 
4:9:008:0	Áádóó Mózes áháłní, T'áá kwe'é nisoozį́, áko haash yit'éego Bóhólníihii nihá hadoodzihígíí dideests'į́į́ł. 
4:9:009:0	Áko Bóhólníihii éí Mózes yich'į' haadzíi'go ání, 
4:9:010:0	Ízrel dine'é ábidiní, Nihí t'áá háiida, doodaii' niha'áłchíní náás da'ahílchíihii éí diné bits'íís daaztsą́ągo yee ádoolchxǫ'go, doodaii' háájída nízaadgóó naagháago éí Bóhólníihii bich'į' atis'adeesdzá bee bééhániihii t'áá íidoolííł. 
4:9:011:0	Naaki nídízííd binih dį́į́'ts'áadah jį́į́ góne' i'íí'ą́ągo ádeidoolíiłgo díík'ǫsh t'áágééd bááh ályaii índa ch'il dích'íi'ii yił deidooyį́į́ł. 
4:9:012:0	Abíníjį' doo ła' t'áá ch'ídínóołnah da; bits'in nidi doo ła' k'ídazhdootih da; atis'adeesdzá bee bééhániihii bibik'eh hoogáałii t'áá át'é bik'ehgo ádeidoolííł. 
4:9:013:0	Nidi diné ádooldee'ii áádóó doo ch'aanaayáii, áko atis'adeesdzá bee bééhániihii t'áadoo áyiilaagóogo éí Ízrel dine'é bits'ą́ąjį' bidi'yoolyééł, háálá Bóhólníihii bich'į' náá'iiniih baa hoolzhiizhgo t'áadoo náá'dziisnii' da; éí diné ádił adzisiihígíí bee hohodiit'i'go nijigháa doo. 
4:9:002:1	K'os éí níbaal bii' hodílzinii bik'iildoh
4:9:014:0	Áádóó dé'éyóní ł a' nihitahgi t'óó átsééd kééhat'į́įgo éí Bóhólníihii bich'į' atis'adeesdzá bee bééhániihii íidoolíiłgo bik'ehgo hoogáałii t'áá bik'ehgo ádoonííł; dé'éyóní, doodaii' diné kéyahgi yizhchíinii t'áá aheełt'éego bá bik'ehgo hoogáałii t'ááłá'ígíí nihee hólǫ́ǫ doo. 
4:9:015:0	Níbaal bii' hodílzinii, éí neeznáago bik'eh ó'oo'níiłii bee bééhániihii bii' sinilii, niit'ą́ bijį́į́dą́ą́' k'os bik'iildoh; e'e'ááhdóó náhool'įįhjį' níbaal bii' hodílzinii bikáa'gi kǫ' nahalingo dah yildoh łeh. 
4:9:016:0	Áko t'áá áłahjį' ákót'é: jį́įgo k'os bik'i néildoh; tł'ée'go éí kǫ' nahalingo bik'i néildoh. 
4:9:017:0	Áádóó níbaal bii' hodílzinii bits'ą́ą́dóó k'os dah nídiildohgo bikéé'dóó Ízrel dine'é nihinááná'nééh, áko k'os ni'jį' nináldohgi ákwii Ízrel dine' é biníbaal ninádei'nił. 
4:9:018:0	Bóhólníihii éí Ízrel dine'é yich'į' hanáánádzihgo nihinááná'nééh, áádóó Bóhólníihii hach'į' hanáánádzihgo haníbaal ninádaji'nił; níbaal bii' hodílzinii bikáá' k'os dah yildohígíí bik'ehgo Ízrel dine'é dahaníbaal bii' hasht'edazhdít'é. 
4:9:019:0	Áko t'áá ákwii nízaadgóó níbaal bii' hodílzinii bikáá' k'os dah yildohgo lą'í yiłkááh; Ízrel dine'é éí Bóhólníihii yee has'áanii yik'eh dahół'į́įgo doo dah náádii'néeh da. 
4:9:020:0	Kót'éego łahda t'áá díkwíí yiłkáahjį' níbaal bii' hodílzinii bikáa'gi k'os dah yildoh łeh, áádóó Bóhólníihii haadzí'ígíí bik'ehgo t'áá ákwii kéédahojit'į́į łeh, áádóó Bóhólníihii hach'į' hanáánádzihgo bik'ehgo nihináájí'nééh. 
4:9:021:0	Díí kót'éego t'áá ákwii k'os dah yildohgo e'e'ááhdóó náhool'įįh, áko abínígo k'os dah nídiildohgo nihináájí'nééh, áko jį́įgo, doodaii' tł'ée'goda k'os dah nídiildohgo dah náázhdii'nééh. 
4:9:022:0	Éí doodaii' naaki jį́įjį', doodaii' nídízi'jį', doodaii' náhahjį' éí níbaal bii' hodílzinii bikáa'gi k'os dah yildohgo t'áá ákwe'é Ízrel dine'é dabiníbaal yii' kéédahat'į́įgo doo dah náádii'néeh da łeh, nidi k'os dah nídiildohgo índa nihinááná'nééh, 
4:9:023:0	Bóhólníihii yee haadzíi'ii bik'ehgo t'áá ákwii dah joonéeł łeh, áádóó hanáánádzihgo dah náádazhdii'nééh, áádóó Bóhólníihii éí Mózes yich'į' hanádzihígíí bik'eh dahojíł'į́į́ nít'éé'.
