4:3:001:1	Líívai dine'é yéélta'go ánéelą́'ígíí áádóó yindaalnishígíí
4:3:001:0	Éran áádóó Mózes bits'ą́ą́dóó yichíiłii kódaolyé; Dził Sáínaigi Bóhólníihii éí Mózes yił ałch'į' haadzíí' yę́ędą́ą́' nidaakai. 
4:3:002:0	Éran biye'ké kódaolyé: Néídab éí alą́ąjį' yizhchį́, áádóó Abáíhu, áádóó Eliyéízer índa Íthamar. 
4:3:003:0	Díí Éran haye'ké kódaolyé: éí nááda'iiłniihii ak'ah bik'i yadaadziidgo bee dabi'doolzį́į'ii, nidaal'a'go náá'iiłniihii danilį́į doo. 
4:3:004:0	Nidi Néídab áádóó Abáíhu éí Bóhólníihii binááł dzineezná; jó, Bóhólníihii binááł kǫ' doo dílzinii náájiisnii'ígíí Dził Sáínai honoojíidi ákójíít'įįd; éí ha'áłchíní doo hólǫ́ǫ da nít'éé', áádóó Eliyéízar índa Íthamar naal'a'go bizhé'é Éran binááł náá'iiłniihii nilį́į́ nít'éé'. 
4:3:005:0	Áko Bóhólníihii éí Mózes yich'į' haadzíi'go ání, 
4:3:006:0	Líívai dine'é áháníjį' niní'éésh; éí náá'iiłniihii Éran yá nidaal'a' doo biniyé baa ní'éésh. 
4:3:007:0	Áádóó bí índa dah oonééł t'áá ałtso bá níbaal bii' dahozdísinii si'ánígi honaanish ádadzósin doo. 
4:3:008:0	Áko níbaal bii' dahozdísingi bii' chodao'íinii t'áá át'é baa ádahojilyą́ą doo áádóó Ízrel dine'é bá honaanish ádadzósingo níbaal bii' hodílzinii si'ánígi nidaal'a' doo. 
4:3:009:0	Kót'éego Líívai dine'é éí Éran índa biye'ké baa díínił; éí Ízrel dine'é bits'ą́ą́dóó t'áá naazį́į́ nít'éé' baa ha'nííł. 
4:3:010:0	Áádóó Éran índa biye'ké ats'ádíínił, áko éí náá'iiłniihii binaanishígíí hondaanish doo, nidi doo náá'iiłniihii nilíinii áajį' eelwodígíí bidi'yoolyééł. 
4:3:011:0	Áádóó Bóhólníihii éí Mózes yich'į' haadzíi'go ání, 
4:3:012:0	Jó, shí Ízrel dine'é bitahgóó alą́ąjį' nidahaazhchínígíí t'áá ałtso bitsásk'ehgi Líívai dine'é nídiinil; éí bąą Líívai dine'é éí shí dooleeł, 
4:3:013:0	háálá alą́ąjį' daazhchíinii t'áá ałtso shí; Ííjip kéyahdi alą́ąjį' daazhchíinii t'áá ałtso niséłtseed bijį́į́dą́ą́' éí Ízrel dine'é bitahgóó alą́ąjį' daazhchíinii t'áá ałtso éí diné índa naaldlooshii ádá dinisingo ats' ánínil; éí daashíí' dooleeł; jó, shí Bóhólníihii nishłį́. 
4:3:014:0	Áko Bóhólníihii éí Mózes yich'į' haadzíi'go Sáínai honoojíidi áháłní, 
4:3:015:0	Líívai dine'é yíníłta'; éí dabizhé'é yę́ę ba'áłchíní ahoolchíiłii áádóó ahii' háá'ahoolchíiłii bik'ehgo ashiiké t'ááłá'í bee nídadeezidóó yówehgo béédááhaii t'áá ałtso deídííłtah. 
4:3:016:0	Áko Mózes éí diné jííłta'; Bóhólníihii saad yee haadzí'ígíí bi'jiilaa; jó, t'áá ákózhdoolíiłgo hach'į' bee ha'oodzíí'. 
4:3:017:0	Áko díí Líívai biye'ké kódaolyé: Gérshan, Kóhath índa Miirárai. 
4:3:018:0	Díí Gérshan biye'ké ba'áłchíní ahoolchíiłii bik'ehgo kóolyé: Líbnai áádóó Shímiyai. 
4:3:019:0	Áádóó díí Kóhath biye'ké bada'áłchíní da'ahílchíihii bik'ehgo kódaolyé: Ámram, Ízxar, Hííbran índa Azáíyel. 
4:3:020:0	Áádóó Miirárai biye'ké ba'áłchíní ahoolchíiłii bik'ehgo kóolyé: Málai índa Múshai. Díí éí Líívai dine'é dabizhé'é yę́ę bada'áłchíní da'ahílchíihii ádaat'į́. 
4:3:021:0	Gérshan bits'ą́ą́dóó Líbnai dine'é áádóó Shímiyai dine'é ahidideeshchį́; díí Gérshan dine'é bada'áłchíní ádaat'į́. 
4:3:022:0	Díí éí bits'ą́ą́dóó ashiiké dayéélta'ígíí t'áá ałtso t'ááłá'í bee nídadeezidóó yówehgo béédááhaii dabi'déélta'go tsosts'idi mííldóó ba'aan ashdladi neeznádiingo ánéelą́ą́'. 
4:3:023:0	Gérshan dine'é bada'áłchíní éí níbaal bii' hodílzinii bine'jí e'e'aahdę́ę'go ninádaa'néeh doo. 
4:3:024:0	Áko Gérshan dine'é nilíinii bizhé'é éí ba'áłchíní yá aląąjį' sizínígíí Léíyel biye' Iiláíyasaf wolyé. 
4:3:025:0	Áko Gérshan biye'ké da'ahílchíihii éí níbaal bii' dahozdísinii t'áá éí níbaal áádóó bik'í náltihígíí índa éí níbaal bich'é'étiingi dáádiníbaalígíí yaa ádahalyą́ą doo, 
