11:17:001:1	Iiláíjah éí, Doo nahałtin da dooleeł, dííniid
11:17:001:0	Nít'éé' Gíliyad kéyahgi kéédahat'íinii ła' Tíshbeh diné nilį́įgo Iiláíjah éí Éíhab ííłní, Bóhólníihii Ízrel biDiyin God bidááhdóó sézínígíí ts'ídá t'áá aaníí hiná; ákót'éego ts'ídá t'áá aaníí díí deíhááh góne' dahtoo' doo náhádleeh da doo índa doo nahałtin da doo, nidi ádíshnínígíí bik'ehgo t'éiyá. 
11:17:002:0	Áko Bóhólníihii hach'į' haadzíi'go ání, 
11:17:003:0	Dah diináahgo Jórdan tooh nílínígíí ha'a'aahjígo Kíírith tó nílínígíí bíighahgi nídidíít'į́į́ł. 
11:17:004:0	Ííshją́ą́ kót'ée doo, éí tó nílínígíí nidlą́ą doo, áádóó gáagii éí ákwe'é nada'ałtso' doogo bee bich'į' haasdzíí'. 
11:17:005:0	Áko Bóhólníihii hach'į' yee haadzí'ígíí bik'ehgo dashdiiyá, áko dashdiiyáago Jórdan toohdóó ha'a'aahjigo Kíírith tó nílínígíí bíighahgi dzizdáá nít'éé'. 
11:17:006:0	Áádóó gáagii éí abínígo bááh áádóó atsį' haa nídeiłtsah, índa e'e'áahgo bááh áádóó atsį' haa nídeiłtsah, áko éí tó nílínígíí níjídlį́į́h. 
11:17:002:1	Iiláíjah áádóó Zárefathdóó asdzání bąąh áhásdįįdii
11:17:007:0	Nít'éé' wónáásdóó éí tó nílį́ nít'éé' yę́ęgi náhooltsaii, háálá éí kéyahgi doo nahałtin da. 
11:17:008:0	Áádóó Bóhólníihii hach'į' haadzíi'go ání, 
11:17:009:0	Nídiidáahgo Sáídan bikin haal'á Zárefath hoolyéejį' dínááh; ákwe'é kééhót'į́į doo; jó, ákwii asdzání bąąh áhásdįįdii léi' naa áhályą́ą doogo bee bich'į' haasdzíí'. 
11:17:010:0	Áko nízhdii'na'go Zárefathgóó dashdiiyá. Nít' éé' kin haal'á bidáń'dítį́įhgi jiníyáago; jó, ákwe'é asdzání bąąh áhásdįįdii léi' chizh náyiilááh, áádóó bich'į' ázhdííniidgo ábijiní, Nánooshkąąh, ásaa' bee tó áłch'į́į́dígo shá nídiikaahgo deeshdlį́į́ł. 
11:17:011:0	Áádóó yíká dah diilwodgo bikéé' ázhdííniidgo ábijiní, Nánooshkąąh, łees'áán áłts'íísígo ałdó' ła' shá nídíí'ááł. 
