11:10:001:1	Shííbadóó asdzą́ą́ naat'ááh éí Sálaman yaa níyá
11:10:001:0	Nít'éé' Shííbadóó asdzą́ą́ naat'ááh éí Bóhólníihii bízhi' bídéét'i'go Sálaman ch'íhodit'áhígíí yaa hodiizts'ą́ą'go nantł'ago na'ídíkidii bee hwééhodoozįįł yiniyé níyá. 
11:10:002:0	Áko diné lą'í áádóó spáis wolyéhígíí áádóó óola índa tsé da'ílíinii ghą́ą́'ask'idii bá deiíłjiidgo Jerúsalemjį' yił níná, áádóó Sálaman yaa níyáago t'áá át'é biyi'di yee nitsíkeesígíí yee yił ahił hoolne'. 
11:10:003:0	Áádóó Sálaman bínabízhdééłkidígíí t'áá át'é yee hoł hoolne', áko Sálaman doo łahgo áhádingóó t'áá bééhózínígo hoł hoolne'. 
11:10:004:0	Nít'éé' Shííbadóó asdzą́ą́ naat'ááh éí Sálaman bibee hódzáanii t'áá át'é bił bééhoozingo, áádóó kin áyiilaii ałdó', 
11:10:005:0	áádóó bikáá' adání bikáá'dóó ch'iyáán, índa yił nidaha'áago bá nidaal'a'í dah nídinibįįhígíí, áhą́dígo bá nidaal'a'ígíí, áádóó dabi'éé', índa bibee adlání yaa ádahalyáanii áádóó Bóhólníihii bikin bii' sohodizin bich'į' háá'ádáhígíí dziiłtsą́ągo t'óó bik'ee hoł ahayóigo t'áadoo ájóne'í da. 
11:10:006:0	Aláahgo naat'áanii ábijiní, Baa nanináhígíí índa nibee hódzáanii shikéyahdi bee naa hane'go diists'a' yę́ę t'áá aaníí lá. 
11:10:007:0	Éí hane'ígíí doo yinishdlą́ą da nít'éé', nidi t'áá shí níyáago nééł'į́į'go índa yisisdląąd, t'áá bighąądígi nidi t'áadoo bee shił hóóne' da lá; nibee hódzáanii índa t'áá ałtso noosánígo sínít'įįdígíí bee naa hane'go diséts'ą́'ígíí biláahdigo ádaaníí lá. 
11:10:008:0	Diné nidááhdóó naazíinii áádóó ná nidaal'a'í nidááhdóó naazį́įgo nibee hódzáanii t'áá áłahjį' dayíists'ą́ą'ii dooládó' bił dahózhǫ́ǫ da. 
11:10:009:0	Bóhólníihii niDiyin God éí naa bił hózhǫ́ǫgo Ízrel dine'é bá bikáá'dóó nahat'áii yikáá'dóó dah nineesdáii baa ha'niih le'. Bóhólníihii éí Ízrel dine'é hool'áágóó ayóó'áyó'nínígíí biniinaa doo haa dayit'éégóó índa t'áá ákogi át'éego diné bá hóó'áał doo biniyé aláahgo naat'áanii ániilaa. 
11:10:010:0	Óola neeznádiindóó ba'aan naadiin tálent bíighahgo áádóó spáis wolyéhígíí t'áá íiyisí t'óó ahayóigo índa tsé da'ílíinii aláahgo naat'áanii baazhnínil; díí spáis wolyéhígíí Shííbadóó asdzą́ą́ naat'ááh éí aláahgo naat'áanii Sálaman yeinínilígíí t'áadoo ákónéelą́ą'go baa nááná'nil da. 
11:10:011:0	Áádóó ałdó' Háíram bitsinaa'eeł bee Óferdę́ę́' óola áádóó tsin álmug bídáátsélígíí t'óó ahayóí índa tsé da'ílíinii nideizyį́. 
11:10:012:0	Aláahgo naat'áanii éí Bóhólníihii bikin bii' sohodizin áádóó aláahgo naat'áanii bighan bíyah danii'áhígíí tsin álmug bídáátsélígíí yee áyiilaa; tsin tł'óół naakits'áadah bąąh daneelzhee'go bee nida'a'néii ałdó' índa tsin tł'óół neeznáá bąąh daneelzhee'go bee nida'a'néii éí dahataałígíí yá áyiilaa áádóó éí tsin álmug bídáátsélígíí t'áadoo nináánágį́į da, doodaii' díí jį́įjį' t'áadoo náánéiiltsą́ą da. 
11:10:002:1	Sálaman ast'įįd áádóó t'áá át'éé nít'éé' béého'dílzin
11:10:013:0	Áádóó aláahgo naat'áanii Sálaman éí Shííbadóó asdzą́ą́ naat'ááh t'áá hó yííkeedígíí baazhdiní'ą́ índa aláahgo naat'áanii Sálaman yist'įįdii bee áda'azįįdii bitahdóó ałdó' haidiní'ą́ągo hakéyahgóó há nidaal'a'í bił aníjookai. 
11:10:014:0	T'ááłá'í nááhaijį' óola éí hastą́ądi neeznádiindóó ba'aan hastą́diindóó ba'aan hastą́ą́h tálent wolyéhígíí bíighahgo Sálaman baa haasgį́, 
11:10:015:0	t'áá náábíláahgo naalyéhé baa nidahaniihígíí áádóó naalyéhé yaa ádahalyáanii, áádóó Aréíbiyadę́ę́' aláahgo naat'áanii t'áá ałtso índa kédaayahdóó naat'áanii danilíinii ałdó' óola haa dayiiyeeh. 
11:10:016:0	Aláahgo naat'áanii Sálaman éí naakidi neeznádiin naagé óola t'áá bízhání yee ádayiilaa; naagé t'ááłá'í ní'ą́ bik'ehgo óola hastą́ądi neeznádiin shékel wolyéhígíí bíighahgo bee ádaalyaa. 
11:10:017:0	Índa táadi neeznádiingo naagé óola t'áá bízhání yee ádayiilaa; t'ááłá'í ní'ą́ bik'ehgo óola mína wolyéii bitisgo dah hidiidlohgo ádayiilaa, áko aláahgo naat'áanii éí Lébanandi tsintahdę́ę́' daatsinígíí bee kin ályaa wolyéii biyi' góne' niinínil. 
11:10:018:0	Náá'áłdó' aláahgo naat'áanii yikáá'dóó nant'áii ayóó ánóolningo áívori wolyéii yee áyiilaa, áádóó éí óola t'áá íiyisí yá'át'éhígíí yik'íísti'. 
11:10:019:0	Bikáá'dóó nahat'áii éí hastą́ągo dah náhást'ą́ągo ałk'i hoo'nilí bich'į' haaz'á áádóó bine'dę́ę'go bikáa'jigo názhahgo deez'á índa bik'i dah asdáhí ałts'ą́ą́hjí ní'áhígíí hólǫ́, éí ałts'ą́ą́hjí bíighahgi náshdóítsoh bitsiijį' daditł'ooígíí béé'ályaago sizį́. 
11:10:020:0	Náshdóítsoh bitsiijį' daditł'ooígíí naakits'áadahgo éí naaki nínilgo ałk'i hoo'nilí ałts'ą́ą́hjí yikáá' dah naazį́; náánáła' bee óhólníihii bił nahaz'ą́ą́góó doo ła' ákót'éego ánáánályaa da. 
11:10:021:0	Aláahgo naat'áanii Sálaman bibee da'adlánígíí t'áá át'é óola bee ádaalyaa, índa Lébanandi tsintahdę́ę́' daatsinígíí bee kin ályaa wolyéii bii'dóó ásaa'ígíí t'áá ałtso éí óola t'áá bízhání bee ádaalyaa. Béésh łigaii éí doo bee ła' ályaa da, háálá éí Sálaman bíyoołkááł yę́ędą́ą́' doo da'ílį́į da. 
11:10:022:0	Háálá aláahgo naat'áanii bá Társhish kin haal'áádóó tsinaa'eeł nahalinígíí éí Háíram bitsinaa'eeł yił táłkáá' nida'ał'eełgo táá' nínáhah bik'eh óola áádóó béésh łigaii áádóó áívori wolyéii áádóó mągítsoh índa tsídii bitsee' naashch'ąą'ígíí pííkak wolyéii Társhishdę́ę́' tsinaa'eeł nahalinígíí yee ninádayiigééh. 
11:10:023:0	Kót'éego lá aláahgo naat'áanii Sálaman éí nihokáá'góó aláahgo naat'áanii danilíinii t'áá ałtso yiláahgo jit'íinii índa bee hódzáanii yist'įįd. 
11:10:024:0	Nihokáá' dine'é t'áá át'é Sálaman éí Diyin God bee hódzáanii biih yiyííláhígíí bá dideests'į́į́ł danízin nít'éé'. 
11:10:003:1	Sálaman éí łį́į́' áádóó tsindaabąąs bijáád naakiígíí yiyoołnih
11:10:025:0	Áko t'ááłá'í nináháhááh bik'eh diné t'ááłá'í nítínígo aa deidooléełii nidayiijááh nít'éé': éí ásaa' béésh łigaii bee ádaalyaii áádóó óola bee ádaalyaii áádóó éé' ádaat'éii áádóó naagé índa spáis daolyéhígíí, łį́į'da índa dzaanéezda aa dajiinííł nít'éé'. 
11:10:026:0	Sálaman éí tsindaabąąs bijáád naakiígíí áádóó łį́į́' yee nidaabaahii áłah áyiilaa; éí t'ááłáhídi mííldóó ba'aan dį́įdi neeznádiin tsindaabąąs bijáád naakiígíí índa naakits'áadahdi mííl łį́į́' yee nidaabaahii, díí éí bá hasht'edahodít'éego kin hadaas'áágóó niyiiznil áádóó Jerúsalemgi aláahgo naat'áanii ałdó' ła' bá nii'nil. 
11:10:027:0	Áádóó aláahgo naat'áanii éí tsé yíl'áhígíigi át'éego Jerúsalemgi béésh łigaii bee áda'azįįdgo áádóó honíts'aa'gi síkamor naazkaadii yíl'áhígíigi át'éego dilk'is bee áda'azįįdgo áyiilaa. 
11:10:028:0	Áko Sálaman éí łį́į́' baa neelkaadígíí éí Ííjip kéyahdę́ę́' áádóó Kwéi hoolyéédę́ę́' shóozt'e'; aláahgo naat'áanii bá nida'iiłniihígíí Kwéi hoolyéédę́ę́' łį́į́' nideiniiłkaadígíí t'áá bą́ą́h da'ílínígíí bíighahgo nídayiisnii'. 
11:10:029:0	Áko Ííjipdę́ę́' tsinaabąąs bijáád naakiígíí nidahaaznii'ígíí éí t'ááłá'í ní'ánígo hastą́ądi neeznádiin béésh łigaii shékel wolyéii bą́ą́h nida'iizlį́į́' áádóó łį́į́' ałdó' t'ááłá'í nítínígo t'ááłáhídi neeznádiindóó ba'aan ashdladiin bą́ą́h nida'iizlį́į́'; kót'éego Het dine'é aláahgo binanit'a'í danilíinii índa Síriya kéyahdóó aláahgo naat'áanii danilíinii t'áá ałtso yich'į' nináádayiisnii'.
