11:9:001:1	Bóhólníihii éí Sálaman naakidi yaa honíle'
11:9:001:0	Nít'éé' Sálaman éí Bóhólníihii bikin bii' sohodizin áádóó aláahgo naat'áanii bighan índa ádeeshłííł nízinígíí t'áá ałtso bił hóshǫ́ǫgo ííléehgo ałtso áyiilaago, 
11:9:002:0	Gíbiyandi Bóhólníihii éí Sálaman yich'į' yit'íní í'diilyaa yę́ęgi át'éego yich'į' yit'íní ínáá'diilyaa. 
11:9:003:0	Áko Bóhólníihii ábíłní, Shich'į' sodíínílzinígíí áádóó ná'iisíníkanígíí diséts'ą́ą́': díí kin hool'áágóó shízhi' bee wójíii íinilaaígíí diyingo íishłaa; t'áá áłahjį' haasíid doo índa shijéí t'áá át'é bee ákwii honishłǫ́ǫ doo. 
11:9:004:0	Áádóó t'áá nizhé'é David yę́ę shinááł naayáhígi át'éego nijéí doo bina'adlo'góó áádóó t'áá ákóne' ánít'éego shinááł yínáałgo áádóó bee nich'į' haasdzí'ígíí bik'eh honíł'į́įgo ááníiłgo índa bee nihoní'áanii áádóó bee nihodiish'aahii baa honíyáago 
11:9:005:0	Ízrel dine'é bá hoot'áałii hool'áágóó bikáá'dóó nanít'áii niłdzilgo ádeeshłííł, t'áá nizhé'é David yę́ę baa diní'ánígi át'éego kódíshníigo, Na'áłchíní náás ahoolchíiłii ninahjį' doo Ízrel bá bikáá'dóó nahat'áii yi'oh dínóol'ąął da. 
11:9:006:0	Nidi ni, doodaii' na'áłchíní shikéé' deínóhkáhígíí bits'ą́ąjigo dah doohkaigo shibik'eh ó'oo'níiłii índa bee nihoní'áanii nihidáahgi nihá niníláhígíí doo bik'eh dahonoł'į́į́góó áádóó diyin dabidi'níinii ła' bá nidaał'a'go índa bich'į' nidahołáago, 
11:9:007:0	áko Ízrel dine'é kéyah baa diní'ánígíí bits'ą́ąjį' kóhodeeshłííł, áádóó shízhi' baa ha'niih doo biniyé díí kin diyingo áshłaaígíí ch'íhideeshxą́ąłgo doo nááyideestséeł da, índa dadine'é t'áá át'é bitahgóó Ízrel dine'é há nidahat'i'go áádóó haa niyá'áho'diti'ii dajílį́įgo áhodeeshłííł, 
11:9:008:0	áádóó díí kin éí aláahdi át'éhígíí yíighah dah hidikáhígíí t'óó bił adahayóigo, Tłehee yéi', daaníi doo, áádóó kódaaníi doo, Haa léit'éego Bóhólníihii díí kéyah áádóó díí kin kóyiilaa lá? 
11:9:002:1	Sálaman náá'áłdó' yaa nináánásdzáhígíí
11:9:009:0	Áko ádadidooniił, Bóhólníihii haDiyin God éí Ííjip kéyahdę́ę́' dahazhé'é yę́ę ch'íiní'eezhígíí baa dajiyooznah, áko diyin dabidi'níinii dajiiłtsoodgo bich'į' nidahojiłá índa bá nidajil'a'; éí biniinaa Bóhólníihii éí díí doo yá'áshóonii t'áá át'é hak'ijį' kóyiilaa. 
11:9:010:0	Áko Sálaman naadiin nááhaijį' kin naakigo éí Bóhólníihii bikin bii' sohodizin áádóó aláahgo naat'áanii bighan ałdó' ałtso áyiilaago, 
11:9:011:0	(nít'éé' Táirdóó aláahgo naat'áanii Háíram éí Sálaman dilk'is tsin áádóó tsin sáípres wolyéhígíí índa óola t'áá yinízinígi ánéelą́ą'go yąąh niyiizyį́,) áko Sálaman éí Gálilii kéyahdi naadiingo kin haal'áii Háíram yeidiní'ą́. 
11:9:012:0	Áko Háíram éí kin hadaas'áii Sálaman haa yidiní'ánígíí jidínóoł'įįłgo Táirdę́ę́' jiníyá; nít'éé' doo hoł yá'íít'éeh da. 
11:9:013:0	Áko ání, Díísh ha'át'íí kin hadaas'áii shį́į́ át'éego shaa dííní'ą́, shik'is? Áádóó éí kéyahígíí Kéíbul yee yiyíízhi'go díí jį́įjį' ákót'éego wójí. 
