11:1:001:1	Ábishag éí David yaa áhályą́
11:1:001:0	Nít'éé' aláahgo naat'áanii David éí hajistih áádóó lą'í honááhaigo są́ ho'niiłhį́, áko hak'ínídajiłtih nidi ayóogo jidlóóh. 
11:1:002:0	Éí bąą há nidaal'a'í ádahałní, Bíni'dii bóhonishníihii aláahgo naat'áanii ch'ikę́ę́h ła' ná shóidoot'eeł, áko éí bíni' aláahgo naat'áanii nílíinii ná naal'a' doo áádóó hazhó'ó naa áhályą́ągo niyid binahjį' sitį́įgo bóhonishníihii aláahgo naat'áanii éí bee níná'iidził doo. 
11:1:003:0	Ákohgo Ízrel dine'é bikéyah hadahwiisdzogóó t'áá át'éé nít'éé' ch'ikę́ę́h ayóó ánóolninii hadazneeztą́ą́', áko Shúnem haz'ánídóó ch'ikę́ę́h Ábishag wolyéego bik'ídazneeztą́ą'go aláahgo naat'áanii bich'į' bił dadziskai. 
11:1:002:1	Adonáíjah t'áá bí aláahgo naat'ááh í'diilyaa
11:1:004:0	Áko ch'ikę́ę́h t'áá íiyisí nizhóní áádóó aláahgo naat'áanii hazhó'ó yaa áhályą́ągo yá naal'a'; nidi aláahgo naat'áanii t'áadoo hoł ałt'áá'áazh da. 
11:1:005:0	Nít'éé' Hágith biyáázh Adonáíjah ayóó át'é í'diilyaago ání, Shí aláahgo naat'áanii deeshłeeł. Áádóó tsindaabąąs bijáád naakiígíí áádóó siláo éí łį́į́' yee nidaabaahii índa diné ashdladiingo éí bilą́ąjį' naajeeh doo biniyé ádá hasht'eyiilaa. 
11:1:006:0	Hazhé'é éí, Ha'át'íísh biniyé kwíínít'įįd? ts'ídá t'áadoo hodííniidgóó t'ááłá'í nidi t'áadoo yee hainíst'įįd da. Áko ałdó' t'áá íiyisí diné bíiyisii jílį́; Ábsalam bikéédę́ę́' ho'dizhchį́. 
11:1:007:0	Áádóó Adonáíjah éí Zerowáíyah biyáázh Jó'ab áádóó náá'iiłniihii Abáíyathar ałdó' bił ahił nidahodzisne', áko Adonáíjah bikéé' nizhní'áazhgo bíká ahizhnoolchą́ą́'. 
11:1:008:0	Nidi náá'iiłniihii Zéídak áádóó Jiihóíyada biye' Biinéíyah áádóó Diyin God yá halne'ii Néíthan áádóó Shímiyai áádóó Ríyai índa diné dahayóii David yich'ijí danilínígíí éí doo Adonáíjah yich'ijí danilį́į da. 
11:1:009:0	Áádóó Adonáíjah éí Enrógel haz'ání bíighahgóó Zóhiileth tsé si'ání bíighahgi dibé áádóó béégashii índa béégashii yáázh daneesk'ahii neistseed. Dabik'isóó t'áá ałtso aláahgo naat'áanii biye'ké danilíinii índa Júdah dine'é éí aláahgo naat'áanii yá nidaal'a'í danilíinii t'áá ałtso nidahidookah, yidííniid. 
11:1:010:0	Nidi Diyin God yá halne'ii Néíthan áádóó Biinéíyah índa diné dahayóii áádóó bik'is Sálaman ałdó' t'áadoo yida'asnii' da. 
11:1:011:0	Éí bąą Néíthan éí Sálaman bimá Bath-shííba yich'į' haadzíi'go ání, Hágith biyáázh Adonáíjah aláahgo naat'áanii silį́į'goósh baa hodisíníts'ą́ą́', áko David bídahwííníilníihii éí doo bił bééhózin da? 
11:1:012:0	Éí bąą t'áá k'ad, shíni'dii nánooshkąąh, nanik'íyáshti', áko t'áá ni ne'iina' áádóó niyáázh Sálaman be'iina' doodzih. 
11:1:013:0	Nílááh, aláahgo naat'áanii David bił yah anináahgo ábidiní, Bóhonishníihii aláahgo naat'áanii nílíinii, da' doósh shí asdzání ná naal'a'í nishłį́įgo shich'į' bee ádee hadíínídzíi'go áshidííníniid da? Niyáázh Sálaman shikéé' góne' nináánít'áa doo; shibikáá'dóó nahat'áii yikáá'dóó dah sidáa doo, diníi ni'. Ákoshą' ha'át'éego Adonáíjah nant'á? 
11:1:014:0	Shoo, aláahgo naat'áanii t'ah bich'į' yáníłti'go shí ałdó' nikéé' yah adeesháałgo t'áá aaníígóó hólne' nidideeshniił. 
11:1:015:0	Áádóó Bath-shííba éí aláahgo naat'áanii nitéhé góne' yah ajííyá, áko aláahgo naat'áanii yéego haastih; Shúnem haz'ánídóó ch'ikę́ę́h Ábishag éí aláahgo naat'áanii yaa áhályą́. 
11:1:016:0	Nít'éé' Bath-shííba éí aláahgo naat'áanii yich'į' yaa ádzaago neeshjoolgo bił yílįįd. Áko aláahgo naat'áanii ání, Ha'át'íí lá? 
11:1:017:0	Áko ábijiní, Bóhwííníshníihii, Bóhólníihii niDiyin God binahjį' asdzání ná naal'a'í nishłíinii shich'į' ádee hadíínídzíi'go áshidííníniid, Niyáázh Sálaman shikéé' góne' nináánít'áa doo; shibikáá'dóó nahat'áii yikáá'dóó dah sidáa doo, diníi ni'. 
11:1:018:0	Jó, k'ad, Adonáíjahda aláahgo naat'áanii nilį́, nidi bóhwííníshníihii aláahgo naat'áanii nílíinii, éí doo nił bééhózin da; 
11:1:019:0	béégashii áádóó béégashii yáázh daneesk'ahígíí índa dibé ałdó' t'óó ahayóí neistseed. Áádóó aláahgo naat'áanii dabiye'ké t'áá ałtso índa náá'iiłniihii Abáíyathar áádóó siláo yinanit'a'í nilíinii Jó'ab ałdó', Nidahidoohkah, yidííniid, nidi ná naal'a'í Sálaman éí t'áadoo yi'níłnii' da. 
11:1:020:0	Áko ni bóhonishníihii aláahgo naat'áanii nílíinii, Ízrel dine'é t'áá ałtso nich'į' dadéez'į́į́', áko bóhonishníihii aláahgo naat'áanii nílíinii, háí nikéé'dóó bikáá'dóó nahó'áii yikáá' dah dínóodaałígíí bee bił hodíílnih. 
11:1:021:0	Éí doodago, bóhonishníihii aláahgo naat'áanii dabizhé'é yę́ę yitah iidoołhoshgo, áko shí índa shiyáázh Sálaman ałdó' ana'í niidlį́įgo nihaa tsóhodookos. 
11:1:022:0	Jó, t'ahdii aláahgo naat'áanii bił ałch'į' yájíłti'go Diyin God yá halne'ii Néíthan ałdó' yah ííyá. 
11:1:023:0	Áádóó aláahgo naat'áanii yił dahoolne'go ádaaní, Shoo, Diyin God yá halne'ii Néíthan níyá. Áko aláahgo naat'áanii bił yah ajííyáago ni'jį' nitsizhdeelgo'go jineeshjool. 
11:1:024:0	Áko Néíthan ájíní, Bóhonishníihii aláahgo naat'áanii nílíinii, da' ákoósh ádííníniid? Adonáíjah éí shikéédę́ę́' nináánít'áa doo; shibikáá'dóó nahat'áii yikáá'dóó dah sidáa doo. 
11:1:025:0	Háálá díí jį́ ákóyaa ííyá, áko béégashii áádóó béégashii yáázh daneesk'ahígíí índa dibéda t'óó ahayóí neistseed, áko aláahgo naat'áanii biye'ké t'áá ałtso áádóó siláo dah deínéehii yinanit'a'í danilíinii índa náá'iiłniihii Abáíyathar ałdó', Nidahidoohkah, yidííniid; jó, binááł da'ayą́ índa da'adlą́ągo ádaaní, Adonáíjah aláahgo naat'áanii as'ahgóó hináa le'. 
11:1:026:0	Nidi shí ná naal'a'í nishłíinii áádóó náá'iiłniihii Zéídak áádóó Jiihóíyada biye' Biinéíyah índa ná naal'a'í Sálaman, Nihí ałdó' shaa hidoohkah, doo nihizhdííniid da. 
