11:12:001:1	Ízrel dine'é nidaastee'
11:12:001:0	Riihobówam éí Shííkemgóó ííyá, háálá Ízrel dine'é t'áá ałtso aláahgo naat'áanii adahodoolííł biniyé Shííkemgi neheeskai. 
11:12:002:0	Nít'éé' Nííbat biye' Jerobówam t'ah Ííjip kéyahdi kééhojit'į́įgo éí yiyíínii'go (jó, Sálaman bits'ąą Ííjip kéyahgóó yóó'ajoolwod nít'éé',) 
11:12:003:0	háká ada'as'a'go hágo dahodííniid. Áko Jerobówam áádóó Ízrel dine'é t'áá át'é áłah nilínígíí yíkaigo Riihobówam yich'į' hadaasdzíi'go ádaaní, 
11:12:004:0	Nizhé'é yę́ę nihiyéél nidaazgo áyósin nít'éé'; éí bąą k'ad, nizhé'é yę́ę bik'ee ti'dahwii'níihgo bá nideiil'a' yę́ę áádóó hééł nidaazgo nihá áyósin yę́ę aszólígo nihá ánílééh, áko ná nideiil'a' dooleeł. 
11:12:005:0	Áko áyidííniid, Táá' yiską́ąjį' nídadohkáahgo áádę́ę́' shaa náádoohkah. Áádóó diné anídahaaskai. 
11:12:006:0	Nít'éé' aláahgo naat'áanii Riihobówam éí hastóí danilíinii éí hazhé'é Sálaman yę́ę t'ah hiná yę́ędą́ą́' yidááhdóó naazį́į́ nít'é'ígíí bił baa nídadzist'įįdgo ííłní, Haash yit'éego díí diné bich'į' t'ą́ą́' háádeesdzihgo bee bił nídahodeeshnihígíí bee shił dahołne'? 
11:12:007:0	Áádóó hach'į' hadaasdzíi'go ádahałní, Díí jį́į́dóó díí dine'é bá choiní'į́įgo bá nanil'a' ládą́ą́' áádóó dayókeedígíí baa hidí'aahgo índa saad yá'ádaat'éehii bee bich'į' yáníłti'go hool'áágóó ná nidaal'a'í dadooleeł. 
11:12:008:0	Áko hastóí danilíinii bił baa nídadzist'įįdgo hąąh nideizláhígíí doo bázniizį́į' da, nidi dinééh danilíinii bił dazhneeyáanii hadááhdóó naazínígíí bił baa nídadzist'įįdgo 
11:12:009:0	ábijiní, Díí diné shich'į' hadaasdzíi'go kódaanínígíí, Nizhé'é yę́ę nihiyéél nidaazgo áyósin nít'é'ígíí aszólígo nihá ánílééh; éí haash yit'éego bich'į' t'ą́ą́' háádadiidzihgo bee bił dahodiilnihígíí bee shił dahołne'? 
11:12:010:0	Áko dinééh hoł daneeyánígíí hach'į' hadaasdzíi'go ádahałní, Díí dine'é nich'į' hadaasdzí'ígíí kót'éego bich'į' hadíídzihgo kódidííniił, Éí nizhé'é yę́ę nihiyéél nidaazgo áyósin nít'éé', nidi aszólígo nihá ánílééh, daniłnínígíí kóbididííniił, Shíláyázhí éí shizhé'é yę́ę biníí' áníłtsázígíí biláahgo áníldíil doo. 
11:12:011:0	Áko shizhé'é yę́ę nihiyéél nidaazgo nihá áyósin nít'éé' yę́ę t'ah biláhígi át'éego nihiyéél nidaazgo nihá ádeeshłííł; shizhé'é yę́ę éí bee atsxis yee atínihił'į́į́ nít'éé', nidi shí éí bee atsxis séígo' adishish nahalingo bee atínihish'į́į dooleeł. 
11:12:012:0	Nít'éé' aláahgo naat'áanii, Táá' yiską́ągo shaa náhidoohkah, hałníigo há nihoní'ánígíí bik'ehgo táá' yiską́ągo Jerobówam áádóó dine'é t'áá át'é Riihobówam yaa haaskai. 
11:12:013:0	Áko aláahgo naat'áanii éí hastóí danilíinii kót'éego dahałnínígíí doo bázhniizį́į́'góó t'áá na'níle'dii diné bich'į' hadziisdzíí', 
11:12:014:0	áádóó dinééh danilíinii kót'éego dahałnínígíí bee bich'į' hadzoodzíi'go ájíní, Shizhé'é yę́ę nihiyéél nidaazgo áyósin nít'éé', nidi shí éí t'ah biláhígi át'éego nihiyéél nidaazgo ádeeshłííł; shizhé'é yę́ę ałdó' bee atsxis yee atínihił'į́į́ nít'éé', nidi shí éí séígo' adishish nahalingo bee atsxis bee atínihish'į́į dooleeł. 
11:12:015:0	Ákohgo aláahgo naat'áanii éí diné doo yiyíists'ą́ą' da, háálá Bóhólníihii éí Sháílohdóó diné nilíinii Aháíjah éí Nííbat biye' Jerobówam yee yá hahaasdzí'ígíí Bóhólníihii bits'ą́ą́dę́ę́' bohodoolníiłii át'é. 
11:12:016:0	Nít'éé' Ízrel dine'é t'áá ałtso aláahgo naat'áanii doo hwíists'ą́ą́'góó yaa ákódaniizį́į'go diné éí aláahgo naat'áanii yich'į' hanáádaasdzíi'go ádaaní, David yę́ęshą' ha'át'íí bits'ą́ą́dóó danihí? Jésii biye' bits'ą́ą́dóó nihíí' dooleełii nidi doo ła' nihí da; Ízrel dine'é danohłíinii, danihiníbaalgóó nídadohkááh; David dine'é danohłíinii, na'áłchíní náás ahoolchíiłii baa ádahołyą́. Ákohgo Ízrel dine'é dabiníbaalgóó anídahaaskai. 
11:12:017:0	Nidi Riihobówam éí Ízrel dine'é Júdah kin hadaas'áagi kéédahat'ínígíí yinant'áá nít'éé'. 
11:12:018:0	Áko aláahgo naat'áanii Riihobówam éí Adóram wolyéii naanish bí'nílchééh yinanit'a'í nilíinii ayííł'a'go Ízrel dine'é t'áá ałtso tsé yee nídahoneesne'go hoł nidadzisne'. Éí bąą aláahgo naat'áanii Riihobówam bitsinaabąąs bijáád naakiígíí tsxį́įłgo yiih yíyáago Jerúsalemgóó anííchą́ą́'. 
11:12:019:0	Éí yoołkááł yę́ędą́ą́'dóó díí jį́įjį' Ízrel dine'é David ba'áłchíní náás ahoolchíiłii yich'į' nidaalteehgo hoolzhish. 
11:12:020:0	Nít'éé' Ízrel dine'é t'áá át'é éí Jerobówam nádzáago dayíínii'go yíká ada'as'a'go áłah ílíníjį' hágo dahodííniid, áádóó Ízrel dine'é t'áá ałtso aláahgo naat'áanii jílį́į doogo ádahoolaa; David ba'áłchíní náás ahoolchíiłii doo ła' yikéé' yikah da, nidi Júdah dine'é t'éiyá. 
11:12:021:0	Áko Riihobówam éí Jerúsalemjį' níyáago Ízrel dine'é yik'iidoojah áádóó Sálaman biye' Riihobówam bee bóhólnííh nít'éé' yę́ę bíí' nídoodleeł biniyé Júdah dine'é éí Bénjamin dine'é yił áłah áyiilaago éí bitahdóó t'ááłáhídi neeznádiindóó ba'aan tseebídiindi mííl diné na'abaah yéédahósinii yitayiizláá'. 
11:12:022:0	Nidi Diyin God éí bá halne'ii Shiiméíyah wolyéii yich'į' haadzíi'go ání, 
11:12:023:0	Júdah kéyahgi Sálaman biye' aláahgo naat'áanii Riihobówam áádóó Júdah dine'é índa Bénjamin dine'é t'áá ałtso áádóó Ízrel dine'é daadziihígíí bich'į' hadíídzihgo kóbididííniił, 
