11:18:001:1	Iiláíjah éí Éíhab yich'į' nádzá
11:18:001:0	Áádóó łą́ yiską́ą́dóó bik'ijį' táá' náhááh binih Bóhólníihii éí Iiláíjah yich'į' haadzíi'go ání, Nílááh, Éíhab bich'į' dínááh, áko nihokáá'góó nahałtingo ádeeshłííł. 
11:18:002:0	Áko Iiláíjah éí Éíhab baazhdoogááłgóó dashdiiyá; nít'éé' Samériyagi t'áá íiyisí hodííchįįd lá. 
11:18:003:0	Áko Éíhab éí Obadáíyah hágo yidííniid; jó, éí haghan haz'ą́ągi yinanit'a'í nilį́. (Nít'éé' Obadáíyah éí ayóogo Bóhólníihii yidósin; 
11:18:004:0	jó, éí kódzaa, Jézebel éí Bóhólníihii yá dahalne'ii neistseedgo Obadáíyah éí Bóhólníihii yá dahalne'ii neeznádiingo néidiinil, áádóó t'áá ał'ąą ashdladiingo tsé'áán góne' néidees'į́į'go bááh áádóó tó biłgo yaná'áltso' nít'éé'.) 
11:18:005:0	Áko Éíhab éí Obadáíyah ííłní, Nílááh, kéyah bii' tó hadaazlį́į́góó índa tó danílį́į́góó dínááh; t'áá daats'í shǫǫh tł'oh ła' bik'ídiit'ashgo łį́į́' áádóó dzaanééz deiłchozh doo, áko nihilį́į́' doo ałtso dichin bidooghą́ął da. 
11:18:006:0	Kót'éego kéyah bikáá' tázhdidoo'ashígíí aházdoodzogo Éíhab łahjígo t'áá sáhí dah diiyá; Obadáíyah éí náánáłahjigo t'áá sáhí dah diiyá. 
11:18:007:0	Obadáíyah joogááł nít'éé', shoo, Iiláíjah hadááh níyá, áko bééhodzoosįįdgo ni'jį' yaa ádziidzaago ájíní, Da' niísh ánít'į́, shinanit'a'í Iiláíjah? 
11:18:008:0	Áádóó hach'į' haadzíi'go ání, Éí ásht'į́; nílááh, ninanit'a'í bił hólne', Shoo, kwe'é Iiláíjah níyá. 
11:18:009:0	Nít'éé' ábijiní, Ha'át'íísh bee ádił asésiihgo ná naal'a'í Éíhab shidiyoołhéełgo baa shidiní'aah doo. 
11:18:010:0	Ts'ídá t'áá aaníí Bóhólníihii niDiyin God hiná; ákót'éego ts'ídá t'áá aaníí ał'ąą dine'é índa bee íhólníihgo bił nahaz'ą́ą́góó t'áadoo ła' doodaaí ts'ídá t'áá ałtsogo shinanit'a'í i'iis'a'go há nidéez'į́į'go níká tá'dííł'a', áko ádaaní, Doo kwe'é naagháa da; ał'ąą dine'é áádóó íhólníihgo bił nahaz'ą́ą́góó t'áadoo nik'ídaaskai dago ádee hadadeesdzíí'. 
