11:14:001:1	Aháíjah éí Jerobówam yik'ijį' haadzíí'
11:14:001:0	Íídą́ą́' Jerobówam biye' Abáíjah bitah honiigai. 
11:14:002:0	Áádóó Jerobówam be'asdzą́ą́ ííłní, Nídiidááh, nánooshkąąh, Jerobówam be'asdzą́ą́ nílínígíí, doo bee néého'dílzin da dooleeł biniyé łahgo át'éego í'dílnééh, áádóó Sháílohgóó dínááh; Diyin God yá halne'ii Aháíjah éí díí dine'é aláahgo binanit'a'í deeshłeełgo yee shił hoolne'ígíí áadi naaghá. 
11:14:003:0	Áko bááh neeznáago áádóó bááh dá'áka'í łikanii índa tsés'ná bitł'izh éí tózis bii'go bich'į' díjááh, áko nihiyázhí hait'ée dooleełígíí yee nił hodoolnih. 
11:14:004:0	Nít'éé' Jerobówam be'asdzą́ą́ ákódzaago nídii'na'go Sháílohgóó ííyá, áádóó Aháíjah bighandi jiníyá. Nidi Aháíjah doo oo'į́į da, háálá haastihgo doo oo'į́į da. 
11:14:005:0	Íídą́ą́' Bóhólníihii éí Aháíjah ííłní, Jerobówam be'asdzą́ą́ biyáázh yá t'áadoo le'é níídóokił biniyé aadę́ę́' yigááł, háálá biyáázh daatsaah; éí kót'éego bich'į' hadíídzih, háálá éí yah ííyáago asdzání náánáła' í'díl'į́į doo. 
11:14:006:0	Nít'éé' ákódzaago ch'é'étiindę́ę́' yah ajííyáago Aháíjah hakédil yidiizts'ą́ą́', áko ání, Yah aninááh, Jerobówam be'asdzą́ą́ nílíinii, ha'át'íí biniyé asdzání náánáła' í'díl'į́? Jó, hane' doo yá'át'éehii bił nich'į' shi'dool'aad. 
11:14:007:0	Nílááh, Jerobówam bił hólne', Bóhólníihii Ízrel dine'é biDiyin God kóní, Ízrel shidine'é bitahdóó ayóó ánít'éego ániishłaago binanit'a'í nílį́, 
11:14:008:0	áádóó David ba'áłchíní náás ahoolchíiłii bee óhólníihii bighadinisht'ą́ągo naa diní'ą́, nidi shá naal'a'í David yę́ę shibik'eh ó'oo'níiłii yik'eh hół'į́į́ nít'éé' áádóó bijéí t'áá át'é yee shikéé' yigááł nít'éé', índa t'áá ákwii ádaat'éii shinááł áyoolííł nít'éé', nidi ni éí t'áadoo ákwíinidzaa da, 
11:14:009:0	nidi t'áá ałtso nilą́ąjį' deíkai yę́ę biláahgo doo yá'áshǫ́ǫ́góó íínít'įįd, háálá diyin dabidi'níinii índa óola doolyį́į'go be'elyaii ádeinilaago bee shá hwííníłchįįd áádóó adinínáajigo ashiyíníłhan; 
11:14:010:0	éí biniinaa Jerobówam ba'áłchíní náás ahoolchíiłii doo yá'áshóonii bik'ijį' ádeeshłííł, áádóó Jerobówam bits'ą́ą́dóó dadinéhígíí t'áá ałtso éí naalte' danilíinii índa doo naalte' danilíinii ádeeshdįįł áádóó Jerobówam ba'áłchíní náás ahoolchíiłii daadziihígíí diné ła' ts'iilzéí ałtso ádįįhjį' yóó'ayiiyéhígi át'éego yóó'ahodeeshxééł. 
11:14:011:0	T'áá háiida kin haal'áagi Jerobówam bits'ą́ą́dóó dajílíinii dazneeznánígíí éí łééchąą'í dahodoolghał, áádóó t'áá háiida níléí tł'óo'di daneeznánígíí éí tsídii nidaat'a'ii dahodooyį́į́ł, jó, Bóhólníihii éí yee haadzíí'. 
11:14:012:0	Éí bąą nídiidáahgo nighangóó nídídááh, áádóó kin haal'áá góne' anéínídzáago niyáázh dadootsaał. 
