5:28:001:1	Blessings at Gerizim
5:28:001:0	“ Now it shall be , if you diligently obey the Lord your God , being careful to do all His commandments which I command you today , the Lord your God will set you high above all the nations of the earth .
5:28:002:0	All these blessings will come upon you and overtake you if you obey the Lord your God :
5:28:003:0	“ Blessed shall you be in the city , and blessed shall you be in the country .
5:28:004:0	“ Blessed shall be the offspring of your body and the produce of your ground and the offspring of your beasts , the increase of your herd and the young of your flock .
5:28:005:0	“ Blessed shall be your basket and your kneading bowl .
5:28:006:0	“ Blessed shall you be when you come in , and blessed shall you be when you go out .
5:28:007:0	“ The Lord shall cause your enemies who rise up against you to be defeated before you ; they will come out against you one way and will flee before you seven ways .
5:28:008:0	The Lord will command the blessing upon you in your barns and in all that you put your hand to , and He will bless you in the land which the Lord your God gives you .
5:28:009:0	The Lord will establish you as a holy people to Himself , as He swore to you , if you keep the commandments of the Lord your God and walk in His ways .
5:28:010:0	So all the peoples of the earth will see that you are called by the name of the Lord , and they will be afraid of you .
5:28:011:0	The Lord will make you abound in prosperity , in the offspring of your body and in the offspring of your beast and in the produce of your ground , in the land which the Lord swore to your fathers to give you .
5:28:012:0	The Lord will open for you His good storehouse , the heavens , to give rain to your land in its season and to bless all the work of your hand ; and you shall lend to many nations , but you shall not borrow .
5:28:013:0	The Lord will make you the head and not the tail , and you only will be above , and you will not be underneath , if you listen to the commandments of the Lord your God , which I charge you today , to observe them carefully ,
5:28:002:1	Consequences of Disobedience
5:28:014:0	and do not turn aside from any of the words which I command you today , to the right or to the left , to go after other gods to serve them .
5:28:015:0	“ But it shall come about , if you do not obey the Lord your God , to observe to do all His commandments and His statutes with which I charge you today , that all these curses will come upon you and overtake you :
5:28:016:0	“ Cursed shall you be in the city , and cursed shall you be in the country .
5:28:017:0	“ Cursed shall be your basket and your kneading bowl .
5:28:018:0	“ Cursed shall be the offspring of your body and the produce of your ground , the increase of your herd and the young of your flock .
5:28:019:0	“ Cursed shall you be when you come in , and cursed shall you be when you go out .
5:28:020:0	“ The Lord will send upon you curses , confusion , and rebuke , in all you undertake to do , until you are destroyed and until you perish quickly , on account of the evil of your deeds , because you have forsaken Me .
5:28:021:0	The Lord will make the pestilence cling to you until He has consumed you from the land where you are entering to possess it .
5:28:022:0	The Lord will smite you with consumption and with fever and with inflammation and with fiery heat and with the sword and with blight and with mildew , and they will pursue you until you perish .
5:28:023:0	The heaven which is over your head shall be bronze , and the earth which is under you , iron .
5:28:024:0	The Lord will make the rain of your land powder and dust ; from heaven it shall come down on you until you are destroyed .
5:28:025:0	“ The Lord shall cause you to be defeated before your enemies ; you will go out one way against them , but you will flee seven ways before them , and you will be an example of terror to all the kingdoms of the earth .
5:28:026:0	Your carcasses will be food to all birds of the sky and to the beasts of the earth , and there will be no one to frighten them away .
5:28:027:0	“ The Lord will smite you with the boils of Egypt and with tumors and with the scab and with the itch , from which you cannot be healed .
5:28:028:0	The Lord will smite you with madness and with blindness and with bewilderment of heart ;
5:28:029:0	and you will grope at noon , as the blind man gropes in darkness , and you will not prosper in your ways ; but you shall only be oppressed and robbed continually , with none to save you .
5:28:030:0	You shall betroth a wife , but another man will violate her ; you shall build a house , but you will not live in it ; you shall plant a vineyard , but you will not use its fruit .
5:28:031:0	Your ox shall be slaughtered before your eyes , but you will not eat of it ; your donkey shall be torn away from you , and will not be restored to you ; your sheep shall be given to your enemies , and you will have none to save you .
5:28:032:0	Your sons and your daughters shall be given to another people , while your eyes look on and yearn for them continually ; but there will be nothing you can do .
