50:4:001:1	Jidii Gwiky'uunjik , Gwik'it Dinjii Ǫhłįį
50:4:001:0	Shalak nąįį , jidii nakhwats'ą' t'iinyą' datthak . Ąįį geh'an gǫhdaii , gwizhit datthak kheihłok ch'ihłak k'it K'eegwaadhat veenjit nadoozhii . Izhik łyaa zhyąą akhagohnyą' shrǫ' . Datthak łyaa zhyąą gwintł'oo nakhweet'ihthan . Ąįįts'ą' chan łyaa gwintł'oo nakhwak'at t'ihchy'aa . Łyaa zhyąą nakhwak'iighai' shoo ihłįį . Ąįįts'ą' chan khik dinjii nąįį ts'ą' gwintł'oo nakhweech'ih'in .
50:4:002:0	Euodia , Syntyche haa , tr'injaa neekwąįį K'eegwaadhat k'injiighit nąįį tee ǫhłįį . Ąįį geh'an jii nakhwats'ą' ch'oodahashakwat nihts'ą' shrii tr'eegǫǫh'ąįį .
50:4:003:0	Shijyaa , gweedhaa shaa gwitr'it t'agwah'in datthak gwinzii shaa gwitr'it t'agwah'in . Jii tr'injaa neekwąįį nihts'ą' shrii tr'eegogwehee'aa geenjit goots'iinyąą . Izhik łyaa goots'oiinyą' noihnyąą . Gwandak nizįį gwandaa dinjii lęįį nąįį haa googwaandak . Izhik geh'an łyaa gwintł'oo shaa gwitr'it t'agoogwah'in . Dinjii , Clement oaazhii , ts'ą' chan dinjii juu datthak shaa gwitr'it t'agwah'ya' , ąįį nąįį datthak chan Gwandak Nizįį dinjii lęįį nąįį haa googwaandak . Vit'eegwijyąhchy'aa khik gogweheendaii goohahtsyaa .
50:4:004:0	Juk gǫhdaii ts'ą' tthak kheihłok K'eegwaadhat vaa ǫhłįį , ts'ą' khik nakhwaa shroonchy'aa . Chan gwik'it teeneech'igihihjyaa , khik ts'ą' nakhwaa shroonchy'aa .
50:4:005:0	Dinjii nąįį ts'ą' nakhwanzhrįh jidii datthak gwinzii gaakhwandaii k'it gohtsyaa shrǫ' . K'eegwaadhat it'ee ninghyuk kwaa ts'ą' k'ineeheedik .
50:4:006:0	Jidii datthak geenjit nakhwagwandaii haa nagoo'aa shrǫ' . Nijin Vit'eegwijyąhchy'aa vats'ą' khagidiinjii dąį' , jidii gwat'aahchy'aa kwaii geenjit oahkat , ts'ą' chan mahsį' vaa haiinjyaa , ganoondee shrǫ' .
50:4:007:0	K'eegwaadhat vik'iighai' gwizhrįh nakhwaa tsinehdan gwanlii ts'ą' nats'ahts'ą' ninjich'ohjii ąįįts'ą' nats'ahts'ą' tth'aii noolii , datthak geenjit nakhwagwandaii haa nagoh'aa gwat'oohchy'aa kwaa . Christ vaa kheihłok tr'inlii , ąįį geh'an jii t'ee łyaa łi'deeridlii . Vit'eegwijyąhchy'aa tsinehdan dinintł'in'ąįį geegaroolii kwaa gwik'it .
50:4:008:0	Shijyaa nąįį , jii dęhtły'aa dįhtł'oo ndaanahałdal gwehkįį chan jyaa chan doihnyą' yiihthan . Nakhwayinji' jidii gwinzii zhrįh deehoh'ee k'it ninjich'ǫhthat . Łi'deegwidlii , khazhak t'igwiichy'aa , gwinzii , iizųų kwaa , gwinzii giiyiichy'a' ts'ą' deerihił'ee , jii kwaii zhrįh nakhwayinji' haa t'akhwa'in .
50:4:002:1	Paul , Ch'oozhii Eenjit Mahsį' , Nyąą
50:4:009:0	Jidii shats'an gwiky'uunjik , jidii geegiihkhe' datthak shoodǫǫhk'į' , ts'ą' nats'ąą deeshi'ya' datthak chan shǫǫh'ya' , ąįį gwik'it t'ohchy'aa ji' , Vit'eegwijyąhchy'aa , vitsinehdan diits'an ąhtsii nakhwaa heelyaa .
