47:2:001:0	Nidi doo nihíni' deideesh'aał da niizį́į'go doo akǫ́ǫ́ déyáa da. 
47:2:002:0	Háálá nihíni' deił'a'goshą', háí shił hózhǫ́ǫgo áshidoolííł; jó, nihíni' deił'a'ii nihí t'éí shił nídahodooshǫǫł. 
47:2:003:0	Aadi níyáago shił dahodooshǫǫłgo doo shíni' deidooł'aał da biniyé nihich'į' naaltsoos íishłaa, háálá t'áádóo nídí t'áá ánółtso baa shił hózhóonii éí nihí ałdó' baa nihił dahózhǫ́ǫ doo. 
47:2:001:1	Diné bibąąhági át'éii há yóó'ahidit'aah
47:2:004:0	Háálá shíni' łą́ągo áádóó shijéí neezgaigo índa t'áá íiyisí nihaishchago nihich'į' ak'e'shéłchį́, nihíni' deideesh'aał biniyé éí dooda, nidi t'áá íiyisí ayóó'ádanihósh'níigo bee nihaa nitséskeesígíí nihił béédahodoozįįł biniyé nihich'į' ak'e'shéłchį́. 
47:2:005:0	Nidi hazhó'ó yáshti'go éí kót'é, ła'da áni' yiyiił'a'go, éí doo t'áá shí t'éiyá shíni' jiił'a' da, nidi haa níłtsogo shį́į́ nihí ałdó' t'áá ánółtso nihíni' dajiił'a'go át'é. 
47:2:006:0	Ła'da ákót'ínígíí bee atíbidi'doolníiłgi aghá ánéelą́ą'go yee bá hadaasdzí'ígíí éí bíighah. 
47:2:007:0	Yínííł doo t'áá íiyisí bide ádooníił da biniyé yee ádił asziih yę́ę bá yóó'adadidooh'ááł, áádóó hadabidi'yoołnih. 
47:2:008:0	Éí bąą ayóó'ádeínóh'níigo bich'į' háádadoohdzihgo baa nídanihooshkąąh. 
47:2:009:0	Háálá t'áá ałtsojį' ak'eh dahonoł'į́įgo bee nanihishkaahígíí biniyé nihich'į' naaltsoos íishłaa. 
47:2:010:0	T'áá háiida nihich'į' bąąhági át'íinii bá yóó'ahidoh'aahgo, shí ałdó' bá yóó'ahidish'aah; t'áá ha'át'íhída bąąhági át'éii yóó'adíí'ánígíí nihí nihá yá'át'éeh dooleeł biniyé Christ binááł yóó'adíí'ą́. 
47:2:002:1	Paul ádił náhodilchiłgo Bóhólníihii yee ak'eh didlį́
47:2:011:0	Séítan doo łínihidoocháash da biniyé; jó, éí binahagiz nihił béédahózin. 
47:2:012:0	Trówasdi Christ baa hane' yá'át'éehii baa hodeeshnih biniyé níyáago, Bóhólníihii éí shá bohónéedzą́ągo áyiilaa, 
47:2:013:0	nidi shitsilí Táítas ákwii t'áadoo bik'íníyáágóó biniinaa ch'į́į́góó ch'ééh nitséskeesgo shik'isóó t'óó bílák'e dadéshnii' áádóó Masedóniyagóó dah náádiisdzá.  
47:2:014:0	Nidi Diyin God bich'į' ahééh hasin, éí t'áá áłahjį' Christ bee ak'eh diidlį́įgo nihoo'ish, áádóó łikání halchinígíigi át'éego Christ bee béého'dílzinii t'áá ałtsogóó nihee náás shoogish. 
47:2:015:0	Yisdádaha'níiłii índa dadínóonéełjį' da'íłdįįhígíí bitahgóó Diyin God bich'į' Christ yee łikání halchinii daniidlį́, 
47:2:016:0	dadínóonéełjį' da'íłdįįhígíí bich'į' anoonéełjį' aniné halchinii daniidlį́, yisdádaha'níłígíí bich'į' éí iináajį' iiná halchinii daniidlį́. Háishą' kót'éii yíneel'ą́? 
47:2:017:0	Háálá lą'í a'ídeeł biniyé Diyin God bizaad yił tádadijeeh, ákondi nihí doo ákódeiit'į́į da; nihí t'áádóo nídí t'áá aaníí ádeiit'į́įgo índa Diyin God dabííł'aadii daniidlį́įgo Diyin God binááł Christ binahjį' dahwiilne'.
