47:12:001:1	Paul bich'į' yit'íní ályaii
47:12:001:0	Ts'ídá ádaa hash'niih doo; azhą́ t'áadoo bee nídoolyéłí da nidi, jó, Bóhólníihii bits'ą́ą́dóó ił áhát'į́ índa t'áá éí bits'ą́ą́dóó ił ééhózin nilį́į́jígo baa hashne' doo. 
47:12:002:0	Diné ła' Christ yił łá'í nilį́įgo bééhasin, dį́į́'ts'áadah nááhaídą́ą́' táadi yá'ąąsh ałk'i náhoníką́ą́ góde nabidistį́ (t'áá bits'íís beego daats'í, doodaléi' bits'íís t'áágéedgo daats'í, éí doo shił bééhózin da, nidi Diyin God t'éí bił bééhózin). 
47:12:003:0	Áko éí diné ákóbi'diilyaaígíí bééhasin (t'áá bits'íís beego daats'í, doodaléi' bits'íís t'áágéedgo daats'í, éí doo shił bééhózin da, Diyin God t'éí bił bééhózin), 
47:12:004:0	áko éí kéyah hózhǫ́ǫ́ góde nabidistį́įgo saad doo bee ha'doodzihii diné yaa hodoolnihgo doo bee haz'ą́ą daígíí yidiizts'ą́ą́'. 
47:12:005:0	Íídą́ą́' áhóót'įįdígíí baa hashniih doo, nidi t'áá shí doo ádaa hodeesh'nih da, bich'į' doo shidziilígíí t'éí bee ádaa hodeesh'nih. 
47:12:006:0	Azhą́ lá ádaa hash'niih dooleeł niizį́į' nidi, éí doo áhályáanii doo nishłį́įgo ádideeshniił da, háálá t'áá aaníí át'éé góne' ádideeshniił. Nidi shoo'ínígíí, doodaii' shá yidiits'a'ígíí biláahjį' t'áá ts'ídígi át'éego ánísht'éegi ła'da doo yee shaa nitsíkees da doo biniyé doo ákódeeshníił da. 
47:12:007:0	Diyin God bits'ą́ą́dę́ę́' t'óó ahayóigo shił ééhoozinígíí doo bee ayóogo ádaa nitséskees da dooleełígíí biniyé, shits'íís bąąh dah haz'ą́ągo shá ályaa. Áko doo ayóogo ádaa nitséskees da dooleełígíí biniyé Séítan, níłch'i bida'iiníziinii binanit'a'í, bíniik'ehgo shąąh dah hoo'a'ígíí yee nínáshidiiłtsxisgo áshi'diilyaa. 
47:12:008:0	Díí shits'ą́ąjį' nídoodleeł biniyé táadi Bóhólníihii ch'ééh baa néisiskan, 
47:12:009:0	nidi áshíłní, She'ajooba' doo bee ni'oh neesh'ą́ą da, háálá doo adziil hólǫ́ǫgi shidziil bee hada'íłt'é. Éí bąą ha'át'íhída doo bich'į' shidziilii t'óó yówehda bee ádaa hash'niihgo baa shił hózhǫ́ǫ doo, áko Christ bibee adziilii yee shii' kééhat'į́į doo. 
47:12:002:1	Paul éí Kórinthdi da'oodlání yich'į' bíni' íí'á
47:12:010:0	Éí bąą Christ bá ha'át'íhída doo bich'į' shidziilii, jó, éí saad bee shíni' nehe'aah, shité'é'į', atíshi'dil'į́, yéego shich'į' naho'diilná, díí t'áá ałtso baa shił hózhǫ́ǫgo í'dííníszin, háálá doo shidziil da nidi, shidziilgo át'é. 
47:12:011:0	Doo áhályáanii nishłį́į́ nít'éé'! Jó, nihí ákónísht'ée dooleeł góne' adashinooyood, nihíjígo yee' yá'át'éehgo shá hadahidoohdzih nít'éé'. Háálá daal'aadii aláahdi ádaat'éii dabidohnínígíí doo bi'ohgo ánísht'ée da, azháánee' t'áadoo nishłíní da nidi. 
47:12:012:0	T'áá ałtsojį' ha'ííníshníigo Diyin God bibee adziilii bee béédahózinii, áádóó bik'ee t'óó ił ahayóigo ádahooníiłii, índa ádahooníiłii ayóó ádaat'éii nihitahgóó t'áá aaníí yil'aadii nishłíinii baa naasháago áshi'diilyaa. 
47:12:013:0	Náánáłahgóó da'oodlání áłah nídaadleehii bi'ohgoósh ádanoht'é? Nihí t'áadoo naanish biih nihíínil daígíísh biniinaa akéédę́ę́' nininoodee' daats'í? Díí doo ákǫ́ǫ́ ánihiishłaaígíí t'óó shá baa dayoohnééh. 
47:12:014:0	Jó'akon k'ad táadi aleeh góne' nihaa náádeeshdáłígíí biniyé hasht'e'ádiishyaa. Nidi doo nihinaanish deeshłeeł da, háálá ha'át'íhída danihíhígíí doo bíká ásht'į́į da, nidi t'áá nihí nihíká ásht'į́, háálá a'áłchíní dajílíinii éí dahashchíinii doo bik'i nidadzildzil da, nidi ashchíinii éí ba'áłchíní yik'i nidaaldzil. 
47:12:015:0	Azhą́ shí aláahgo ayóó'ánihíínísh'níigo shí t'éí a'ohgo áshi'dó'níi doo nidi shił hózhǫ́ǫgo shee hólóonii nihá ninádideesh'ááł, t'áá shí nidi nihá niná'ádideesht'ááł. 
47:12:016:0	T'áá lá aaníí doo naanish biih nihijíínil da ni, ákondi, Hanahagiz bee nihi'joolohgo łídanihijizhcháázh lá, dashidohní. 
47:12:017:0	Da' nihich'į' nidasíł'a'ígíísh bee łídanihishécháázh? 
47:12:018:0	Táítas ákǫ́ǫ́ dínááh bidishníigo néisiskan, áko nihik'is nilíinii ła' bił ákǫ́ǫ́ ííł'a'. Ákoósh Táítas t'áá ha'át'éhígoda łínihizhcháázh? Da' doósh t'ááłá'í nitsáhákees bee íi'níił da? Da' doósh t'ááłá'ígi át'éego nihidiiltaał da? 
47:12:019:0	T'áá níléídę́ę́'ésh nihidááhdóó ách'ą́ą́h yéiilti' nít'ée'go baa nitsídaahkees? Ayóó'ánihósh'níinii, Diyin God binááł Christ bił łá'í niidlį́įgo yéiilti' nít'éé', áko danihidziil dadoohłeeł biniyé t'áá ałtsojį' nihíká aná'ahiniilchééh nít'éé'. 
47:12:020:0	Háálá ádanoht'ée dooleeł nihósh'níinii doo ákódanoht'éégóó nihaa deeshááł dó'óshłí nisin, índa hójí ájít'ée dooleeł dashíínóh'níinii doo ákónísht'éégóó nihaa deeshááł dó'óshłí nisin. Nihitahgóó daats'í ałgha'dit'ááh, ooch'į́į́d, áháchį', ałch'ą́ą́h na'a'na', nichǫ́'ógo aa yá'áti', aseezį́, áshohódli' índa hahóó'á dahólǫ́ǫ dooleeł dó'óshłí nisin. 
47:12:021:0	Jó, nihaa náánísdzáago nihinááł a'ohgo ádaa nitséskeesgo Diyin God áshidoolííł dó'óshłí nisin, áádóó t'áá íídą́ą́' lą'í bąąhági ádáát'įįdgo badaa'ihii, áádóó na'ageh yee tsi'nidaaskaii índa adádanoolníigo tsi'na'adá yaa nidaaskaii éí t'ah doo łahgo át'éego yąąh tsíńdadikeesgo yits'áhákáahii ałdó' baa yínííł biih nídeeshtłish dó'óshłí nisin.
