24:5:001:1	Jerúsalem dine'é áádóó Júdah dine'é ádił da'asiihii
24:5:001:0	Jerúsalem kin haal'áagi da'nítiingóó háádiilwo'go nanighal, áádóó ha'ísííd. T'áá bíni' nahaz'ą́ą́góó nanít'áago ákǫ́ǫ́ daats'í diné ła' doo bina'adlo'góó hináanii índa t'áá aaníinii háidéez'į́į'ii ła' naagháago bik'ídíínááł, áko doo ákǫ́ǫ́ ájíít'įįdii há yóó'adideesh'ááł. 
24:5:002:0	Azhą́, Bóhólníihii hiná, daaníi nidi, t'óó ádaaníigo ádaaní. Ts'ídá doo t'áá aaníí ádee hadaasdzíí'góó ádaaní. 
24:5:003:0	T'áá aaníinii éí há díní'į́į́', Bóhólníihii nílíinii. Naa abídziyíníłhaal nidi, t'áadoo yaa ákodaniizį́į' da. Atídeinilaa nidi, hasht'e'dabidi'doolníłígíí doo deinízin da. Binii' tsé nitł'izígíí bilááh át'éego dayííłtł'is. Łahgo át'éego tsíńdadookos yę́ę nidi, doo deinízin da. 
24:5:004:0	Éí bąą ádííniid, T'áá aaníí, díí diné doo nidaneestą́ą' da, índa doo ádahalyą́ą da, háálá Bóhólníihii bik'ehgo áhoot'éii índa biDiyin God bibik'ehgo hoogáałii doo bił béédahózin da. 
24:5:005:0	Diné agháhideezíinii baa deesháałgo bich'į' hadeesdzih, háálá éí Bóhólníihii bik'ehgo áhoot'éii índa biDiyin God bibik'ehgo hoogáałii bił béédahózin nít'éé'. Nidi díí ałdó' t'áá ahąąh azéédéetání k'ídeizti', áádóó bee bida'astł'óonii dayiizhnizh. 
24:5:006:0	Éí bąą náshdóítsoh bitsiijį' ditł'ooígíí hodíłch'ildę́ę́' naagháii nahodoołtsił. Halgaidę́ę́' mą'iitsoh ła' áhodoołdįįł. Náshdóítsoh łikizhígíí éí ła' hakin haal'áhígíí yik'i déez'į́į' doo. T'ááłá'í jinítínígo ch'éédajikahígíí nidaho'diildlaad doo, háálá t'óó ahayóidi bee haz'áanii k'ídajiizti' áádóó t'óó tsé'édinda t'ą́ą́' anáhizhndééh. 
24:5:007:0	Ha'át'íísh biniinaa ná k'éé'deeshchxǫǫł? Áko na'áłchíní yóó'adashideez'ą́, áádóó diyin dabidi'níinii yee ádee hadadeesdzíí'. Hwiih daazlį́į'jį' ba'iistsóód nít'ée'go da'díílá, áádóó dah naazhjaa'go ałjiłnii bighan naaznilgóó tádadookai. 
24:5:008:0	T'áá ákwíí bíní t'ááłá'í nítínígo łį́į́' bá ninájíłjoł áádóó łį́į́' bá niná'jíjihígi ádaat'éé nít'éé'. Áko t'áá ákwíí bíní t'ááłá'í nítínígo łį́į́' ání nahalingo yił kéédahat'íinii be'asdzą́ą́ yich'į' ádaaníí nít'éé'. 
24:5:009:0	Díí kódajíít'įįdígíí biniinaa ts'ídá atídahodeeshłííł. Dine'é kót'éii shii' sizíinii t'áá aaníí k'ééhodidoodlííł, ní Bóhólníihii. 
24:5:010:0	Ch'il na'atł'o'ii yíl'áhí góde hasohnéehgo atídaohłééh, nidi doo ałtso atídadoohłíił da. Bits'áoz'a' bits'ą́ą́' nahjį' kódaołe', háálá éí doo Bóhólníihii bí da. 
24:5:011:0	Jó, Ízrel dine'é índa Júdah dine'é t'áá íiyisí doo bazhdí'nóodlí'ígi ádashííł'įįd, ní Bóhólníihii. 
24:5:012:0	Bóhólníihii t'áá ádzaagóó yaa nidahasne'go ádadííniid, T'áadoo ánihidoolíłí da, doo yá'át'éehii doo nihik'i hwiidooleeł da, áádóó diltłish doo deidiiltséeł da índa doo dahodidoochįįł da. 
24:5:013:0	Náás áhodooníiłii yaa dahalne'ii dajílíinii t'áadoo biniyéhígóó dahojilne', índa Diyin God bizaad hwii' ádaadin, áko éí t'áá hó ákónídahodidoolnííł. 
24:5:014:0	Éí bąą t'áá ałtsoní bee Bóhólníihii Diyin God nilíinii kóní, Díí saad bee yáníłti'ígíí biniinaa díí dine'é chizhgi át'éego áhodeeshłííł, áko shizaad nizéé' góne' dideeshtłiłgo ahodidoołk'ą́ą́ł, jó'akon. 
24:5:015:0	Shoo, Ízrel dine'é nohłíinii, doo shónízáádę́ę́' náánáła' dine'é nihik'ijį' bidideeshchił, ní Bóhólníihii. Éí t'áá ałk'idą́ą́' dine'é nilį́įgo náás yikah; éí bizaad doo dadoohts'a' da índa yádaałti'go doo bik'ida'doohtįįh da. 
24:5:016:0	Dabik'aayééł éí jishcháá' ąą áhoot'éhígíí nidahalin. T'áá ałtso na'abaahjí ayóó át'éego dayiichįįh. 
24:5:017:0	Dá'ák'ehgóó nínáníłt'į́įhii deidooyį́į́ł; niye'ké índa nitsi'ké deidooldił. Nidibé deíl'áii índa nibéégashii deíl'áii deidooldił. Nich'il na'atł'o'ii deíl'áii índa fig deíl'áii yaa nahodidookah. Nikin hadaas'áago binída'azt'i'go baa dadzíínílíii diltłish yee ádeidoołdįįł. 
24:5:018:0	Azhą́ ákót'ée nidi, éí yoołkáałdi doo ałtso ánihideeshdįįł da, ní Bóhólníihii. 
24:5:019:0	Áko nidine'é, Ha'át'íí lá biniyé Bóhólníihii nihiDiyin God díí t'áá ałtso yee kónihííł'įįd lá, daniłníigo kóbidiníi dooleeł, Nihikéyahdi yóó'adashidoo'ą́ągo diyin dabidi'níinii bich'į' nidahohłáá nít' éé'; t'áá ákót'éego náánáłahdi doo nihikéyahdi diné doo béédahonohsinii bá nidaoł'a' doo. 
24:5:020:0	Jéíkab dine'é díí bee bił hólne', áádóó Júdah kéyahgi baa nahólne' kódíníigo, 
24:5:021:0	Bináá' dahólǫ́ǫ nidi, doo da'oo'íinii, bijaa' dahólǫ́ǫ nidi, doo dadiits'a'ii, doo ak'ida'diitįįhgóó doo ádahalyáanii dine'é díí dadoohts'į́į́h. 
24:5:022:0	Doósh dashidíínóhsin da índa shidááhdóó doósh nidanihiiłnáa da? ní Bóhólníihii. Jó, bee nihoní'ą́ągo hool'áágóó tó doo bilááhgóó dínóol'ąął da biniyé tónteel biniit'aa dahidíyį́į dooleełii séí ákwii yílk'idgo áshłaa. Azhą́ tónteel bíígháán náádadiidáahgo deílk'ooł nidi, doo bilááhgóó adahaalk'ooł da. Azhą́ ádá náhálchįįh nidi, doo bilááhgóó iinéeh da. 
24:5:023:0	Nidi díí dine'é t'áá áłahjį' dabijéí yee doo nabída'didzilgóó shich'į' naastee'. Łahjigo dah dahidiikaigo shits'áhaaskai. 
24:5:024:0	Aak'eego nihee náhodiłtį́įhgo índa dąągo nihee náhodiłtį́įhgo baa náhwiilzhíishgo nihee nahałtingo ánáyoodlíiłii áádóó da'agizhgo díkwíidida damį́įgo adooleełgo yee nihoní'ą́ągo nihá yaa áhályáanii Bóhólníihii nihiDiyin God haa'íyee' bich'į' nidahwiidláa dooleeł, dabijéí biyi'dę́ę́' doo daaníi da. 
24:5:025:0	Doo ákwii ádaot'įįdígíí díí nihits'ádeideez'ą́, áádóó ádił nida'ayoosíhígíí éí yá'ádaat'éehii nihits'ą́ąjį' áyósin. 
24:5:026:0	Háálá shidine'é bitahgóó diné doo yá'ádaashóonii hólǫ́; diné łoh nií'aah nahalingo yaa héeshjée' łeh. Łoh nidei'áahgo éí yee diné yił dahidideeł. 
24:5:027:0	Tsídii bighan góne' tsídii hadeezbinígi át'éego dabighangóó na'adlo' hadadeezbin. Éí bąą diné baa yáhásinii daazlį́į́', índa da'ast'įįd. 
24:5:028:0	Nidaneelk'aiigo bik'i nidazdiłtooł. Diné doo yá'ádaashóonii biláahgo ádił nida'iisííh. Áłchíní bizhé'é ádaadinii doo yaa ná'ádahodílt'į́į́góó t'áá bí t'éiyá da'ít'įįh. Hojooba' nahas'áanii bee bá nahaz'ánígíí doo yaa ná'ádahodílt'į́į da. 
24:5:029:0	Díí kódajíít'įįdígíí biniinaa ts'ídá atídahodeeshłííł. Dine'é kót'éii shii' sizíinii t'áá aaníí k'ééhodidoodlííł, ní Bóhólníihii. 
24:5:030:0	Kéyahgi t'óó bik'ee ayóogo t'óó baa'ihii baa na'asdee'. 
24:5:031:0	Náás áhodooníiłii yaa halne'í t'áá ádzaagóó dahoolne'. Nááda' iiłniihii t'áá bí ádeinízinígíí bik'ehgo nidant'áá nít'éé'. Shidine'é kót'éhígíí ayóó'ádayó'ní. Nidi nihoníyáadishą' haa dadohnííł?
