24:1:001:1	Jeremáíyah bíká áhodoo'niid áádóó bi'dool'aad
24:1:001:0	Bénjamin dine'é bikéyahdóó Ánathath hoolyéegi náá'iiłniihii dah yikahígíí bitahdóó Hilkáíyah wolyéii biye' Jeremáíyah ádííniidii. 
24:1:002:0	Éíman biye' Josáíyah éí Júdah dine'é aláahgo yinant'áago yoołkááł yę́ędą́ą́' táá'ts'áadah náhááh góne' Bóhólníihii éí Jeremáíyah yich'į' haadzíí'. 
24:1:003:0	Áádóó ałdó' Josáíyah biye' Jiihóíyakim éí Júdah dine'é aláahgo yinant'áago bíyoołkááł yę́ędóó Josáíyah biye' Zedekáíyah éí Júdah dine'é aláahgo yinant'áago ła'ts'áadah nááhaijį' ashdla' nídízííd binih Jerúsalem kin haal'áagi kéédahat'íinii dabi'disnáajį' Bóhólníihii éí Jeremáíyah yich'į' hanádzihgo hoolzhiizh. 
24:1:004:0	Áko Bóhólníihii shich'į' haadzíi'go ání, 
24:1:005:0	T'ah doo atsą́ądi hasht'enishłééh yę́ędą́ą́' nééhasin; t'ah doo iishch'id bii'dę́ę́' ni'dichíídą́ą́' diníyingo ániishłaa. Índa ał'ąą dine'é bich'į' yáníłti' dooleeł biniyé nininíłtį́. 
24:1:006:0	Áko índa ádíshní, Bóhólníihii Diyin God, shíyee' t'ah áłchíní nishłį́, jó'akon; yáshti' dooleełígíí doo bíneesh'ą́ą da. 
24:1:007:0	Nidi Bóhólníihii áshidííniid, T'ah áłchíní nishłį́, t'áadoo diníní. T'áá bich'į' nish'áhígíí t'áá ałtso bich'į' hidínáah doo. Bee nich'į' hahasdziihii éí bee yáníłti' doo. 
24:1:008:0	Ádanóolninígíí t'áadoo bééníldzidí, háálá yisdándeeshtéełgo biniyé nił honishłǫ́, ní Bóhólníihii. 
24:1:009:0	Ákohgo Bóhólníihii shizéé' yideelchidgo áshidííniid, Shoo, shizaad nizáá lá. 
24:1:010:0	Shoo, ał'ąą dine'é índa bee ídahólníihgo bił nahaz'ą́ą́góó nahjį' hahíníił doo, índa doo bidziilgóó ádanile' doo, áádóó ádahíłdįįh doo, áádóó bik'eh hidídleeh doo, áádóó hasht'éédanidle' doo índa k'éédahidídle' doo biniyé díí jį́ nininíłtį́. 
24:1:011:0	Náá'áłdó' Bóhólníihii shich'į' hanáánáádzíi'go kóní, Jeremáíyah, ha'át'íísh yíní'į́? Áko ádíshní, Álman sikaadii bitsiin yish'į́. 
24:1:012:0	Áko Bóhólníihii áshíłní, Jó, nizhónígo yiniłtsą́, háálá shizaad bi'deeshłííł biniyé baa áháshyą́.  
24:1:013:0	Áádóó Bóhólníihii naakidi aleeh góne' shich'į' hanáánáádzíi'go kóní, Ha'át'íí yíní'į́? Áko ádíshní, Ásaa' bee abéezhgo yish'į́, náhookǫsdę́ę'go siką́. 
24:1:014:0	Áádóó Bóhólníihii áshíłní, Kéyah t'áá náhwiist'ą́ą́ nít'éé' náhookǫsdę́ę'go doo yá'áshóonii bik'i dahwiidooleeł. 
24:1:015:0	Bóhólníihii ání, Shoo, náhookǫsdi ał'ąą dine'é bídahólníihgo bił nahaz'ą́ą́dę́ę́' t'áá ałtso, Wóshdę́ę́', dabidishní, áko nidahidoonéełgo t'ááłá'í níjaa'ígo Jerúsalem kin haal'áagi dáń'da'ditį́į́hgóó bídahólníih doo, índa tsé bee binaa ahééda'astł'inígíí t'áá át'é yik'ijį' danilį́į doo, áádóó Júdah dine'é bikin hadaas'áhígíí t'áá ałtso yik'ijį' danilį́į doo. 
24:1:016:0	Áádóó yóó'adashizdeez'ą́ągo diyin dabidi'níinii bich'į' łikání halchinii dazhdííłidgo índa t'áá hó dahála' bee bindajishnishii bich'į' nidahojiłáago doo yá'áshónígi ádajíít'įįdígíí biniinaa bee atíhodeeshłíiłii hak'ijį' bee hadeesdzih. 
24:1:017:0	Éí bąą áká nílzisgo yiizįįh, áádóó bee nich'į' hahasdziihii t'áá ałtso bee bich'į' yáníłti'. Tsídandółyéés lágo, éí doodaii' binááł tsíndideesyis. 
24:1:018:0	Shoo, kéyah t'áá náhwiist'ą́ą́ nít'éé', índa Júdah dine'é aláahgo binanit'a'í nilíinii áádóó nááda'iiłniihii índa naat'áanii danilíinii áádóó kéyahdóó dine'é kéédahat'íinii bik'ijį' nahonílingo kin haal'á ditą́ągo binaa ahéé'ítł'inii, béésh nitł'izii íí'áii índa béésh łitsoii bee binaa ahéé'ítł'inii nahonílingo díí jį́ áníshłééh, jó'akon. 
24:1:019:0	Nik'i néijah doo, nidi nił honishłǫ́ǫgo nił yisdáhásh'aashígíí bee doo nik'eh dazhdidlį́į da doo, ní Bóhólníihii.
