24:7:001:1	Dahinohnánígíí índa baa nidaohkaígíí hasht'éédaahdlééh
24:7:001:0	Bóhólníihii éí Jeremáíyah yich'į' hanáánáádzíi'go kóní, 
24:7:002:0	Bóhólníihii bikin bii' sohodizin bidáń'dítį́įhgi yiizįįhgo díí saad baa hólne', Júdah dine'é nohłíinii, nidahodoołaał biniyé díí dáń'da'ditį́į́hdę́ę́' yah anídaahkahígíí t'áá ánółtso Bóhólníihii áníinii deísółts'ą́ą́'. 
24:7:003:0	Ízrel dine'é biDiyin God t'áá ałtsoní bee Bóhólníihii kóní, Dahinohnánígíí índa baa nidaohkaígíí hasht'éédaahdlééh, áko índa kwe'é kééhot'į́į dooleełgo bee nihadi'deesh'ááł. 
24:7:004:0	Bóhólníihii bikin bii' sohodizin, Bóhólníihii bikin bii' sohodizin, díí lą́ą Bóhólníihii bikin bii' sohodizin át'é ni, daaníigo wooch'ííd saad t'áadoo baa dadzíínóhłíhí. 
24:7:005:0	Dahinohnánígíí índa baa nidaahkaígíí t'áá aaníí hasht'éédaahdléehgo, áádóó diné índa yił kééhat'íinii bita'gi t'áá aaníí doo haada yit'éii bá áda'oł'į́įgo 
24:7:006:0	áádóó doo Ízrel dine'é nilíinii áádóó áłchíní bizhé'é ádaadinii áádóó asdzání bąąh ádahasdįįdii doo bide ádahwíínóhsingóó áádóó kwe'é diné doo ádihodiilt'i'ii doo nidaołtseedgo bidił dadoonahgóogo índa diyin dabidi'níinii danihidoołchǫǫłii doo bich'į' dah nídoohjah ládą́ą́', 
24:7:007:0	áadi índa danihizhé'é yę́ę éí kéyah hool'áádę́ę́' ahóyéel'áágóó baa diní'ánígi kééhoht'į́į dooleełgo nihaa dideesh'ááł. 
24:7:008:0	T'áadoo nídoodleełii wooch'ííd saad baa dadzíínóhłí, jó'akon. 
24:7:009:0	Ani'į́į́' áádóó diné naatseed índa adilyéésh baa naahkai doo, índa t'óó áhodi'į́įgo ádee ha'diidziih áádóó Béíyal bich'į' łikání halchinii nááhániihiísh ádaał'į́į doo, índa diyin dabidi'níinii doo béédahonohsiniísh bik'eh wohkah doo, 
24:7:010:0	áko díí kin éí shízhi' bee wójíigo si'ánígíí bii' yah ookaigo, Yisdánihi'doo'nil, dadohníigoósh shidááhdóó nisoozį́į doo? Ákondi díí doo daaldinii t'áá ałtso baa deínóhkááh. 
24:7:011:0	Díí kin éí shízhi' bee wójíigo si'ánígíí diné aghada'ii'níiłiísh ba'áán silį́į'go baa nitsídaahkees? Shoo, t'áá shí nidi yiiłtsą́, ní Bóhólníihii. 
24:7:012:0	Nidi ts'ídá átséedi Sháíloh kin haal'áadi shá haz'ą́ągo shízhi' bee ho'dójíigo áshłaa yę́ęgóó dínááh, áko áadi shidine'é doo yá'áshónígi ádaat'ínígíí biniinaa atéshłaaígíí níníł'į́. 
24:7:013:0	Áko k'ad díí t'áá ałtso baa nisíníyá, ní Bóhólníihii, áádóó t'ah abíínídą́ą́' náádiish'nahgo nich'į' yéíłti', nidi t'áadoo disíníts'ą́ą' da, índa nich'į' haasdzíi' nidi, t'áadoo shich'į' ééhosínísįįd da; 
24:7:014:0	éí bąą Sháílohdi atídahooshłaa yę́ęgi át'éego díí kin shízhi' bee wójíigo si'ánígíí baa dadzíínóhłíigo índa nihí áádóó danihizhé'é yę́ę kwe'é haz'ą́ baa diní'ánígíí t'áá bił atínihideeshłííł. 
24:7:002:1	Diyin God éí eda'alyaii yich'į' nidahałáhígíí yich'į' báhóóchįįd
24:7:015:0	Danihik'isóó danilíinii Íífreiyim dine'é t'áá ałtso yóó'anííłkaad yę́ęgi át'éego nihí ałdó' yóó'anihidínéeshkałgo doo náádanihiideestséeł da. 
24:7:016:0	Éí bąą díí dine'é t'áadoo bá sodílziní. T'áadoo ná'iinikąąhgo bá sodílziní. T'áadoo nidi bá na'ak' íyáníłti'í, háálá doo nidideests'į́įł da. 
24:7:017:0	Júdah kéyahgi kin hadaas'áágóó índa Jerúsalem kin haal'áagi da'nítiingóó yaa nidaakaígíísh doo yíní'į́į da? 
24:7:018:0	Áłchíní éí chizh nínádayiidlah áádóó azhé'é danilíinii déédeidiłjahgo asdzání éí tááda'oo'nihgo wót'áahdi asdzą́ą́ naat'ááh bidi'níinii yá bááh nímazí áńdayiil'įįh, índa shádahodoołchįįł biniyé diyin dabidi'níinii yich'į' yanáadzi'go nááhániihii yáádayiizi'go náádayiiłniih. 
24:7:019:0	Da' shádahałchįįhísh? ní Bóhólníihii. T'áá bí yee atíńda'dilnéehgo ádił nídahałąąhgo baa yáńdahasįįh. 
24:7:003:1	Júdah nidaalteehígíí bąą atíbidi'doolnííł
24:7:020:0	Éí bąą Bóhólníihii Diyin God kóní, Shoo, díí haz'ánígíí índa diné kéédahat'íinii áádóó naaldlooshii índa tsin deíl'áhígíí áádóó dá'ák'ehgóó nidant'ą'ii bich'į' hashké dínéesdzįįłgo t'óó báhádzidgo shibee atí'él'íinii bik'i yeideeshnił, áko hodidooltłiłgo doo dínóoltsis da. 
24:7:021:0	Ízrel dine'é biDiyin God, t'áá ałtsoní bee Bóhólníihii kóní, Didlidgo náádahołniihígíí índa náádahołniihígíí bóóltą'go daołghał. 
24:7:022:0	Danihizhé'é yę́ę Ííjip kéyahdę́ę́' ch'íní'eezh yę́ędą́ą́' éí didlidgo náádahaniihii, doodaii' náádahaniihii t'áadoo bee bich'į' yéíłti' da índa t'áadoo bee bich'į' hahásdzíi' da, 
24:7:023:0	nidi díí bee bich'į' haasdzíí': ádíshníinii bik'eh dahonoł'į́, áko nihiDiyin God nishłį́į doo áádóó nihí éí shidine'é danohłį́į doo. Áko nihá yá'át'éeh dooleeł biniyé bee nihich'į' hahasdziihígíí éí t'áá ałtso bik'eh dahinohná. 
24:7:024:0	Nidi t'áadoo shik'eh dahóół'įįd da índa t'áadoo dashidiizts'ą́ą' da, nidi t'áá bí ádaaníinii índa bijéí biyi'dę́ę́' doo yá'át'éehii bił ádaat'íinii yik'ehgo deíkai, áko t'áadoo náás deeskai da, nidi t'ą́ą́' anáákai. 
24:7:025:0	Danihizhé'é yę́ę Ííjip kéyahdę́ę́' ch'íná'ná yę́ędą́ą́' áádóó díí jį́įjį' shá nidaal'a'í, shá dahalne'ii t'ah abínídą́ą́' náádiish'nahgo t'áá ákwíí jį́ nihich'į' ałnáádaash'aahgo shá nidaas'a'. 
24:7:026:0	Nidi t'áadoo dashidiizts'ą́ą' da áádóó da'didoots'į́į́ł biniyé t'áadoo shich'į' dah dadíníit'ą́ą da índa doo nibída'didzilgóó dabizhé'é yę́ę yiláahgo t'óó tsé'édinda ádáát'įįd. 
24:7:027:0	Éí bąą díí saad t'áá ałtso bee bich'į' hahidíídzih, nidi doo dandidoots'į́įł da, áádóó ałdó' yéego bíká ádíníi nidi, doo nich'į' éédahodoosįįł da. 
24:7:028:0	Áko ádabididííniił, Díí dine'é biDiyin God áníinii doo yik'eh dahół'į́į da índa k'éhézdon ninábidi'doo'niłígíí doo deinízin da. T'áá aaníinii ásdįįd, áádóó doo yee yádaałti'góó ádabi'diilyaa. 
