24:35:001:1	Rííkab dine'é ak'eh dahół'íinii
24:35:001:0	Josáíyah biye' Jiihóíyakim éí Júdah dine'é aláahgo yinant'áago bíyoołkááłdą́ą́' Bóhólníihii éí Jeremáíyah yich'į' hanáánáádzíi'go kóní, 
24:35:002:0	Nílááh, Rííkab dine'é bich'į' dínáahgo bich'į' handziih, áádóó nídíí'ishgo Bóhólníihii bikin bii' sohodizin góne' éí łahgo dahooghanígíí biyi' góne' yah adíí'ish, áádóó wáin bitaadííkaałgo deidoodlį́į́ł. 
24:35:003:0	Áko Habazináíyah biye' Jeremáíyah biye' Jeiyazanáíyah áádóó Habazináíyah bik'isóó danilíinii áádóó éí biye'ké danilíinii índa Rííkab dine'é danilíinii t'áá át'é dah dii'eezh, 
24:35:004:0	áádóó Bóhólníihii bikin bii' sohodizin góne' yah íí'eezhgo Diyin God yá naal'a'í Igdaláíyah biye' Héínan biye'ké danilíinii bighan góne' yah íí'eezh. Éí dáádéesdáhí Shálam biye' Méíyasíyah bighanígíí bikáa'di naat' áanii danilíinii bighanígíí bíighahgóó hooghango ákóne' yah íí'eezh, 
24:35:005:0	áko Rííkab dine'é bidááhgóó wáin tóshjeeh yázhí bii' hadadeezbingo áádóó bee adlání ninínilgo, Wáin daohdlą́, bidííniid. 
24:35:006:0	Nidi hadaasdzíi'go ádadííniid, Wáin éí ts'ídá doo dadiidlį́įł da, háálá Rííkab biye' Jónadab nihizhé'é yę́ę éí, Hool'áágóó wáin ts'ídá doo dadoohdlį́įł da; nihí áádóó nihada'áłchíní hool'áágóó doo deidoodlį́įł da, nihiłníigo yee nihich'į' haadzíí', 
24:35:007:0	índa kin doo ła' ádadoohłíił da, áádóó álástsii' doo ła' adadoohjih da, índa ch'il na'atł'o'ii doo k'idadidoohłéeł da, doo nidi ła' nihee hólǫ́ǫ da doo, nidi kéyah bii' t'óó átsééd kéédahoht'ínígíí éí bii' nízaadgóó dahinohnáa dooleeł biniyé níbaal bii' danihighan doo. 
24:35:008:0	Nihí áádóó nihe'asdzą́ą́ áádóó nihiye'ké índa nihitsi'ké éí Rííkab biye' Jánadab nihizhé'é yę́ę, Anihídayiiską́ąjį' wáin ts'ídá doo ła' doohdlį́įł da, níigo yee nihich'į' haadzíi'ii bik'eh dahosiil'įįd. 
24:35:009:0	Nihikin bii' kéédahwiit'į́į dooleełígíí nidi ádin. Nihich'il na'atł'o'ii doo deíl'áa da. Nihikéyah áádóó álástsii' adoojihígíí nidi nihee ádin. 
24:35:010:0	Jánadab nihizhé'é yę́ę, Díí bida'doohłííł, nihiłníigo yee nihich'į' haadzíi'ii t'áá át'é bik'eh dahosiil'įįdgo t'áá ákǫ́ǫ́ ádeiidzaa; níbaal t'éí bii' kéédahwiit'į́. 
