24:21:001:1	Jerúsalem ádooldįįł álą́ąjį' baa hóóne'
24:21:001:0	Bóhólníihii éí Jeremáíyah yich'į' haadzíí' yę́ędą́ą́' aláahgo naat'áanii Zedekáíyah éí Melkáíyah biye' Pásher áádóó náá'iiłniihii Méíyasíyah biye' Zefanáíyah hach'į' ayííł'a'go kóní, 
24:21:002:0	Bóhólníihii nihá nabídíłkid, háálá Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar nihik'iijeeh. Bóhólníihii t'óó bik'e'ayóigo naashnishígíí t'áá ałtso bik'ehgo Nébukadnézzar nihits'ádoonéłígíí biniyé nihíká adoolwołgo da'át'é. 
24:21:003:0	Ákohgo Jeremáíyah áháłní, Zedekáíyah kóbididoohniił, 
24:21:004:0	Ízrel dine'é biDiyin God Bóhólníihii kóní, Shoo, Bábilan dine'é aláahgo binanit'a'í índa bisiláo áádóó Kaldíya dine'é bisiláo éí ninaa ahé'ítł'inígíí tł'óó'dę́ę'go nihiniyé nidahaaznáago nihináshzhiizhígíí bik'ijį' bee nida'abaahii éí bee doo ła' dadoohłííłgóó ánihideeshłííł, áádóó éí díí kin yíl'áhígíí ałníi'gi ałk'iyéideestsih. 
24:21:005:0	Áádóó t'áá shí sháháchį'go bik'e'íyé'ígi át'éego atínihish'į́įgo t'óó báhádzidgo até'ésh'į́įgo shigaan ayóó ábóodziilii bee nihich'į' k'ídííníshnii'go nihił da'ahideeshgą́ą́ł. 
24:21:006:0	Díí kin haal'áagi diné kéédahat'íinii áádóó dabilį́į́' atídeeshłííł. Naałniih ayóó át'éii nahodoołtsił. 
24:21:007:0	Bóhólníihii kóní, Áádóó bik'ijį' Júdah dine'é aláahgo binanit'a'í Zedekáíyah índa bá nidaal'a'í áádóó dinéda índa díí kin haal'áagi naałniih, áádóó diltłish índa dichin t'áadoo dahóóghą́ą́'góó dadzidziihii Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar índa hwe'ana'í danilíinii áádóó hazéé' nidei'áii baa hodideesh'ááł. Áko doo ááhodoosįįł da, doo hak'édí dooleeł da índa doo haa a'ááh dínóozįįł da. 
24:21:008:0	Áádóó díí dine'é ábididííniił, Bóhólníihii kónihiłní, Iiná dooleełgo honít'i'jí índa da'dootsaałgo honít'i'jí bee nihił hashne', jó'akon. 
24:21:009:0	Díí kin haal'áagi t'áá ákǫ́ǫ́ nidajikaii éí diltłish bee nidahodi'dootsił, áádóó dichin índa naałniih nidahodoołtsił, nidi díí kin haal'áádóó nahgóó ch'ízhníyáii éí Kaldíya dine'é bisiláo honáshzhiizhii dahwiidoołtsołgo éí jiináa doo, áádóó binaalte' jílį́į doo. 
24:21:002:1	Júdah dine'é aláahgo bindanit'a'í bik'ijį' náásgóó ábi'didoolniił baa hóóne'
24:21:010:0	Háálá díí kin haal'áhígi yá'áhoot'éehgo doo nísh'į́į da, nidi doo yá'áshǫ́ǫ́góó nísh'į́, ní Bóhólníihii, áko Bábilan dine'é aláahgo binanit'a' í baa didoot'áałgo éí yihodidooniłgo ałtso iididoołk'ą́ą́ł. 
24:21:011:0	Áádóó Júdah dine'é aláahgo binanit'a'í bits'ą́ą́dóó ahoolchíiłii ábidiní, Bóhólníihii bizaad yíníłts'ą́ą́'. 
24:21:012:0	David bits'ą́ą́dóó ahoołchíiłii danohłíinii, Bóhólníihii kónihiłní, T'ah abínídą́ą́' doo haada yit'éii baa hohkááh, áádóó diné bigha'ílyáii bide áhósinii bits'ąą yisdádahohnííł. Éí doodaii' doo yá'áshónígi ádaat'ínígíí biniinaa sháháchį'ígíí kǫ' diltłi'ígíí nahalingo hadidoonoł, áádóó ła'da doo yidínóołtsis da. 
24:21:013:0	Yíldzisgi tsé dah azkánígíí bighą́ą́'góó kéédahoht'íinii, nihik'ijį' nishłį́, jó'akon, ní Bóhólníihii. Áko ádadohní, Háishą' nihik'ijį' nilíinii nihaa tiih doonééł? doodaii', Háishą' kéédahwiit'íní góne' adahidoonééł? 
24:21:014:0	Nidi baohkah yę́ę bits'ą́ą́dóó nihineest'ą' danilínígíí bik'ehgo atídanihideeshłííł, áádóó tsin bee hodíłch'ilgo yíl'áhígíí bohodideeshniłgo ałtso adidook'ą́ą́ł, áko bik'i dinaagóó yíl'áhígíí ts'ídá ałtso dadidoolił, ní Bóhólníihii.
