42:2:001:1	Jesus Christ bi'dizhchį́
42:2:001:0	Ákwe'é yoołkááł yę́ędą́ą́' nahasdzáán yikáá' diné kéédahat'ínígíí t'áá ałtso dabízhi' naaltsoos bik'idadoodzohgo, Síízar Agástas yee nihoní'ą́. 
42:2:002:0	Síriya kéyahdi Kwiríniyas naat'áanii nilį́į́dą́ą́' díí ts'ídá átsé dabízhi' naaltsoos bik'idaasdzoh. 
42:2:003:0	Áko t'áá ádzíłtso daházhi' naaltsoos bik'idadoodzoh biniyé, t'áá hó hakin hadaas'áágóó adadziiskai. 
42:2:004:0	Áádóó Jóseph ałdó' Gáliliidę́ę́', Názareth hoolyéego kin haal'áhídóó, Judíya biyi'góó David bikin haal'áhígíí Béthlehem hoolyéejį' jiníyá, háálá David ba'áłchíní náás ahoolchíłígíí ła' jílį́, 
42:2:005:0	Mary, hwe'asdzą́ą́ dooleełgo haa deet'ánígíí bił, házhi' naaltsoos bik'idoodzoh biniyé jiní'áázh, áko Mary éí yiltsą́ągo 
42:2:006:0	t'áá ákwe'é dzizkéego, azhdoołchíiłjį' ayííłką́. 
42:2:002:1	Diyingo nidaal'a'í áádóó nida'niłkaadii
42:2:007:0	Áko ashkii átsé doochíłígíí jishchį́įgo na'at'ą́hí łigaígíí bił dzizdisgo béégashii yii' nída'alchoshígíí biih jííłtį́, háálá da'nijahí góne' doo há haz'ą́ą da lá. 
42:2:008:0	T'áá éí kéyah haz'ą́ągi nida'niłkaadii tł'ée'go dibé yaa ádahalyą́. 
42:2:009:0	Nít'éé' Bóhólníihii bidiyingo naal'a'í hak'i hoole'go Bóhólníihii bits'ádi'nílíidii bee hanaagóó i'díídláád, áko t'áá íiyisí nídadzisdzííd. 
42:2:010:0	Áádóó diyingo naal'a'í áhodííniid, T'áadoo nídaałdzidí, háálá jó'akon, hane' yá'át'éehii t'áá íiyisí ił hóshóonii bee nihił hodeeshnih, áko éí diné t'áá ałtso bá dooleeł, 
