42:7:001:1	Jesus éí siláo neeznádiingo yinanit'a'í nilíinii bá naal'a'í néidiisá
42:7:001:0	Áko diné dahwíísts'ą́'ígíí ałtso bich'į' niyázh'níłti'go Kapérniyamgi jiníyá. 
42:7:002:0	Áádóó siláo neeznádiin yilt'éego yinanit'a'í ła' bá naal'a'í ayóogo bił nilínígíí, éí daatsaahgo dadootsaałjį' ahoolzhiizh lá. 
42:7:003:0	Áko Jesus baa hozdiizts'ą́ą'go, Áádę́ę́' shaazhdoogáałgo shá naal'a'í náábizhdidoołááł, jiníigo Jew dine'é aląąjį' naazíinii Jesus bich'į' ajííł'a'. 
42:7:004:0	Áko Jesus yaa yíkaigo, t'áá íiyisí nídayooskango ádaaní, Díí bá ádííníiłii t'áá yą́ą́h nilį́, 
42:7:005:0	háálá nihidine'é ayóó'áyó'ní, áádóó kin bii' áłah ná'ádleehígíí nihá áyiilaa. 
42:7:006:0	Áko Jesus yił dah diikai. Bighan t'áá áyídí hadziihgo, siláo binanit'a'í bik'isóó ła' hach'į' ayííł'a'go áháłní, Bóhólníihii shaa wóóya' lágo, háálá shighan góne' shił yah adíínáałgi doo bą́ą́h nishłį́į da, 
42:7:007:0	áádóó t'áadoosti'ee doo nidááh deesháał da nidi. T'óó saad bee handziih, áko shá naal'a'í náádidoodááł. 
42:7:008:0	Háálá shí ałdó' shinanit'a'í hólǫ́, áádóó siláo binanit'a'í nishłį́, áko ła', Ákǫ́ǫ́ díínááł, bidishniihgo dah diighááh; náánáła', Hágo, bidishniihgo shaa yighááh, áádóó shinaalte', Kónínééh, bidishniihgo t'áá áko éí áyiił'įįh. 
42:7:009:0	Áko Jesus díidí yidiizts'ą́ą'go hak'ee t'óó bił ahóóyóí, áádóó názyizgo diné bikéé' nooyéłígíí áyidííniid, Ánihidishní, Oodlą́ bee aa dzódlí kót'éii Ízrel dine'é bitahgi nidi t'ah doo ła' bik'ínísháah da. 
42:7:002:1	Néin hoolyéedi Jesus asdzání bąąh áhásdįįdii biyáázh néidiisá
42:7:010:0	Áádóó siláo yinanit'a'í éí yiyííł'aadígíí hooghangi nákai, nít'éé' éí naal'a'í yá'át'ééh násdlį́į́' lá. 
42:7:011:0	Áádóó náábiiskání Néin hoolyéedi kin haal'áágóó jiníyá, áko hódahooł'aahii índa diné t'óó ahayóí hoł yíkai. 
42:7:012:0	Nít'éé' kin haal'áago bił yah e'atiin bidáádílkałjį' ajííyáago, jó'akon, ła' dadziztsą́ lágo ch'ího'deeltį́, éí t'áá hó t'éiyá asdzání bąąh áhásdįįdii nilíinii biyáázh jílį́į́ nít'éé' lá, áádóó kin haal'áádóó diné lą'í baa áłah nilį́. 
42:7:013:0	Áko Bóhólníihii hoołtsą́ągo haa a'ááh niizį́į'go áhodííniid, T'áadoo nichaí. 
42:7:014:0	Áádóó hwíighahgi deeyáago bee nidaho'diltéhígíí yideelchidgo, da'íłteehii deizį'. Áko daaztsánígíí áyidííniid, Dinééh, ándishní, Nídiidááh. 
42:7:015:0	Áádóó neezdáago, ayá'niiłti'. Áádóó hamá yaa náhoníłtį́. 
42:7:016:0	Áko t'áá ałtso t'óó bił daayée'go Diyin God yaa dahaniihgo ádaaní, Diyin God yá halne'ii ayóó át'éii nihitahgi nídiidzáá lá! áádóó, Diyin God bidine'é yíká adoolwoł yiniyé yaa níyáá lá! 
42:7:003:1	John Tó Yee Asį́įhii bits'ą́ą́dę́ę́' naal'a'í
42:7:017:0	Áádóó Judíya kéyah biyi'góó t'áá át'éé nít'éé' índa binaagóó díí bee haa hane'go adahideezdláád. 
42:7:018:0	Áko John hódahooł'aahígíí díí t'áá ałtso yee hoł nídahoolne'. 
42:7:019:0	Áko John hóhooł'aahii nidilt'éego hágo bizhdííniidgo, éí Jesus bich'į' ajííł'a'go kóbididoohniił bijiní, Da' niísh doogááł ha'nínę́ę ánít'į́, éí doodago náánáła' daats'í bíká dadíit'į́į' doo? 
42:7:020:0	Áko diné éí Jesus yaa ní'áazhgo áyidííniid, John Tó Yee Asį́įhii nich'į' anihííł'a'go kóbididoohniił nihiłní, Da' niísh doogááł ha'nínę́ę ánít'į́, éí doodago náánáła' daats'í bíká dadíit'į́į' doo? 
42:7:021:0	Áko t'áá ákwe'é oolkiłgo lą'í ka nidaakaii índa bąąh nidahałniih hadaałt'é áńdajidle' áádóó níłch'i bi'iiníziinii bii' dahólónígíí biyi'dę́ę́' hahizneeskaad, índa lą'í doo da'oo'ínígíí da'oo'į́įgo áńdajidle'. 
42:7:022:0	Áko Jesus hach'į' hanáánáádzíi'go áhodííniid, Nihílááh nááht'ash, díidí woołtsánígíí índa disoots'ą́'ígíí bee John bił hodoołnih: doo da'oo'ínígíí da'oo'į́ áńdaalne', nida'niłhodígíí nidaakai áńdaalne', łóód ats'íís yiyáanii naałdzidii bee bąąh dah nidahaz'ánígíí hadaałt'é áńdaalne', áádóó bijédaahkałígíí da'diits'a' áńdaalne', daneeznánígíí nááhidiiljeeh, badahojoobá'íígíí hane' yá'át'éehii bee bił dahane', dohníigo. 
42:7:023:0	Áádóó t'áá háiida doo bił naaki danilį́į́góó shaa nitsídaakeesígíí éí bik'idahojidlí. 
42:7:024:0	Áko John bá naal'a'í dah nídiit'áazhgo, Jesus éí áłah ílínígíí yich'į' John baa ayázh'niiłti'go ájíní, Ha'át'íishą' dadínóoł'įįłgo honoojíígóó nidasoohkai? Lók'aa' níyol bighádígíí daats'í? 
42:7:025:0	Nidi ha'át'íishą' deidoołtséełgo ákǫ́ǫ́ nidasoohkai? Diné éí éé' daalzhólíii yee hadít'éii daats'í? Jó'akon, diné t'áá íiyisí ílį́įgo hadadít'éii índa t'áá ałtsoní yee nída'aldįįhii éí aláahgo naat'áanii dabinághangóó kéédahat'į́. 
42:7:026:0	Áko ha'át'íishą' deidoołtséełgo ákǫ́ǫ́ nidasoohkai? Diyin God yá halne'ii daats'í? Éí lą́ą, áádóó Diyin God yá halne'ii yiláahgo át'éii nilíinii nihidishní. 
42:7:027:0	Jó, éí kót'éego bee ak'e'ashchínígíí át'į́:Jó'akon, shá halne'ii nilą́ąjį' deesh'aał,éí ná honít'i'ii nilą́ąjį' ná hasht'eidoolííł.  
42:7:028:0	Nihił hashne', Diné nidahaazhchíinii bitahdóó doo ła' John Tó Yee Asį́įhii yiláahgo át'ée da, nidi t'áá háiida Diyin God bee bóhólníihgo bił haz'áanii biyi' a'ohgo ájít'éii nidi éí John biláahgo ájít'é. 
42:7:029:0	Áádóó diné t'áá ałtso índa tax nahalyéhígíí yiniyé naazdáii John Tó Yee Asį́įhii tó yee dabíísį́į'ii éí díí deidiizts'ą́ą'go ádadííniid, Diyin God ts'ídá t'áá ákogi át'éé lá, 
42:7:030:0	nidi Férisii danilíinii índa bee haz'áanii yínda'niłtinii éí Diyin God binahat'a' doo ádá deinidzin dago biniinaa, John tó yee dabidoosį́łígíí doo deinízin da nít'éé'.  
42:7:031:0	Bóhólníihii ání, K'ad diné ahoolchíłígíishą' ha'át'íí bił ahąąh nideeshniłgo binahjį' baa hodeeshnih, áádóó ha'át'íishą' nidahalin? 
42:7:032:0	Jó, éí nida'iiniihgóó áłchíní nidaháaztą́ągo yił nidaanéhígíí kót'éego yich'į' ádaanínígíí nidahalin,Tsin bee í'dílzoołí nihá nidasii'ne', nidi doo da'oołzhiizh da;nihich'į' atídadiniidlį́į́', nidi nihí t'áadoo daohcha da. 
42:7:033:0	Háálá John Tó Yee Asį́įhii łees'áán doo bich'iyą'góó índa wáin doo yidlą́ą́góó níyá, áko nihí ádadohní, Níłch'i bi'iiníziinii biyi' hólǫ́ǫ́ lá. 
42:7:034:0	Diné Silį́į'ii éí doodį́įłii áádóó doodlį́įłii yiyą́ągo níyá, áko ádadohní, Jó'akon, diné dibidii índa adláanii nilį́į́ lá, tax nahalyéhígíí yiniyé naazdáii índa bąąhági ádaaníiłii yich'ooní nilį́į́ lá! 
42:7:004:1	Jesus éí Sáíman, Férisii nilíinii, yighandi sidá
42:7:035:0	Áko hódzą́ ááníłígíí bee t'áá ákogi át'éego bééhózin. 
42:7:036:0	Áádóó Férisii ła' adiidį́į́ł hodííniid, áko éí Férisii bighangi jiníyáago azhdooyį́į́ł biniyé dzineezdá. 
42:7:037:0	Nít'éé' kin haal'áagi asdzání ła', bąąhági ááníiłii nilį́įgo, Férisii bighan góne' dzizdáago ajiyą́ągo bił bééhoozin, áko tózis tsé alabáster yolyéhígíí bee ályaago ak'ah yee yah ayíí'ą́, 
42:7:038:0	áko Jesus tł'azdéestį́įgo hakee' yich'į' yiizį'go yichago binák'eeshto' yee hakee' néístłée'go bitsii' yee hakee' yiyíít'óód, áádóó hakee' yizts'ǫs, índa ak'ah yik'ijį' yayiiziid. 
42:7:039:0	Áko éí Férisii hágo hodííniidii díí yiyiiłtsą́ągo, t'áá biyi'ídi ání, Díí diné Diyin God yá halne'ii nilį́įgo, díí asdzání hódílnihígíí át'íinii hoł bééhózin doo nít'éé', háálá asdzání bąąhági ááníiłii nilį́. 
42:7:040:0	Áádóó Jesus haadzíi'go áhodííniid, Sáíman, bee nich'į' hadeesdzihii hólǫ́. Áko ádííniid, Ha'át'íishą', Na'nitiní? 
42:7:041:0	Jesus áhodííniid, Béeso a'iiníiłii léi' diné nidilt'éego yąąh hayííł'á; ła' ashdladi neeznádiin denériyas, náánáła' éí ashdladiin. 
42:7:042:0	Áko t'áá áłah t'áadoo nináyódléłí dago, t'áá áłah t'óó yá yik'i adeezo. Éí bąą háidíígíishą' agháago ayóó'áhó'níi dooleeł? 
42:7:043:0	Sáíman haadzíi'go ádííniid, Atisgo bąąh háá'áhígíí shį́į́. Áko áháłní, T'áá ákóne' háínídzíí'. 
