42:1:001:1	Hane' Thiyáfilas bá bee ak'e'ashchíinii
42:1:001:0	T'áá aaníí woodláanii nihitahgóó bidahoolyaii lą'í yaa dahalne'go ak'eda'ashchį́. 
42:1:002:0	T'áá ch'óóshdą́ą́dą́ą́' áádóó wóshdę́ę́' dabíínáłígíí índa Diyin God bizaad yaa dahalne'ii yee nihił dahoolne'ígíí bik'ehgo ak'eda'ashchį́. 
42:1:003:0	Éí bąą shí ałdó' díí t'áá ałtso t'áá dadeezt'i'dóó wóshdę́ę́' hazhó'ó bik'i'diitą́ągo t'áá ádaat'éégóó ałkéé' sinilgo bee nich'į' ak'e'deeshchíiłgo yá'át'ééh nisin, Thiyáfilas t'áá íiyisí ił nílíinii, 
42:1:002:1	John Tó Yee Asį́įhii doochíiłgi t'áá bítséedi baa hóóne'
42:1:004:0	bee nił hóóne'ígíí t'áá aaníigo nił bééhodoozįįł biniyé bee ak'e'deeshchííł. 
42:1:005:0	Hérad éí Judíyagi aláahgo naat'áanii nilį́įgo yoołkááł yę́ędą́ą́', náá'iiłniihii léi' Zekaráíyah joolyéii Abáíjah yił danilínígíí ła' jílį́. Hwe'asdzą́ą́, Elízabeth wolyéii, éí Éran bits'ą́ą́dóó oochíłígíí ła' nilį́. 
42:1:006:0	T'áá ájíłah Diyin God binááł ts'ídá t'áá ákogi ájít'é, Bóhólníihii yee has'áanii índa bibik'eh ó'oo'níiłii t'áá át'é bee t'áadoo bee hak'íhót'ahígóó jiiná. 
42:1:007:0	Ha'áłchíní ádin, háálá Elízabeth doo ałchíi da, áádóó t'áá ájíłah t'áá hazhó'ó hadzistih. 
42:1:008:0	Zekaráíyah áádóó bił nidajilnishígíí Diyin God bich'į' náádajiiłniih baa hoolzhiizh. 
42:1:009:0	Áko t'áá nááda'iiłniihii bee bá haz'ánígíí bik'ehgo tsin bijeeh dilidgo łikání halchinii jidiłid doo biniyé yáá'iilt'e', áko éí bee hak'i hodiinii'go Bóhólníihii bikin bii' sohodizin góne' yah ajííyá. 
42:1:010:0	Tsin bijeeh dilidgo łikání halchinii didoodlił baa hoolzhiizhgo tł'óo'di diné haal'áhígíí t'áá át'é sodadilzin. 
42:1:011:0	Áádóó Bóhólníihii bidiyingo naal'a'í ła' hach'į' niníyáago tsin bijeeh dilidgo łikání halchinii bikáá' náá'iiniihí nish'náájígo yíighahgi sizį́įgo hoł ádzaa. 
42:1:012:0	Áko Zekaráíyah díí yiyiiłtsą́ągo bitah hodiisnáa'go bik'ee t'óó bił hóóyéé'. 
42:1:013:0	Nidi diyingo naal'a'í ábidííniid, T'áadoo nił yé'í, Zekaráíyah, háálá nisodizin ná yidiizts'ą́ą́', áko ne'asdzą́ą́ Elízabeth éí ashkii ná yidoołchííł, áko John bee yídíízhiił. 
42:1:014:0	Ił hózhǫ́ índa t'áá íiyisí ił hózhóonii nee hólǫ́ǫ doo, áádóó yizhchį́įgo lą'í baa bił dahózhǫ́ǫ dooleeł, 
