42:4:001:1	Jesus bóhodi'neestą́ą́'
42:4:001:0	Áko Jesus, Níłch'i Diyinii bii' hadeezbingo Jórdandę́ę́' nádzá, áádóó Níłch'i Diyinii dahodiisáago 
42:4:002:0	honoojíidi dízdiin hwiiską́, áadi níłch'i bida'iiníziinii binanit'a'í hóneeztą́ą́'. Áko éí neiłka'ígíí biyi' t'áadoo ajííyą́ą' da; t'áá éí neiłka'ígíí bíighah azlį́į'go índa dichin dzizlį́į́'. 
42:4:003:0	Níłch'i bida'iiníziinii binanit'a'í áhodííniid, Diyin God biYe' nílį́į́ ládą́ą́' díí tsé bááh nídoodleełgo bá handziih. 
42:4:004:0	Nít'éé' Jesus haadzíi'go ííłní, Diyin God bizaad bee ak'e'ashchíinii kóní: Diné doo bááh t'éí yee hináa da doo, nidi saad t'áá ałtso Diyin God yee hahadziihii yee hináa doo. 
42:4:005:0	Nít'éé' níłch'i bida'iiníziinii binanit'a'í hoł híi'áázh, áko nahasdzáán bikáa'gi bee ídahólníihgo bił nahaz'áanii t'áá ałtso dzineesk'oł nahalingo bik'izhdooghał biniyé hach'į' yit'íní áyiilaa, 
42:4:006:0	áko níłch'i bida'iiníziinii binanit'a'í áhodííniid, Díí bee ídahólníihgo bił nahaz'áanii índa yee ayóó ádaat'éii t'áá át'é naa dideesh'ááł, háálá éí shaa deet'ą́, áádóó t'áá háiida baa dideesh'ááł niizį́'ígíí éí baa dideesh'ááł. 
42:4:007:0	Áko shich'į' nahosínísáago, díí t'áá át'é ni dooleeł. 
42:4:008:0	Áádóó Jesus hanáánáádzíi'go ííłní, [Séítan nílíinii, shidinínáágóó aninááh, háálá] kót'éego bee ak'e'ashchį́:Bóhólníihii niDiyin God bich'į' nahółáa doo,áádóó t'áá bí t'éiyá bá nanil'a' doo.  
42:4:009:0	Nít'éé' Jerúsalemgóó ahóólóóz, áko kin bii' sohodizin bikáá'dóó dego yaa'áhígíí bílátahgi dah hwiisį', áko ánááhodi'ní, Diyin God biYe' nílį́į́ ládą́ą́', kodóó hadah dah diilyeed, 
42:4:010:0	háálá kót'éego bee ak'e'ashchį́:Diyin God éí bidiyingo nidaal'a'í naa ádahalyą́ągo íidoolííł, 
42:4:011:0	áádóó,Bíla' yee dah daníłteehgo doo tsé bik'ą́ą́h didííltał da.  
42:4:012:0	Áko Jesus éí níłch'i bida'iiníziinii binanit'a'í yich'į' hanáánáádzíi'go ání, Bóhólníihii niDiyin God t'ááká nabínóótaah lágo, ha'ní. 
42:4:002:1	Gáliliigi Jesus éí hane' yá'át'éehii yaa aho'niilne'
42:4:013:0	Níłch'i bida'iiníziinii binanit'a'í na'íhontaah ałtso yee nahóneeztą́ą'go, ashja nááhoodzaago índa nízingo hats'ą́ąjį' dah diiyá. 
42:4:014:0	Áádóó Níłch'i Diyinii bibee adziil yee Jesus Gáliliijį' nádzá, áádóó bee baa hane'ígíí kéyah t'áá át'éé nít'éé' bikáá'góó adahosiists'ą́ą́'. 
42:4:003:1	Jesus éí Názarethdi doo bidi'niidzį́į' da
