42:10:001:1	Tsosts'idiin jilt'éego daho'dool'aad
42:10:001:0	Áádóó bik'ijį' Bóhólníihii éí diné náánáła' tsosts'idiin yilt'éego néidiinil. Áko kin hadaas'áágóó índa kin naazhjaa'góó k'adę́ę dashdiigháahgo naaki níláago álą́ąjį' ajiis'a'. 
42:10:002:0	Íídą́ą́' ábizhdííniid, T'áá íiyisí da'neest'ą́, nidi da'dooyishígíí t'áá díkwíí; éí bąą agizh bee Bóhólníihii bá da'dooyishígíí dá'ák'ehgóó iidiyooł'aałgo bíká sodadołzin. 
42:10:003:0	Nihílááh wohkah; jó'akon, mą'iitsohtahgóó dibé yázhí dadeeskaiígi át'éego danihidish'á. 
42:10:004:0	Dah na'ayizii áádóó azis bee na'aljidí índa ké t'áadoo dayínóhjáhí, áádóó k'é ha'ní biniyé atiingóó t'áadoo nida'áhodołziidí. 
42:10:005:0	T'áá haa'ída hooghangi yah adahohkáahgi átsé, Díí hooghanígi hózhǫ́ǫ le'! dadohní. 
42:10:006:0	Áádóó diné k'é nídzinii ákwii ła' sidáago, k'é bee yínóh'níinii bił hólǫ́ǫ dooleeł, doodaii' éí k'éhígíí t'óó nihich'į' t'ą́ą́' nídoodleeł. 
42:10:007:0	Áádóó t'áá éí hooghanígi t'áá ákwii nahísóotą́ą doo, t'áá nihiyaa nidayiikaahígíí daahsą́ áádóó daahdlą́ą doo, háálá naalnishí éí bich'į' nahalyéii yą́ą́h nilį́; t'áadoo t'óó hootaadaahkaaí. 
42:10:008:0	T'áá haa'ída kin hadaas'áagi nidahohkáahgo, k'é danihiłníigo, t'áá nihiyaa nidayiikaahígíí daahsą́; 
42:10:009:0	ákwe'é bitah doo dahats'ídígíí hadaałt'é áńdaahdle'go, Diyin God bee bóhólníihgo bił haz'áanii bee nihaa honíyá, dabidohní. 
42:10:010:0	Nidi t'áá haa'ída kin hadaas'áagi nidahohkáahgo doo k'é danihiłníígóó, ákwe'é kintah da'nítiinjį' ch'ídahohkáahgo ádadidoohniił, 
42:10:011:0	Nihikintahdóó łeezh nihikee' bee łibá daazlį́'ígíí nihik'ijį' ádąąh deiildééh, ákondi díí nihił béédahózin le', Diyin God bee bóhólníihgo bił haz'áanii bee nihaa honíyá. 
42:10:002:1	Kin hadaas'áagi bąąhági ádaat'éii yaa deíkáahii
42:10:012:0	Nihił hashne', aa hwiinít'įįh beiníłką́ądi éí kin haal'áhígíí Sádam biláahgo atíbidi'doolnííł.  
42:10:013:0	Koréízingi kéédahoht'íinii, doo hojooba' ájíníi da! Bethséyidagi kéédahoht'íinii, doo hojooba' ájíníi da! Háálá aají nihitahgi ádahooníiłii ayóó ádaat'éii baa nida'asdee'ígíí éí Táir índa Sáídan kin haal'áagi baa nida'asdee' nít'ée'go, ákwii kéédahat'íinii ałk'idą́ą́' aghaashzhiin yistł'óonii yee hadadiidzaago łeeshch'iihtahgi dineezbingo łahgo át'éego Diyin God yich'į' tsíńdadeezkéezgo yaa dadzoozlíi' doo nít'éé'. 
