42:16:001:1	Naalye'é yaa áhályáanii bina'adlo'ii binahjį' hane' bee ak'idi'dootį́įłii
42:16:001:0	Jesus bídahooł'aahii ałdó' áyidííniid, Diné léi' ła' ajit'į́įgo hanaalye'é há yaa áhályáanii hwee hólǫ́, nít'éé' éí yik'i dahodii'ą́ągo ádeiłní, Ninaalye'é t'óó yóó'ayiinííł. 
42:16:002:0	Nít'éé' hágo bizhdííniidgo ábijiní, Haa shį́į́ yit'éego naa hodiists'a'. Naaltsoos bik'ehgo shinaalye'é baa áhólyánígíí yah anáníłtsóós, háálá kodóó shinaalye'é doo shá baa ánááhólyą́ą da doo. 
42:16:003:0	Áko naalye'é baa áhojilyą́ą́ nít'é'ígíí t'áá hayi'ídi ázhdííniid, Haa lá deeshnííł lá, jó, shinanit'a'í binaalye'é baa áháshyą́ą́ nít'é'ígíí yits'ááshiníłt'e'? Áko la' na'ageed bich'į' doo shidziil da, índa adókeed baa yánísin. 
42:16:004:0	Ádeeshníłígíí lá bee hasht'e'nitsíníkéez ni. Kósht'į́įgo naalye'é baa áháshyą́ą́ nít'é'ídóó ats'ááshi'deelt'e'go t'óó diné dabighangóó tádísháah doo. 
42:16:005:0	Ákohgo binanit'a'í yąąh hadeis'áhígíí t'ááłá'í nítínígo hágo yidííniidgo, áłtséhígíí áyidííniid, Shinanit'a'íshą' díkwíí nąąh hayííł'á? 
42:16:006:0	Nít'éé' ázhdííniid, Ak'ah tóshjeeh t'ááłáhídi neeznádiin bee shąąh háá'á. Áádóó ánááhodoo'niid, Nąąh háá'áhígíí nídiiłtsóosgo tsį́įłgo nídaahgo, t'áá ashdladiinígo ánílééh. 
42:16:007:0	Náánáła'ígíí ánéidoo'niid, Nishą' éí díkwíí nąąh háá'á? Áko ání, Tł'oh naadą́ą́' neeznádiin azis hadeezbingo bee shąąh háá'á. Nít'éé' ánéidoo'niid, Nąąh háá'áhígíí nídiiłtsóosgo t'áá tseebídiinígo ánílééh. 
42:16:008:0	Áko naalye'é yaa áhályáanii doo ákwii áát'įįdígíí hóyą́ągo ádzaaígíí binahjį' binanit'a'í baa haznih, háálá díí hoolzhishígíí biyi' nihokáá' dine'é áda'ahil'ínígíí yee adinídíín ba'áłchíní yiláahdi dahóyą́. 
42:16:009:0	Áádóó ánihidishní, Na'adlo' bee at'į́ bee nihik'is ádá ádaałne', áko at'į́ ásdįįdgo nihik'is ádaahłaaígíí hool'áágóó kéédahat'į́į́ góne' nihaa dahodidoo'ááł. 
42:16:010:0	T'áá háiida t'áá kóníshéhí nidi bee ba'ahódlíhígíí, t'áá éí ałdó' lą'í bee ba'ahódlí, áádóó t'áá háiida t'áá kóníshéhí nidi bee bina'adlo'ígíí, t'áá éí ałdó' lą'í bee bina'adlo'. 
