66:18:001:1	Babylon Kwaiik'it Gwachoo An Goodlit
66:18:001:0	Ąįįtł'ęę t'ee ch'izhii zheekat gwich'in zheekat gwats'an oodaa ahaa nał'in. K'eedeegwaadhat nitsii di'įį ts'ą' vich'eegwahdrii haa dzaa nankat datthak ch'eegwąhndit nagwaanąįį. 
66:18:002:0	Gwideezhuh haa gwint'aii khadhazhral: “Tr'injaa it'ee ąįį tr'injaa neet'aanąįį! Babylon kwaiik'it gwachoo an goodlit! Ch'anky'aa iizųų, ąįįts'ą' deetrya' k'it t'inchy'aa choo ch'atthąį' iłchįį ajyaa nihłehjuk daazhyaa tthaiitr'aanjik ts'ą' dinjii gooveet'igwindhan kwaa zhrį' kwaii yizhit gwich'įį. 
66:18:003:0	Nahkat datthak ąįį Babylon tr'injaa vajak chų' geenį' k'it t'igii'in, ąįįt'ee tr'agwaanduu gwizhrįh t'asho'ya' gwindhan gwats'an jak chų' t'inchy'aa. Dzaa nankat gwats'an k'eedeegwaadhat choo nąįį datthak giiyaa gwiizųų nigwii'ąįį ts'ą' dinjii nąįį ch'ookwat ts'ą' laraa t'įį gwantł'eegwahjii nąįį tth'aii hee khit ch'aatr'oochį' gindhan haa goolaraa gwanlii.” 
66:18:004:0	Ąįįtł'ęę zheekat gwats'an gwideezhuh jyaa nyąą dihtth'ak,“Gihłeekhwajyaa, shigii nąįį, ąįį tr'injaa vats'an gihłeekhwajyaa!Tr'agwaanduu t'ii'in vik'it t'akhwa'ya' shrǫ';khaiinjich'iheeghit ąįį vaa khaiinjich'akhwaghit kwaa geenjit!” 
66:18:005:0	Vatr'agwaanduu, oodee zheekat gwats'ą' naa'ąį' t'inchy'aa,ts'ą' Vit'eegwijyąhchy'aa gwiizųų t'ee'ya' datthak yinaandaii t'inchy'aa. 
66:18:006:0	Deenakhwah'ya', ąįį nakhwant'ee gwik'it t'oh'in,dee'ya' datthak neekwaii gwagwaanchy'aa gwik'it t'oh'in.Vichųų tyah deedąą'ąį' ts'ą' neekwat agwaanchy'aa nint'aii chan ohtsii,ąįį jak choh chų' vaa khaiinjich'iriighit nakhwantł'eiinkaii gwik'it. 
66:18:007:0	Khaiinjich'iighit ts'ą' gwintł'oo tr'igwidii haa vantł'oh'ąįį,jidii ch'eegoonzhrįį ts'ą' gwihil'ee adats'an gwiłtsąįį gwik'it.Jii jyaa adaanyąą:‘Dzaa k'eedeegwaadhat choh (Queen) va'at k'it doiidii!Shakąį' gwanlii kwaa,ts'ą' ch'ihłok gaa duuyeh veenjit tr'igwihdii!’ 
66:18:008:0	Izhit geh'an drin ch'ihłak vats'a' jyaa digweheenjyaa t'inchy'aa,ts'ik nihłehjuk daazhyaa, tr'igwidii,ts'ą' shih kwaa vanagwahaadhal,ts'ą' kǫ' zhit heek'an,Vit'eegwijyąhchy'aa t'ee jiintsii nilii geh'an yuuhahkat.” 
66:18:009:0	Dzaa nankat gwats'ą' k'eedeegwaadhat choo nąįį tr'agwaanduu zhrįh t'agǫǫ'ya' giindhan ts'ą' ąįį tr'injaa laraa eenjit ch'aadhichįį haa tr'oochį' giindhan, gwik'it t'igee'ya' nąįį łyaa kwaiik'it gwachoo gwak'aa gwintł'oo giheetree nijin ąįį tr'injaa kǫ' haa ak'an ts'an łat gah'in ji'. 
66:18:010:0	Oo'at niighit nagahaazhyaa, giiyaa khaiinjich'igiighit gitr'igii'ee geh'an. Jyaa diginyąą,“Łyaa googwantrii!Łyaa gwiizųų!Jii Babylon kwaiik'it gwachoo gwiintsii!One hour gwideezhat khaiinjich'inighit!” 
66:18:011:0	Dzaa nankat dinjii ch'ookwat ts'ą' laraa t'įį gwihilii nąįį gaa giiyeenjit tr'igwidii ts'ą' gitree, ch'ihłee gaa goots'an ch'ookwat kwaa geh'an. 
66:18:012:0	Ch'ihłee gaa goots'an kii daatł'oo, gold, silver, ts'ą' pearl kwaii ookwat kwaa; ts'ą' chan gwach'aa nizįį, linen, purple cloth, silk ts'ą' scarlet gaa gookwat kwaa; dachan nihłehjuk daazhyaa ts'ą' k'aiich'ii ivory nihłehjuk daazhyaa haa iltsąįį, ts'ą' dachan daatł'oo haa iltsąįį, bronze, iron, ts'ą' kii marble nilii gaa gookwat kwaa; 
66:18:013:0	ts'ą' cinnamon, spice, incense, myrrh, ts'ą' frankincense; jak chų' ts'ą' oil, łųh ts'ą' tł'ooli' niłshįį, aak'ii lęįį, ts'ą' divii lęįį, ts'ą' khał choo, łąįį choh haa tr'eelil, dinjii slaves nilii nąįį, gaa gookwat kwaa. 
66:18:014:0	Dinjii ch'ookwat akwat laraa t'įį gwihilii nąįį tr'injaa t'ahahnyąą, “Jidii ashoo'į' niindhan datthak vini'į' kwaii k'igwaajil, ts'ą' jidii vaa gwintsii neegoo'aii, ts'ą' jidii vaa gwinzii niyiichy'a' datthak hiljii, ts'ą' duuyeh chan vineegwah'ąįį t'oonchy'aa!” giiyahnyąą. 
66:18:015:0	Dinjii ch'ookwat akwat laraa t'įį gwihilii, ąįį kwaiik'it gwachoo gwizhit jyaa dii'in haa valaraa gwanlii, nąįį oo'at niighit gwa'an hee nigiheedhat, giiyaa khaiinjich'agooghit giindhan kwaa geh'an, tr'igwigweheedii ts'ą' giheetree, 
66:18:016:0	ts'ą' t'igiheenjyaa;“Deegwahtł'oo googwantrii!Kwaiik'it gwachoo eenjit deegwahtł'oo googwantrii,gwach'aa daatł'oo, linen purple, ts'ą' scarlet (red),ts'ą' gold nindal aahchy'aa, kii daatł'oo,ts'ą' pearl kwaii naazhii chy'aa. 
66:18:017:0	ts'ą' one hour gwideezhat jidii daatł'oo kwaii datthak ch'akwaa goodlit!”Tr'ihchoo choo neehahłat gwats'ą' k'eedeegwaadhat ts'ą' juu dinjii yizhit neehiidal, ąįį tr'ihchoo zhit gwitr'it t'agwah'in ts'ą' juu chųų choo kat gwats'an laraa daatsii nąįį gaa oo'at niighit gwa'an nigeelzhii, 
66:18:018:0	ts'ą' nijin tr'injaa ahk'an gwats'an łat gah'in dąį' gwint'aii khashraagiintrat: “Ch'ihłok gaa jii kwaiik'it gwachoo gwik'it kwaiik'it gwachoo gwin'ee kwaa!” ginyąą. 
66:18:019:0	Tr'igwigwidii ts'ą' gitree haa łųh digiki' kat neegiinjaa ts'ą' jyaa diginyąą,“Deegwahtł'oo zhyaa gwagwantrii!Kwaiik'it gwachoo eenjit łyaa gwagwantrii!Jii kwaiik'it gwachoo t'ee tr'ihchoo choo teehiilak ts'ą' giits'an laraa daatsii haa goolaraa gwanlii t'oonchy'aa!ts'ą' one hour gwideezhat zhyaa datthak an goodlit!” 
66:18:020:0	Zheekat nąįį, shoo ǫhłįį, jii tr'injaa an dhidlit geh'an! Datthak ts'ą' shoo ǫhłįį, Vit'eegwijyąhchy'aa k'injiighit nąįį, Tr'ihił'e' nąįį, ts'ą' Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį! Nakhwats'ą' dee'ya' geh'an Vit'eegwijyąhchy'aa yigweełshii t'inchy'aa! 
66:18:021:0	Ąįįtł'ęę zheekat gwich'in nint'aii kii oonjik, kii tyah vatł'an ch'iighoo vakaii'aa ąhtsii oonjik ts'ą' oondaa chųų choo zhit gwats'ą' yihiiłnaii, jyaa nyąą gwiizhit, “Jyąhts'ą' t'ee Babylon kwaiik'it gwachoo gwint'aii neegwahadhal ts'ą' chan ch'ihłok gaa neegwarahaan'yaa kwaa t'oonchy'aa. 
