66:13:001:1	Nin Iizųų Ch'atthąįįn Choo Neekwaii
66:13:001:0	Ąįįtł'ęę t'ee nin iizųų ch'atthąįįn choh chųų choo zhit gwats'an tr'iinzhii nał'in. Viji' ten gwanlii ts'ą' viki' seven chan gwanlii, viji' ten kat k'eedeegwaadhat (crown) ts'eh doodlii ts'ą' viki' seven kat chan Vit'eegwijyąhchy'aa vinehts'į' giginkhii gwadanakhwatł'oo. 
66:13:002:0	Ąįį nin iizųų ch'atthąįįn choh, leopard gwich'in, ts'ą' shoh kwai' k'it t'inchy'aa chan di'įį, ts'ą' lion ghit k'it t'inchy'aa chan di'įį. Dragon ąįį ch'atthąįįn dat'aih, jidii k'eedeegwaadhat ts'ą' yakat doodii ts'ą' k'eedeegwaadhat gwiintsii gwii'įį kwaii yantł'eegwinlii. 
66:13:003:0	Ąįį nin iizųų ch'atthąįįn choh viki' ch'ihłak nehkaii gwintł'oo nilii k'it t'inchy'aa haa khaiinjii gaa iłchįį, gaa vakąįį nizįį neekhwadlit. Dzaa nankat datthak goovandaa t'igwiizhit ts'ą' ąįį nin iizųų ch'atthąįįn choh tąįį gahaajil. 
66:13:004:0	Dragon ąįį nin iizųų ch'atthąįįn choh dat'aii antł'eiin'ąįį geh'an juu nąįį datthak deegiihił'ee ts'ą' nin iizųų ch'atthąįįn choh chan deegihił'ee. “Ch'ihłee gaa nin iizųų ch'atthąįįn choh k'it jiintsii kwaa t'oonchy'aa! Ch'ihłee gaa duuyeh khit ts'ą' nich'itsahthat!” ginyąą haa deegiihił'ee. 
66:13:005:0	Vit'eegwijyąhchy'aa, nin iizųų ch'atthąįįn choh jyaa dinyąą gwats'ą' t'ahthan, nin iizųų ch'atthąįįn choh dee'ya' gwashoo'ahłįį ts'ą' geeginkhii ąįį Vit'eegwijyąhchy'aa inehts'į' t'inyąą, ts'ą' 42 months gahkhyuk k'eedeegwaadhat vats'an goodlit. 
66:13:006:0	Nin iizųų ch'atthąįįn choh ąįį Vit'eegwijyąhchy'aa ts'ą' zheekat ts'ą' juu zhat gwich'įį nąįį datthak inehts'į' ginkhii naanaii. 
66:13:007:0	Vit'eegwijyąhchy'aa k'injiighit nąįį inich'itsyahahthat ts'ą' gaiiyiigoohahtsyaa geenjit vats'an goodlit ts'ą' dinjii nihłehjuk neezheeneedijii, nahkat gwats'an gwich'in nąįį, ginjik nihłehjuk t'iichy'aa datthak ts'ą' dinjii nihłehjuk t'iichy'aa datthak ts'ą' k'eedeegwaadhat chan vats'an goodlii. 
66:13:008:0	Dzaa nankat dinjii nąįį datthak deegiiyahah'aa, gaa zhit juu nan gweheelyaa gwehkįį dąį' gwandaii ndaanąą'ąį' kwaa dęhtły'aa kat voozhri' danakhwatł'oo ąįį Divii Gii tr'eełkhwąįį vats'an ąįį nąįį nakwaa. 
66:13:009:0	“Ch'oodǫǫhk'įį, nakhwadzee gwanlii ji'! 
66:13:010:0	Vit'eegwijyąhchy'aa, juu tr'oonjii nindhan nąįį t'ee juu gootr'ii'ee nąįį googahoondal, ts'ą' juu shrii choo veek'i' neekwaii gwanlii haa vęhdaa tr'igwirehee'aa nąįį t'ee jyąhts'ą' gooreheeghaa t'oonchy'aa. Jii t'ee juu Vit'eegwijyąhchy'aa k'injiighit nąįį khaiinjich'igiheeghit ts'ą' digwik'injigwiighit akhagagoohoonjyaa kwaa t'oonchy'aa.” 
66:13:011:0	Ąįįtł'ęę chan ch'izhii nin iizųų ch'atthąįįn choh nankat gwats'an khaiinzhii nał'in. Divii gii ji' tsal k'it t'inchy'aa neekwaii di'įį ts'ą' dragon k'it ginkhii. 
66:13:012:0	Vehkii nin iizųų ch'atthąįįn choh kįh k'eedeegwaadhat gwintsii gwii'įį ąįį gwat'aahchy'aa. Dzaa nankat gwich'in nąįį datthak ąįį nin iizųų ch'atthąįįn choh tr'ookit inli' gahah'aa goovahtsii, juu vakąįį nizįį needhidlit ąįį t'ahnyąą. 
66:13:013:0	Jii nin iizųų ch'atthąįįn choh second ąįį gwiindal gwahchy'aa gwinlęįį t'ii'in; zheekat gwats'an oodaa nankat gwats'an juu nąįį datthak andah kǫ' hijyaa gwahtsii. 
