66:4:001:1	Zheezhit
66:4:001:0	Izhit zhat dąį', shandee ts'ą' gwigweelkįį ts'ą' zheekat gindeiinvyaa gehdeiintin gwał'ya', ts'ą' gwideezhuh trumpet k'it ch'idlii hahchik ąįį gwehkįį dąį' shats'ą' ginkhii dihtth'ak chy'aa, “Oozhaa shats'ą' hinkhaii ąįįtł'ęę jii deegweheenjyaa nats'ą' gwagwahałkyaa.” shahnyąą. 
66:4:002:0	Gwagwahkhan Ch'anky'aa Shroodiinyąą shizhit t'iizhit ts'ą' deesho'ya' shoonyąą datthak gwik'it t'ishi'in. Zheekat gwizhit k'eedeegwaraadhat ts'ą' vakat daraadii kat ch'ihłee doodii gwał'in. 
66:4:003:0	Kii daatł'oo Jasper (green) ts'ą' cornelian (red) k'it ch'ąhndit, ts'ą' k'eedeegwaadhat ts'ą' yakat doodii chan kii daatł'oo (emerald) shreevyaa k'it veelin datthak needhe'ee. 
66:4:004:0	Ąįį k'eedeegwaadhat ts'ą' yakat doodii veelin datthak 24 nąįį k'eedeegwaadhat ts'ą' yakat doodii dhidlii ąįį kat ch'anjaa kįh dilk'ii 24 nąįį ch'adak ik daagąįį nagaazhii ts'ą' gooki' kat tseh gold haa iltsąįį doo'aii. 
66:4:005:0	Ąįį k'eedeegwaadhat ts'ą' yakat doodii ts'an nahtan kwan haadhak, gwideezhuh dihtth'ak ts'ą' nahtan hahchik. K'eedeegwaadhat ts'ą' yakat doodii ęhdaa dachan tsii kǫ' daak'a' (7) dhidlii, ąįįt'ee Vit'eegwijyąhchy'aa vats'an Ch'anky'aa (7) k'eedeegwaadhat k'it t'iginchy'aa.  
66:4:006:0	Ąįįts'ą' k'eedeegwaadhat ts'ą' yakat doodii vęhdaa chųų choo inju' nahdrin gwaraah'in k'it t'inchy'aa.K'eedeegwaadhat ts'ą' yakat doodii gweelin nigwiin'ee gwandaii dǫǫ (4) Vit'eegwijyąhchy'aa iłtsąįį kwaii dilk'ii, ch'andee zhrįh giinlii. 
66:4:007:0	Tr'ookit ąįį Lion gwich'in; gwats'ąįį chan aak'ii ch'izhir tsal k'it viyiichy'aa; gwats'ąįį tik ąįį dinjii nin k'it viyiichy'a'; ts'ą' gwats'ąįį dǫǫ ch'izhin zheetii nihiniit'ee k'it viyiichy'a'. 
66:4:008:0	Jii gwandaii Vit'eegwijyąhchy'aa yiłtsąįį kwaii gootee gwagwaanchy'aa ch'it'ee nihk'iitik (6) gii'įį ts'ą' ch'andee zhrįh giinlii. Goovat ts'ą' goovant'ih haa datthak ch'andee goodlii. Drin, tǫǫ haa ch'igidlii gwizhrįh t'iginyąą:“Shroodiinyąą, shroodiinyąą, shroodiinyąą,K'eegwaadhat Vit'eegwijyąhchy'aa łyaa jiintsii.Juu inli', juu nilii ts'ą' juu nineeheedyaa!” 
66:4:009:0	Gwandaii dǫǫ (4) Vit'eegwijyąhchy'aa iłtsąįį kwaii zhit juu k'eedeegwaadhat ts'ą' yakat doodii ts'ą' vich'eegwąhndit, deegihił'ee ts'ą' mahsį' ginyąą haa ch'igidlii. Juu khit ts'ą' khit geenjit gwandaii. Nijin jyaa digii'in dąį', 
66:4:010:0	ch'anjaa kįh dilk'ii 24 nąįį juu k'eedeegwaadhat ts'ą' yakat doodii ts'ą' nikiigwagwah'ee, ts'ą' juu khit ts'ą' khit geenjit gwandaii ts'ą' khagidiinjii gwiizhit ch'igidlii. K'eedeegwaadhat ts'ą' yakat doodii ęhdaa gooki' kat doo'aii gwats'ą' gihiłjil ts'ą' t'iginyąą. 
66:4:011:0	“Diik'eegwaadhat ts'ą' Vit'eegwijyąhchy'aa łyaa jiintsii,ch'eegwąhndit, nirihił'ee ts'ą' t'aih haa ni'yaa geenjit.Jidii datthak dhąhtsąįį ts'ą' nik'iighai' giltsąįį ts'ą' gwandaii gi'įį.”
