66:12:001:1	Tr'injaa ts'ą' Dragon Haa
66:12:001:0	Ąįįtł'ęę gwiindal gwahchy'aa jiintsii zheezhit gwigwiilkįį. Tr'injaa vi'ik drin oozhrii haa iltsąįį ts'ą' vakwai' t'eh chan tǫǫ oozhrii dha'aii, ts'ą' viki' kat doo'aii (crown) chan vakat są' twelve dhidlii. 
66:12:002:0	Niighit kwaa tr'iinin hee'yaa goo'aii ts'ą' ąįį haa iłts'ik ts'ą' khaiinjich'iighit haa khaiitree. 
66:12:003:0	Chan ch'izhii gwiindal gwahchy'aa jiintsii zheezhit gwigweełkįį. Dragon daatsik choo, viki' seven gwanlii ts'ą' viji' ten chan gwanlii ts'ą' viki' seven kat k'eedeegwaadhat ts'eh doodlii. 
66:12:004:0	Dits'į' haa zhee zhit są' ⅓ an iłtsąįį ts'ą' oodaa nankat gwats'ą' yihiłjil. Ąįį tr'injaa ęhdaa nadhat, ąįį tr'injaa tr'iinin ee'į' gwagwahkhan ąįį tr'iinin hee'aa geenjit. 
66:12:005:0	Ąįįtł'ęę tr'injaa, tsyaa tsal di'įį, ąįį tsyaa tsal dzaa nahkat, ch'iitsii ts'ik ghoo haa gwats'ą' k'eedeegwaadhat. Gaa ąįį tr'iinin tr'ahtsit ts'ą' gihłeerihiltsit ts'ą' Vit'eegwijyąhchy'aa k'eedeegwaadhat ts'ą' yakat doodii antł'eegiiyahchįį. 
66:12:006:0	Ąįį tr'injaa nangwinjir gwa'an gwats'ą' tr'al inzhii, nijin Vit'eegwijyąhchy'aa yeenjit shrigwinlik, nijin 1,260 drin gahkhuk datthak vik'eehąąntyaa reh. 
66:12:007:0	Zheekat nihłeeriighan nagwaanąįį Michael ts'ą' dizheekat gwich'in nąįį dragon gahkhwąįį, ąįį dragon dizheekat gwich'in haa goots'ą' nich'itsahthat. 
66:12:008:0	Gaa dragon gaiiyiidhidlit, ąįįtł'ęę adan ts'ą' dizheekat gwich'in haa zheekat gihłeegoogahaadlii. 
66:12:009:0	Dragon nitsii chiteegiiheełnaii-yeenaa dąį' gwats'an gyųų choo, Ch'anky'aa Tr'aanduu akwat Satan oozhii, nankat datthak neegwan'ęę. Adan ts'ą' dizheekat iizųų dhidlit gwich'in nąįį haa dzaa nankat gwats'an chiteegoogihiłnaii. 
66:12:010:0	Ąįįtł'ęę zheekat gwideezhuh gwint'aii jyaa nyąą dihtth'ak, “It'ee Vit'eegwijyąhchy'aa neediihahshii nigwiindhat! It'ee Vit'eegwijyąhchy'aa, K'eegwaadhat choo nilii gwigweełkįį! It'ee Vit'eegwijyąhchy'aa, Christ neediihahshii gwiteetr'ahchįį gwigweełkįį! Tr'aanduu Vit'eegwijyąhchy'aa ęhdaa nadhat ts'ą' drin, tǫǫ haa juu gwik'injiighit nąįį gwiizųų t'igii'in ahnyąą ąįį zheekat gwats'an cheet'eegiiheełnaii. 
66:12:011:0	Divii gii vadaa ts'ą' Vit'eegwijyąhchy'aa Viginjik eegwagwaandak haa gaiiyiigiiyiłtsąįį ts'ą' giiyeenjit nigiheedhaa ji' googaa gwik'it t'igihee'yaa. 
66:12:012:0	ts'ą' zheekat ts'ą' juu zhak gwich'įį nąįį datthak shoo ǫhłįį! Gaa nankat ts'ą' chųų choo kat haa deegwahtł'oo gooveenjit googwantrii! Ch'anky'aa Tr'aanduu oodaa nakhwats'ą' haazhii ts'ą' łyaa zhyaants'įį t'inchy'aa, nahgwan gwizhrįh gwii'įį geh'an.” 
66:12:013:0	Nijin dragon dzaa nankat gwats'an cheet'eeriheełnaii gwik'eenjik dąį' zhit tr'injaa, tsyaa tsal ee'į' tąįį naatth'ak. 
66:12:014:0	Ąįį tr'injaa nangwinjir gwa'an gwats'ą' dahaandhal geenjit ch'izhin choo (large eagle) t'ee vantł'eerinlii, 3½ years gahkhyuk datthak dragon yahahkhwaa gwits'į' vik'eehąąntyaa geenjit. 
66:12:015:0	ts'ą' t'ee dragon dighit gwats'an chųų gwanlii haa tr'injaa gihłeehahchyaa geenjit. 
66:12:016:0	Gaa jii nan tr'injaa ts'iinyą'; giighit nihky'aa goonjik ts'ą' dragon vighit gwats'an chųų t'iizhik ąįį teehiłtraa k'it t'iizhit. 
66:12:017:0	Dragon, ąįį tr'injaa ts'ą' zheelts'įį, ts'ą' ąįį tr'injaa ts'an deeddhaa nąįį ts'ą' nich'itsahthat geenjit zhat gihłeehahchįį, juu Vit'eegwijyąhchy'aa deekhwa'in goovahnyąą ts'ą' łi'deegwidlii haa Jesus jidii geegoovoołtin ąįį geegwagwaandak nąįį t'arahnyąą. 
66:12:018:0	ts'ą' t'ee dragon chųų choh vee nadhat.
