66:20:001:1	Thousand Years Ch'ihłak
66:20:001:0	Ąįįtł'ęę zheekat gwich'in zheekat gwats'an k'iidąą ahaa nał'in ts'ą', dantł'ee oozhak gwit'eh goo'aii kwaa gwilidlii ts'ą' ch'iitsii tły'ah haa ootą' nał'in. 
66:20:002:0	Dragon zhit yeenaa dąį' gwats'an gyųų choo t'inchy'aa oonjik, ąįįt'ee Ch'anky'aa Tr'aanduu, Satan oozhii ts'ą' thousand years ch'ihłak gahkhyuk ch'iitsii tły'ah haa gijiłchaa. 
66:20:003:0	Zheekat gwich'in oozhak gwit'eh goo'aii kwaa gwizhit t'eeyaahnaii, yits'ooghaii lidlįį ghoo nin'ąįį ts'ą' nihłeeyiłdzii, thousand years ndaagwahąą'aa gwats'ą' nahkat dinjii nąįį nehan'ee kwaa geenjit. Ąįįtł'ęę ch'ihłee gwatsal dineeraheen'ak t'inchy'aa. 
66:20:004:0	Ąįįtł'ęę k'eedeegwaadhat ts'ą' yakat doodii kwaii nał'in, ts'ą' juu yakat doodii nąįį ch'oogahahkat geenjit t'aih goovantł'eerin'ąįį. Juu tr'eełkhwąįį nąįį goovanky'aa chan nał'in, Jesus jidii gwigweełkįį ąįį łi'didlii haa geegwagwaandak geh'an ts'ą' Vit'eegwijyąhchy'aa viginjik chan. Nin iizųų ch'atthąįįn choh gihił'ee kwaa akwat vik'itiltsį', akwat dagants'at kat, akwat daganli' kat gii yuuzhri' dagaantł'oo kwaa geh'an. Neegwigwiindaii ts'ą' K'eedeegwaadhat choo k'it Christ haa thousand years ch'ihłak nigeelzhii. 
66:20:005:0	Jii t'ee tr'ookit dinjii niindhat nąįį neegwiindaii t'oonchy'aa. (Zhit ch'izhii niindhat nąįį thousand years gehtł'ee goodhat ąįįtł'ęę hee neegwigwiindaii.) 
66:20:002:1	Satan Gaiiyiidhidlit
66:20:006:0	Vit'eegwijyąhchy'aa gooveenjit gwinzii t'iizhit geenjit dinjii juu niindhat ts'ą' tr'ookit neegwigwiindaii shoo gooli'. Ch'ichį' goots'ą' k'eedeegwaadhat kwaa k'it t'iginchy'aa geh'an duuyeh chan nigiighit t'iginchy'aa. Vit'eegwijyąhchy'aa ts'ą' Christ haa eenjit ginkhih giheelyaa ts'ą' thousand years gahkhyuk datthak goovaa k'eedeegwagwahaadhat t'igiinchy'aa. 
66:20:007:0	Thousand years ch'ihłak gehtł'ee goodhat ąįįtł'ęę, Satan, nijin dakhwachaa gwats'an tr'eerahahchyaa, 
66:20:008:0	ts'ą' dzaa nankat gwa'an nahkat datthak an-nihłik goodlii neegwahan'ee, ąįį nahkat kwaii t'ee Gog ts'ą' Magog goozhii. Satan datthak nich'itsagahahthat geenjit khaihłan nagooheelyaa, chųų choo vee needdhak gwanlii k'it, jyaa daanchy'aa nąįį khaihłan niheelyaa. 
66:20:009:0	Nankat datthak gwit'eegiheedaa ts'ą' Vit'eegwijyąhchy'aa k'injiighit nąįį nijin gwigwich'įį ts'ą' Vit'eegwijyąhchy'aa kwaiik'it gwachoo geet'iindhan haa eelin nigiheedaa. Gaa zheekat gwats'an kǫ' t'iizhik haa an gaadlii. 
66:20:003:1	Khaiinkǫǫ Ch'oorahahkat
66:20:010:0	Ąįįtł'ęę zhit Ch'anky'aa Tr'aanduu, tsinteegoovałkaii, oozhak van kǫ' daak'a' ts'ą' sulfur zhit t'eeraahnaii, nijin nin iizųų ch'atthąįįn choh ts'ą' Vit'eegwijyąhchy'aa eenjit ginkhii adaa'įį ch'adąį' hee gwizhit t'eegoorahnaii ąįį gwizhit; ts'ą' drin, tǫǫ geenjit khit ts'ą' khit geenjit khaiinjich'igiheeghit geenjit. 
66:20:011:0	Tł'ęę k'eedeegwaadhat ts'ą' yakat doodii daagąįį nał'in ts'ą' zhit juu yakat doodii chan nał'in. Nankat, zheekat haa giits'į' an galhiłjil ts'ą' neegooraa'yą' kwaa. 
66:20:012:0	ts'ą' iłchįį nąįį nał'in, nitsii, ts'ą' natsal haa nihk'it t'iichy'aa nąįį, k'eedeegwaadhat ts'ą' yakat doodii ęhdaa nigeelzhii. Dęhtły'aa lat nihky'aa t'inchy'aa ts'ą' ch'izhii dęhtły'aa chan nihky'aa t'inchy'aa, ąįįt'ee khit gwandaii ndaanąą'ąį' kwaa dęhtły'aa. Niinjik nąįį deegee'ya' gwik'iighai' goorahkat haa dęhtły'aa zhit danakhwatł'oo. 
66:20:013:0	Ąįįtł'ęę juu chųų choo zhit niinjik nąįį goovahahkat geenjit Vit'eegwijyąhchy'aa ts'ą' nigiinjil. Ch'ichį' ts'ą' ch'ichį' deek'it nąįį ch'ichį' goontą' gwantł'eegiinlii ts'ą' datthak deegee'ya' gwik'iighai' goorahkat. 
66:20:014:0	Ąįįtł'ęę ch'ichį' ts'ą' ch'ichį' deek'it haa oozhak van kǫ' daak'a' zhit gwats'ą' goorihiłjil. (Jii van kǫ' daak'a' t'ee second time niriidhat t'oonchy'aa.) 
66:20:015:0	Zhit juu khit gwandaii ndaanąą'ąį' kwaa hee'yaa geenjit jii dęhtły'aa zhit voozhri' danakhwatł'oo kwaa nąįį oozhak van kǫ' daak'a' zhit gwats'ą' goorihiłjil.
