47:9:001:1	Jerusalem gwizhit Gwik'injiighit Nąįį Eenjit Laraa Khaihłan Niriinlii
47:9:001:0	Jii Jerusalem gwizhit gwik'injiighit nąįį gooveenjit laraa khaihłan niriinlii geenjit nakhwats'ą' ch'adįhtł'oo gwat'aałchy'aa kwaa .
47:9:002:0	Łyaa gwats'oihnyą' nohthan gaashandaii , geh'an nakhweech'ih'in t'ihnyąą , last year dąį' Macedonia nahkat gwizhit gwik'injiighit nąįį “ Achaia ( Greece ) nahkat gwats'an gwik'injiighit nąįį nakhwats'ą' laraa nigiheelyaa . ” goovaihnyąą , ąįį geh'an juk lęįį nąįį gwits'igiheenjyaa gwik'eegwagwandaii .
47:9:003:0	Jii laraa nakhweenjit khaihłan niriinlii haa diichaa gwik'injiighit nąįį nakhwats'ą' giiheelyaa ts'ą' nakhwantł'eegiiyeheelyaa . Nakhweech'ih'in ąįį Macedonia nąįį zhyaa t'ihnyąą kwaa gaageheendaii geenjit .
47:9:004:0	Macedonian gwizhit gwik'injiighit nąįį lat shaa neehiidal haa zhat k'eeriidal gwiizhit tth'aii hee laraa khaihłan nǫhłii kwaa łee ji' , oozhii shats'an hohtsyaa ts'ą' nakhwan chan gwandaa oozhii hohłyaa . Nakhweech'ih'in chan zhyaa t'ihnyąą łee gwik'igahaandal .
47:9:005:0	Ąįį laraa khaihłan noolii chy'aa veenjit diichaa nąįį shits'ii nakhwats'ą' nahał'aa . Jyąhts'ą' geh'an nijin k'eihdik ji' ąįį laraa zhat heedlyaa . Jii laraa nakhwan gwantł'oihłyaa ohnyąą geh'an gwizhrįh gwantł'oolii t'inchy'aa .
47:9:006:0	Ąįį gwik'it dinjii gwanzhįh nahshii ąįį gwintsal gweełshii ji' natsal zhrįh ooheendal , gaa juu gwantł'oo gweełshii ji' t'ee łyaa gwintł'oo vats'an gweheelyaa t'oonchy'aa gaakhwandaii .
47:9:007:0	Nakhwatee gwagwaanchy'aa ts'ą' deegwahtsii nohthan gwagwahtsii haa gwantł'oonjii . Gwantł'oonjii nindhan kwaa ji' gwantł'oonjii shrǫ' , akwat gwantł'oonjii narahnyąą geenjit chan gwantł'oonjii shrǫ' . Vit'eegwijyąhchy'aa juu shoo nilii haa gwantł'oiinjii nindhan geenjit gwantł'aanjii nąįį łyaa eet'iindhan t'oonchy'aa .
47:9:008:0	Ąįįts'ą' Vit'eegwijyąhchy'aa jidii t'ohchy'aa datthak nakhwats'an hahtsyaa t'oonchy'aa it'ee shri' gweedhaa datthak naach'igweheelyaa ts'ąįį valak gaa zhyaa vaa gwantł'eehaandak t'oonchy'aa .
47:9:009:0	Dęhtły'aa Choh zhit jyaa digwinyąą , “ Vit'eegwijyąhchy'aa t'ee gwintł'oo neeshraahchy'aa nąįįts'ą' jidii t'eegaahchy'aa kwaii goovantł'ahchak t'oonchy'aa . Vich'eegoonzhrii ndaagwąąn'ąį' kwaa t'inchy'aa . ”
47:9:010:0	Vit'eegwijyąhchy'aa t'ee gwanzhįh nahshii nąįį gwanzhįh gahąąhshii goovantł'eiinlii ts'ą' ąįį ts'an łųhchy'aa gihee'aa geenjit chan goovantł'ahtsit t'oonchy'aa . Ąįį gwik'it nakhwan t'ee gwinzii t'akhwa'yaa geenjit ch'eegoonzhrįį nakhwantł'eiin'ąįį t'inchy'aa .
47:9:011:0	Aahą' , łyaa gwintł'oo gwantł'ee hoondal geenjit gwintł'oo nakhwats'an gweheelyaa . Jii laraa gwantł'oolii ąįį juu yit'eehaahchy'aa nąįį antł'eerinlii dąį' gwintł'oo mahsį' choh ginyąą haa Vit'eegwijyąhchy'aa ts'ą' deegahah'aa .
47:9:012:0	Jii laraa vaa neekwat gwinzii t'igweheenjyaa : ts'ą' Jerusalem gwizhit gwik'injiighit nąįį yit'eehaahchy'aa nąįį geenjit giiyahoondal , ąįį geh'an chan lęįį nąįį Vit'eegwijyąhchy'aa ts'ą' gwintł'oo mahsį' choh giheenjyaa .
47:9:013:0	Ąįį laraa gwantł'oolii haa Vit'eegwijyąhchy'aa ts'ą' deegwigwihił'ee geh'an vich'eegoonzhrii khwa'yaa . Jii laraa gwantł'oolii ąįį Christ Vagwaandak Nizįį k'eegohthat geh'an t'akhwa'in gaagweheendaii .
47:9:014:0	Ts'ą' Jerusalem kwaiik'it gwizhit gwik'injiighit nąįį Vit'eegwijyąhchy'aa vich'eegoonzhrii jiintsii akhwa'įį nakhwagąąh'in geh'an ch'eet'igwiniindhan haa nakhweenjit khadigigeheejyaa t'iginchy'aa .
47:9:015:0	Vit'eegwijyąhchy'aa Didinji' diits'ą' nąąhchįį geenjit mahsį' choo , ginjik gaa andaa t'igwiizhik .
