47:4:001:1	Tr'ihił'e' Tr'iinlii ts'ą' Gwitr'it Gwiintsii T'igwehee'yaa Diinantł'eeriin'ąįį
47:4:001:0	Vit'eegwijyąhchy'aa ch'eegoonzhrįį zhit jii gwitr'it t'agwarahah'yaa diinantł'eegwin'ąįį , ąįį geh'an gireheendal kwaa geenjit diigwik'injigwiighit zhit diit'aii gwiłtsąįį .
47:4:002:0	Jidii gwit'eh gwiriłdlii ts'ą' gwa'oozhii tr'ahłįį kwaii datthak akhagaroonyąą ; ninjigwaraazhii chan kwaa ; ts'ą' Vit'eegwijyąhchy'aa viginjik chan zhyaa deegwarahtsii haa geegirinkhii kwaa . Vit'eegwijyąhchy'aa vandee ts'ą' łi'deegwidlii haa gwarandaii , gwizhit juu nąįį datthak łi'didlii zhit gwandaii nąįį gaagiindaii .
47:4:003:0	Vit'eegwijyąhchy'aa Vagwandak Nizįį geerǫąąhtan gwinzii gwigwiitth'ak kwaa k'it t'oonchy'aa ji' t'ee zhit juu Vit'eegwijyąhchy'aa haandaii kwaa nąįį eh'an t'oonchy'aa .
47:4:004:0	Dzaa nankat ch'anky'aa tr'aanduu gwats'ą' k'eedeegwaadhat k'iighai' , tǫǫ gwizhit geedaa gaa gaagiindaii kwaa geh'an gwik'injigiighit kwaa . Gwandak Nizįį ts'an ch'ąhndit gahah'yaa gwits'į' t'agoovahthan . Ąįį ch'ąhndit t'ee Christ t'inchy'aa . Christ t'ee Vit'eegwijyąhchy'aa nilii haa nihłihk'it t'igiichy'aa .
47:4:005:0	Diikhwan diikhwakhai' geech'oorahtan t'igwinyąą kwaa , gaa Jesus Christ K'eegwaadhat nilii gwinyąą ts'ą' geech'oorahtan ąįį , diikhwan chan Jesus vik'iighai' nakhweenjit tr'agwarah'in ts'ą' vitsyaa tr'inlii .
47:4:006:0	Vit'eegwijyąhchy'aa jyaa nyąą , “ Tǫǫ gwats'an adrii ch'ąhndit haadrii t'oonchy'aa ! ” ąįįt'ee khit Vit'eegwijyąhchy'aa nilii diidrii zhit vich'eegwąhndit nin'ąįį t'inchy'aa . K'eegwaadhat vik'iighai' , Vit'eegwijyąhchy'aa vich'eegwąhndit gaagweheendaii geenjit . Ąįįt'ee Christ vinin kat ch'eegwąhndit .
47:4:007:0	Diikhwan Tr'ihił'e' nąįį vich'eegwąhndit tr'ii'įį ąįįt'ee diitthąį' vat'aii kwaa , łųhch'ant'at haa tyah ghoo iłtsąįį khan an ilik k'it t'iginchy'aa , jii t'aih jiintsii t'ee diikhwan diits'an t'inchy'aa kwaa gaa gwigweheechy'aa geenjit Vit'eegwijyąhchy'aa vats'an t'inchy'aa .
47:4:008:0	Geetee hee diinaa gwiizųų gaa neet'eeraaghyii kwaa ; geetee chan deegwehee'yaa gwinzii gaagwiindaii kwaa gaa ch'ihłok gaa akhagwaroonyąą kwaa .
47:4:009:0	Dinjii lęįį nąįį diitr'ii'ee gaa ch'ihłok gaa diijyaa ehdan naraaghyii kwaa , gwinlęįį ts'idiirahkhit gaa an tr'ilii kwaa .
47:4:010-011:0	Jesus veenjit tr'agwarah'in geh'an gweedhaa datthak Jesus geełkhwąįį gwik'it diinęhdaa tr'igwigwehee'aa gwik'eegoogwandaii , ąįį gwik'iighai' diitthąį' zhit Jesus vagwandaii ndaanąą'ąį' kwaa tr'ii'įį ąįį gahah'yaa geenjit .
47:4:012:0	Gwandak Nizįį ąįį Gwitr'it zhit tr'agwarah'in geh'an gwarandaii zhit gweedhaa datthak diinęhdaa tr'igwirehee'aa gwik'eegwagwandaii , gaa gwarandaii ąįį ts'an gwandaii ndaanąą'ąį' kwaa khwa'yaa geenjit .
47:4:013:0	Dęhtły'aa Choh zhit gwadanakhwatł'oo , “ Gwik'injihkhit geh'an khagihkhee . ” Ąįį gwik'it Ch'anky'aa Shroodiinyąą k'iighai' gwik'injiriighit geh'an diikhwan girinkhii t'oonchy'aa .
47:4:014:0	Ąįį geh'an jyaa digwii'in , Vit'eegwijyąhchy'aa , K'eegwaadhat Jesus eeneegwiłdaii gaagwiindaii gwik'it diikhwan t'ee diineegwahahdaii datthak oodak zheekat gwats'ą' neediiniheelyaa t'oonchy'aa .
47:4:002:1	Gwik'injigwiighit Zhit Gwarandaii
47:4:015:0	Jii datthak t'ee nakhweenjit t'igwii'in , dinjii lęįį nąįį Vit'eegwijyąhchy'aa vich'eegoonzhrii oonjii dąį' , gwandaa dinjii lęįį nąįį mahsį' giheenjyaa khadigiheejyaa ąįįts'ą' Vit'eegwijyąhchy'aa deegahah'aa .
47:4:016:0	Jii geh'an zhyaa akhagooraheenjyaa gweheenghyaa kwaa , gwiizhit diitthąį' khai'gwidlii an ilii gaa nihk'it drin gwitee gwagwaanchy'aa diizhit Ch'anky'aa Shroodiinyąą vat'aii nitsii ilii .
47:4:017:0	Juk jii gwintsal , ch'ihłee khaiinjich'iriighit t'ee khit geenjit ch'eegwąhndit ndaanąą'ąį' kwaa nitsii tr'ihee'yaa t'oonchy'aa , khaiinjich'iriighit gaa andaa t'ahtsii .
47:4:018:0	Jidii juk gwiizųų tr'agwah'in ąįį geenjit tr'igwiridii kwaa gaa jidii tr'ąąh'in kwaa zhrįh khit ininjich'arahthat . Jidii tr'ąąh'in ąįį ch'ihłee gwizhrįh t'inchy'aa , gaa jidii diizhit shoo ił'aii tr'ąąh'in kwaa ąįį khit geenjit t'inchy'aa .
