47:10:001:1	Paul Ideenjit Ginkhii
47:10:001:0	Nakhwaadhiidii kwaa dąį' , nakhwalat nąįį naajat kwaa shohnyąą , ts'ą' nakhwaadhiidii gwiizhit oozhii nilii chan shohnyąą , gaa shįį Paul , nakhwats'ą' ch'eegoonzhrįį ts'ą' ch'eeshroonchy'aa zhit Christ vik'iighai' nakhwats'ą' ch'oodooshakwat ,
47:10:002:0	jii gwik'it gooli' nihthan kwaa , gaa nakhwats'ą' hoiizhii ji' zhit juu dinjii dzaa nankat gwidinjii k'it t'ii'in diigoonyaa nąįį ts'ą' naljat kwaa haa gwint'aii goots'ą' gihihkhyaa t'oonchy'aa .
47:10:003:0	Dinjii tr'iinlii gaa dzaa nankat gwirich'įį łi'deegwidlii t'igwinyąą , gaa dzaa nankat gwiky'aa nich'itsirahthat t'igwinyąą kwaa .
47:10:004:0	Tr'aanduu nijin gwint'aii goontą' ąįį neet'eerahathal geenjit dzaa nankat gwat'aii t'eegwaahchy'aa kwaa gaa Vit'eegwijyąhchy'aa vat'aii t'eegwaahchy'aa .
47:10:005:0	Vit'eegwijyąhchy'aa vat'aii t'eegwaahchy'aa haa dinjii nąįį Vit'eegwijyąhchy'aa haagiheendaii gwits'į' , oots'it haa geegoogąąhtan nąįį gaiigoorahahtsyaa , ts'ą' Christ k'eegwagwahthat goorahtsii gwiizhit gwinzii Vit'eegwijyąhchy'aa ky'aa ninjich'igiheedhat ts'ą' deenyąą giik'eegwahahthat geenjit geech'arǫąąhtan t'igwinyąą .
47:10:006:0	Nakhwan datthak ts'ą' diik'eegohthat dhoodlit tł'ęę juu tth'aii hee diik'eegwahthat kwaa ji' ąįį nąįį googwarahaahshii t'oonchy'aa .
47:10:007:0	Nakhwan ąįį nats'ąą dinjii eeyiichy'a' gwik'it dinjii nilii dohnyąą . Khaiinjigihil'ee haa Christ vats'an ihłii ginyąą nąįį gook'it diikhwan chan Christ vats'an tr'iinlii ąįį gaahahkhwandaii gwizhrįh goo'aii .
47:10:008:0	K'eegwaadhat t'aih diinantł'eiin'ąįį ąįį ashoo'ahłįį k'it t'ihnyąą , ąįį gwa'oozhii ahłįį kwaa t'oonchy'aa . Jii t'aih t'ee vaa nakhwagwik'injigwiighit niint'aii tr'ahahtsyaa geenjit t'inchy'aa , ts'ą' nakhwat'aii natsal tr'ahahtsyaa geenjit t'inchy'aa kwaa .
47:10:009:0	Nakhwahaałjat geenjit dęhtły'aa kwaii nakhwats'ą' dįhtł'oo t'ishi'in kwaa .
47:10:010:0	Nakhwatee nakhwalak nąįį t'ashagahnyąą , “ Paul dęhtły'aa daantł'oo zhit łyaa nint'aii ts'ą' nakhwats'ą' k'eedeegwaadhat k'it t'inyąą gaa adan nǫh'in ji' vat'aii kwaa gwiizhit viginjik chan nint'aii kwaa t'inchy'aa . Vadraii gaa ninjich'ǫhthat kwaa shohnyąą . ”
47:10:011:0	Zhit juu jyaa diginyąą nąįį goovaaraadii akwat goots'ą' dęhtły'aa darantł'oo haa nihk'it t'agoonchy'aa ts'ą' dinjii nąįį deegwinyąą t'igwinyąą gaagiindaii kwaa t'iginyąą .
47:10:012:0	Duuyeh zhyaa jii dinjii nąįį idigihil'ee ginyąą gwik'it shant'ee jyaa t'ihchy'aa dihnyąą t'oonchy'aa . Zhyaa nihłandaa tr'iinzii giindhan t'iginyąą , deegwahtł'oo zhyaa googwizhi' kwaa .
47:10:013:0	Jii t'aih diinantł'eerin'ąįį kwaa gwiizhit duuyeh ideech'iri'in t'oonchy'aa . Vit'eegwijyąhchy'aa doo'ya' diinoonyąą ąįį gwik'it t'igwehee'yaa ąįį geenjit , nakhwatee nakhwaa gwitr'it t'agwarahah'yaa t'igwii'in .
47:10:014:0	Tr'ihkhit nakhwats'ą' k'eedeegwaraadhat t'igwinyąą kwaa , ąįį geh'an diikhwan t'ee tr'ookit , Christ Vagwandak Nizįį haa niighit gwats'an nakhwats'ą' tr'ahaajil t'igwii'in .
47:10:015:0	Ch'izhii dinjii vigwitr'it gwinzii ąįį shįį t'ishizhit dihnyąą t'ihnyąą kwaa , gaa nakhwak'injigwiighit ąįį nǫhshįį gwiindhan ts'ą' nakhwatee diigwitr'it gwandaa nitsii heelyaa . Gweedhaa datthak Vit'eegwijyąhchy'aa t'aih dahtsii diinantł'eiin'ąįį ąįį gwagwahtsii tr'agwarah'in t'igwii'in .
47:10:016:0	Ąįį ji' ch'adanh nahkat niighit gwaraah'in kwaa gwa'an Gwandak Nizįį eech'oorahahchyaa . Izhit ji' ch'izhii dinjii nąįį zhat gwa'an diinehkii k'eedhijil nąįį zhat gaanagoh'ąįį kwaa diigahaanjyaa kwaa .
47:10:017:0	Jii Dęhtły'aa Choh zhit jyaa digwinyąą , “ Dinjii juu ideech'oo'ya' nindhan ji' K'eegwaadhat deezhit ąįį gwideech'i'in . ”
47:10:018:0	Nijin dinjii ideech'i'in dąį' ąįį gwireechyaa kwaa , gaa nijin K'eegwaadhat dinjii gwinzii t'ii'in nyąą dąį' łyaa gwihił'ee t'oonchy'aa .
