27:6:001:1	Náshdóítsoh bitsiijį' daditł'ooígíí shijéé' góyaa Daniel ahoolghan
27:6:001:0	Daráíyas éí bee óhólnííh bił haz'áanii t'áá át'éé nít'éé' naat'áanii danilíinii neeznádiindóó ba'aan naadiin ánéelą́ą'go bídahólníih doo biniyé bił hóshǫ́ǫgo niinínil. 
27:6:002:0	Aláahgo naat'áanii bee bóhólníihgo bił haz'áanii biyi'dóó doo bits'ą́ą́' yóó'adoo'dił da biniyé ts'ídá alą́ąjį' diné bídahólníhígíí táá' niinínil; Daniel éí ajítahgo alą́ąjį' hóhólnííh. 
27:6:003:0	Nít'éé' diné bídahólníhígíí áádóó náá'ákóne' naat'áanii danilíinii bitahdóó díí Daniel ts'ídá aláahgo bee hojiniihii hwii' hólónígíí bąą t'áadoo bahat'aadígo bee hwéého'dooszįįd, áko aláahgo naat'áanii éí bee bóhólníihgo bił haz'áanii t'áá át'éé nít'éé' bee hóhólníih doogo nihodeeshtééł, niizį́į́'. 
27:6:004:0	Ákohgo alą́ąjį' bóhólníhígíí áádóó náá'ákóne' naat'áanii danilíinii bee óhólníihgo bił haz'áanii bídéét'i'go Daniel bik'i hodoot'ááł danízin, nidi t'áadoo yee hak'ídahó'ahí da índa doo aaníinii ts'ídá bii' ádin, háálá ts'ídá t'áá aaníígóó ba'ahódlíii nilį́, t'áadoo asiih da índa bee bik'í hodoot'ahii ts'ídá t'áadoo bił yiiltsą́ą da. 
27:6:005:0	Ákohgo diné áda'ahidoo'niid, Daniel bee bik'i hodoot'áałii ts'ídá ádin, t'áá hazhó'ó biDiyin God bibee haz'áanii t'éí bee t'áá bik'i dahodidiit'áałgi át'é. 
27:6:006:0	Ákohgo díí bídahólníhígíí índa náá'ákóne' naat'áanii danilíinii éí aláahgo naat'áanii yaa áłah silį́į'go ádeidííniid, Daráíyas aláahgo naat'áanii nílíinii, hool'áágóó hinínáa le'. 
27:6:007:0	Bee óhólníihgo bił haz'ą́ągi alą́ąjį' bídahólníhígíí, náá'ákóne' bídahólníhígíí, naat'áanii danilíinii áádóó kót'éego daaníinii índa aląąjį' naazíinii ahíikaigo aláahgo naat'áanii éí bik'ehgo hoogáałii bidziilgo yee nihodoo'áałii yee hadoodzihgo bee lą́ da'siidlį́į́': aláahgo naat'áanii nílíinii, kodóó tádiin yiską́ąjį' diné t'áá háiida doo nich'į' sozdilzingóó, nidi náánáła' diyin bich'į' sozdilzingo éí náshdóítsoh bitsiijį' daditł'ooígíí shijéé' góyaa ahodi'yoolghą́ą́ł. 
27:6:008:0	Áko k'ad aláahgo naat'áanii nílíinii, bidziilgo handziihgo bee ak'e'ashchínígíí bikáá' nízhi' ánílééh; éí Míídiya dine'é índa Pérzha dine'é bibee haz'áanii bik'ehgo ts'ídá doo łahgo áńdoolníił da. 
27:6:009:0	Éí bąą aláahgo naat'áanii Daráíyas bee haz'áanii bikáá' bízhi' áyiilaa. 
27:6:010:0	Nít'éé' Daniel éí bee ak'e'ashchį́įgo ályaaígíí hoł bééhoozingo haghan góne' yah aníjoodzáago t'áá nahdę́ę́' áńjiit'įįhígi át'éego Jerúsalem bich'į'go tsésǫ' ąą át'éego nitséézhdígohgo táadi sonízdílzįįhgo iná'át'áahgo Diyin God bich'į' ahééh názhniidzįįh. 
27:6:011:0	Ákohgo díí diné danilíinii éí ahíikaigo Daniel yaa niheekai áádóó biDiyin God yich'į' sodilzingo ná'ookąąhgo dayiiłtsą́. 
27:6:012:0	Ákohgo aláahgo naat'áanii yaa yíkaigo ádeidííniid, Aláahgo naat'áanii nílíinii, bee haz'áanii hadinilaii doósh nízhi' bikáá' íinilaa da? Shą́ą́' kodóó tádiin yiską́ąjį' diné t'áá háiida doo nich'į' sozdilzingóó, nidi náánáła' diyin bich'į' sozdilzingo éí náshdóítsoh bitsiijį' daditł'ooígíí shijéé' góyaa ahodi'yoolghą́ą́ł, doósh diníigo bee háínídzíi' da? Aláahgo naat'áanii ánáádoo'niid, Aoo', éí t'áá aaníí; Míídiya dine'é índa Pérzha dine'é bibee haz'áanii bik'ehgo ts'ídá doo łahgo áńdoolníił da. 
27:6:013:0	Ákohgo aláahgo naat'áanii yił dahoolne'go ádadííniid, Judíya kéyahdóó yisnáanii Daniel éí bee nihwííní'áanii bikáá' nízhi' íinilaii doo yik'eh hół'į́į da, nidi táadi sonídílzįįhgo aná'át'ááh. 
27:6:014:0	Ákohgo aláahgo naat'áanii kót'éego bił hóóne'go t'áá íiyisí nitseeltłah, áko ha'át'éegoda Daniel yisdádeeshtééł jinízingo shá bíighah ch'ééh baa nitsíjíkeesgo haa'ísh doo nijíłkeedgóó i'íí'ą́. 
27:6:015:0	Ákohgo díí diné éí aláahgo naat'áanii yaa áłah silį́į'go ádeidííniid, Aláahgo naat'áanii nílíinii, Míídiya dine'é índa Pérzha dine'é bibee haz'áanii bik'ehgo bee ha'oodzíi'ii, doodaii' bee nihwiist'áanii éí aláahgo naat'áanii haidiilaii ts'ídá doo łahgo áńdoolnííłgóó nił bééhózin le'. 
27:6:016:0	Ákohgo aláahgo naat'áanii haadzíi'go éí Daniel nídeizlóozgo náshdóítsoh bitsiijį' daditł'ooígíí shijéé' góyaa adayiisxan. Áko aláahgo naat'áanii éí Daniel áyidííniid, NiDiyin God t'áá áłahjį' bá nanil'a'ígíí yisdánółtééł. 
27:6:017:0	Áko náshdóítsoh bitsiijį' daditł'ooígíí shijéé' góyaa ahoodzą́ągi tsé yidádeideez'ą́ągo Daniel doo łahgo ánáábidi'doolníił da biniyé aláahgo naat'áanii t'áá bí biyoostsah áádóó biyaadóó naat'áanii danilíinii dabiyoostsah yee yik'i niyiiz'ą́. 
27:6:018:0	Ákohgo aláahgo naat'áanii bighangóó anáádzáago doo ayą́ą da áádóó dilní ał'ąą ádaat'éego yee nidaanéhígíí doo bee bá na'asne' da índa bił bits'áníkį́. 
27:6:019:0	Ákohgo aláahgo naat'áanii t'óó hoos'įįdą́ą́' nídii'na'go náshdóítsoh bitsiijį' daditł'ooígíí shijéé'góó haneetehee yílwod. 
27:6:020:0	Áko náshdóítsoh bitsiijį' daditł'ooígíí shijé'ígíí bit'áahjį' nizhníyáago Daniel bich' į' yéego chayi' hazhdoolghaazhgo ájíní, Daniel, Diyin God Hináanii yá naal'a'í nílíinii, niDiyin God t'áá áłahjį' bá nanil'a'ígíísh náshdóítsoh bits'ą́ąjį' yisdánííłtį́įgo yínéés'ąąd? 
