27:7:001:1	Daniel éí naaldlooshii dį́į'go yaa neizyeel
27:7:001:0	Bábilangi Belsházar aláahgo naat'áanii nilį́įgo áłtsé náhááh góne', Daniel hatsásk'eh bikáá' dziztį́įgo nijiiyeeł áádóó hoł áhóót'įįd. Áko baa nijiizyeelii baa hojoolne'go bee ak'e'jishchį́: 
27:7:002:0	Daniel haadzíi'go ání, Tł'ée'go shił áhoodzaago yiiłtsánígíí shoo, yá'ąąshdę́ę́' t'áá dį́į́'dę́ę́' deeyolgo tónteel ayóó át'éii nayiisnáá'. 
27:7:003:0	Áko naaldlooshii dį́į'go ayóó ádaat'éé léi' tónteel biyi'dę́ę́' haaskai; éí ádaat'éhígíí t'áá ał'ąą ádaat'é. 
27:7:004:0	Átséhígíí náshdóítsoh bitsiijį' ditł'ooígíí nahalin, ákondi atsá bit'a'ígíí bit'a'. Hazhó'ó nééł'į́į́' nít'éé' bit'a' ni'dii'nizh, áádóó de ádzaago dinégi át'éego yiizį'. Áko diné bíni'ígíí baa deet'ą́. 
27:7:005:0	Áádóó shoo, náánáła' naaldlooshii naaki góne'ígíí éí shash nahalin; éí de ádzaago átsą́ą́' táa'go dah yoołtsah áádóó áhodoo'niid, Nídoohjeehgo lą'ígo da'ołghał. 
27:7:006:0	Áádóó náábik'ijį' déé'į́į́' nít'éé', shoo, táá' góne'ígíí éí náshdóítsoh łikizhígíí nahalin; bííshgháándę́ę́' dį́į'go bit'a'ígíí tsídii bit'a' nahalin, áko bitsiits'iin éí dį́į́'. Áádóó bee óhólníihii baa deet'ą́. 
27:7:007:0	Áádóó díí yiiłtsą́ągo shił ádzaaígíí nísh'į́į́ nít'éé', shoo, naaldlooshii dį́į́' góne'ígíí ts'ídá t'óó báhádzidgo áádóó t'óó bik'e'íyée'go índa ts' ídá ayóó ábóodziilgo béésh nitł'izii ayóó ádaníłtsoii biwoo'. Éí yee aldeeł áádóó adiséí índa yidziihígíí yik'i naayá. Nidaaldlooshii bilą́ąjį'ígíí éí doo yił ahedaałt'ée da; bidee' éí neeznáá yadaa'á. 
27:7:008:0	Áko bidee' yadaa'áhígíí nísh'į́į́ nít'éé', shoo, bidee' yadaa'áhígíí bitahdę́ę́' áłts'íísígo adee' ła' háá'á; éí bidááhdóó yadaa'áhígíí táa'go behétł'óól t'áá bił haalts'ǫ́ǫ́d; nít'éé' diné bináá' nahalingo adee' áłts'íísígíí bináá' hólǫ́, áádóó bizéé' hólǫ́ǫgo ayóó ánísht'é nízingo ádá yálti', jó'akon.  
27:7:009:0	Áko déé'į́į́' nít'éé' bik'i dah asdáhí bikáá'dóó nidahat'áii nidaasnil, áádóó As'ahdę́ę́' Bíyoołkááł wolyéii éí ła' yikáá' dah neezdá; bi'éé' éí yas nahalingo łigai, índa bitsii' éí aghaa' łigaii ts'ídá niłtólígíí nahalingo łigai. Bibik'i dah asdáhí bikáá'dóó nahat'áii kǫ' nahalingo bits'áhodina' áádóó dées'eezgi kǫ' diltłi' nahalin. 
27:7:010:0	Bidááhdę́ę́' kǫ' tooh nahalingo nílį́. Miiltsoh ádanéelą́ą'go bá nidaas'a', índa neeznádiindi mííltsoh ádanéelą́ą'go bidááhdóó deizį', áko naaltsoos ąą ádaalyaago haa nídahast'įįd. 
27:7:011:0	Adee' áłts'íísígíí ayóó át'éego ádaa yálti'go diséts'ą́ą'go biniinaa déé'į́į'go naaldlooshii naayéé' nilíinii seesyį́ áádóó bits'íís atílyaago kǫ' biyi' góne' ahoolghan. 
27:7:012:0	Naaldlooshii naayéé' danilíinii yidzí'ígíí yee bídahólníihii bits'ą́ąjį' kódaalyaa, nidi náasdi t'óó kónígháníjį' bá hashja nááhodoo'nííł biniyé t'áá dahiná. 
27:7:013:0	Tł'ée'go shił áhoodzaago, shoo, Diné Silį́į'ii nahalingo yá'ąąshdę́ę́' k'os bił yildohgo áádóó As'ahdę́ę́' Bíyoołkááł wolyéii yich'į' yigáałgo áádóó yił yaadaaskaigo yiiłtsą́. 
27:7:014:0	Áádóó bee óhólníihii áádóó ayóó át'éii índa bee óhólnííh bił haz'áanii baa deet'ą́, áko diné danilíinii, ał'ąą dine'é danilíinii índa bizaad ał'ąą át'éego yee yádaałti'ii ts'ídá t'áá ałtso há nidaal'a' dooleeł. Hool'áágóó bee óhólníihii hólǫ́ǫgo éí ts'ídá doo bił yóó'ahodoogáał da índa bee óhólníihgo bił haz'áanii ts'ídá doo ádooldįįł da. 
27:7:015:0	Shí, Daniel yinishyéii, t'áá íiyisí yínííł biih neitłizh índa shił áhoodzaaígíí shił yéé' áhoolaa. 
27:7:016:0	Áadi naazínígíí ła' bit'áahjį' niníyáago díí áhoodzaaígíí t'áá aaníí ááhyiłníinii t'áá át'é bínabídééłkidgo yee shił náhoolne' áádóó shił bééhózingo áshiilaa. 
27:7:017:0	Díí naaldlooshii dį́į'go naayéé' danilínígíí éí aláahgo naat'áanii dį́į'go nahasdzáán bikáá'dóó nídahididookahígíí át'é. 
27:7:018:0	Nidi Aláahgo Ayóó'át'éii bidiyį́į́' danilíinii bee óhólníihii yiih dahidookahgo hool'áágóó ahool'áágóó bíí' danilį́įgo ahool'áa doo.  
27:7:019:0	Ákohgo dį́į́' góne' naaldlooshii naayéé' nilínígíí ááhyiłnínígíí shił bééhodoozįįł niizį́į́' ła'ígíí t'áá ałtso doo yił ahedaałt'ée da; ts'ídá t'áá íiyisí t'óó báhádzidígíí éí béésh nitł'izii biwoo'go ooldéél áádóó béésh łitsoii bíláshgaango adííséí índa yidziihígíí yik'i naayá. 
27:7:020:0	Áádóó bitsiit'áádóó bidee' neeznáá hadaaz'áii áádóó adee' náánáła' háá'áhígíí éí bidááhdóó táa'go naa'aníídee'go éí bináá' hólǫ́ áádóó bizéé' hólǫ́ǫgo ayóó ánísht'é nízingo ádá yálti'go índa adee' yadaa'ááh nít'éé' yę́ę biláahgo nitsxaaz noolninii éí ááhyiłníinii shił bééhodoozįįł niizį́į́'. 
27:7:021:0	Áko déé'į́į́', nít'éé' díí adee' éí Diyin God bidiyį́į́' danilíinii yich'į' ana'ííł'į́įgo yik'eh didlį́. 
27:7:022:0	Áko As'ahdę́ę́' Bíyoołkááł wolyéii beiníłką́ bijį́įjį' Aláahgo Ayóó'át'éii bidiyį́į́' danilíinii yá einíst'įįd áádóó baa hoolzhiizhgo bidiyį́į́' éí bee óhólníihgo bił haz'áanii bíí' daazlį́į́'. 
27:7:023:0	Nít'éé' kóní, Dį́į́' góne' naaldlooshii naayéé' nilíinii díí nahasdzáán bikáa'gi dį́į́' góne' bee óhólníihgo bił haz'ą́ą dooleełii át'é; éí t'áá ałtsogóó bee ídahólníihgo bił dah nahaz'áanii doo bił aheełt'ée da dooleeł áádóó nahasdzáán t'áá si'ą́ą́ nít'éé' yidooldił áádóó yididooséigo ałtso yik'i nidoogaa ł. 
27:7:024:0	Áko bidee' neeznáá yadaa'áhígíí bee óhólnííh bił haz'áanii bii'dóó éí aláahgo naat'áanii neeznált'éego nídahidiikáhígíí át'é. Díí bikéédę́ę́' aláahgo naat'áanii nínáádidoodáałgo neeznált'éhígíí doo yił aheełt'ée da dooleełgo éí aláahgo naat'áanii tált'éhígíí yik'eh didoodleeł. 
27:7:025:0	Éí Aláahgo Ayóó'át'éii yik'ijį' yáłti' doo áádóó Aláahgo Ayóó'át'éii bidiyį́į́' danilíinii atííł'į́įgo yik'ee ch'ééh didookah áádóó dahwéelzhíshígíí índa bee nahaz'áanii łahgo ánéidoodlíiłgo yaa nitsíkees doolee ł. Áko ła' hoolzhish áádóó náádahwéelzhííshgóó índa ałníi'jį' anááhoolzhiizhjį' bidiyį́į́' bílák'e doo'nił. 
27:7:026:0	Nidi ánihwiit'aah beiníłką́ągo bee bóhólníihii bits'ą́ą́' nahjį' nididoot'áałgo t'áá nihoníyáajį' ałtso ádooldįįł. 
27:7:027:0	Áko yádiłhił biyaagi t'áá náhwiiz'ą́ą́ nít'éé' bee óhólníihgo bił haz'áanii áádóó yee nant'áii índa yee ayóó át'éii éí Aláahgo Ayóó'át'éii bidiyį́į́' bidine'é danilíinii baa didoot'ááł; bee bóhólníihgo bił haz'áanii éí hool'áágóó bee bóhólníih doo áádóó bídahólníihii bá nidaal'a' doo índa bik'eh dahół'į́į dooleeł. 
27:7:028:0	Shí, Daniel yinishyéii, díí ałtso baa neisíyeelgo baa nitséskees nít'éé'; ts'ídá ayóó át'éego shi'diił'á áádóó doo ákwálkágí da, nidi áhóót'įįdígíí t'áá adíyi'ídi t'óó bił ánísht'é.
