27:1:001:1	Daniel áádóó bik'isóó ídahooł'aah
27:1:001:0	Júdah kéyahgi aláahgo naat'áanii Jiihóíyakim nazhnit'áago táá' náhááh góne', Bábilandóó aláahgo naat'áanii Nébukadnézzar nínáago Jerúsalem kin haal'áii yináshzhiizh. 
27:1:002:0	Áko Bóhólníihii éí Júdah dine'é aláahgo binanit'a'í Jiihóíyakim wolyéii Nébukadnézzar yílák'eidíí'ą́, áádóó Diyin God bikin bii' sohodizindę́ę́' łeets'aa' chodao'į́į́ nít'éé' yę́ę ła' ch'íiníjaa'. Áko Sháínar kéyahgi bidiyin bidi'níinii bikin bił haz'ą́ą́góó yiníjaa'go yódí bá haz'ą́ą́ góne' yah ayííjaa'. 
27:1:003:0	Áádóó Áshpenaz joolyéii naalte' binanit'a'í jílį́įgo éí aláahgo naat'áanii áhodííniid, Ízrel dine'é bitahdóó tsíłkéí ła' áádóó aláahgo naat'áanii bik'éí ła' índa aląąjį' naazíinii ba'áłchíní ła' nídeididoo'ish. 
27:1:004:0	Ashiiké ániid nidaakaii doo tídílyaii, dabííyisii, t'áá íiyisí hóyą́ągo da'iichįįhii, át'é hwiindzin bee dahólóonii, ídahooł'aahgo ak'idadi'yiitįįhii índa aláahgo naat'áanii bighan haz'ą́ągi na'al'a' yídaneel'áanii éí naal'a'í Áshpenaz joolyéii Kaldíya dine'é bizaad bee ak'e'alchíigo áádóó yee yádaałti' doo biniyé yíneiniłtin doo. 
27:1:005:0	T'áá ákwíí jį́ aláahgo naat'áanii bich'iyą' nídajidį́įhgo índa wáin néídlį́hígíí nídajidlį́įhgo haidiní'ą́, áko t'áá ídahojiił'aahgo táá' nídoohah áádóó bik'ijį' nidajil'a' doo biniyé aláahgo naat'áanii bidááhdę́ę́' nihizhdookahgo bá nidajil'a' doo. 
27:1:006:0	Júdah dine'é bitahdóó ashiiké ániid nidaakaii nídii'nilígíí éí Daniel, Hananáíyah, Mísheiyel áádóó Azaráíyah daolyé. 
27:1:007:0	Naalte' binanit'a'í éí daházhi' dooígíí yee dahóózhi'. Daniel éí Bélteshazar yee hóózhi', Hananáíyah éí Shéídrak yee hóózhi', Mísheiyel éí Mííshak yee hóózhi' índa Azaráíyah éí Abédniigo yee hóózhi'. 
27:1:008:0	Nidi Daniel éí aláahgo naat'áanii bich'iyą' índa biwáin yidlánígíí ts'ídá doo bee ádizhdoolchxǫǫłgóó bee ádiih tsídzookééz. Éí bąą ts'ídá doo bee ázhdidoolchxǫǫłgóó naa'nil binanit'a'í bíjííkeed. 
27:1:009:0	Áko Diyin God éí naa'nil binanit'a'í Daniel yich'oo'néego índa yaa a'ááh nízingo áyiilaa. 
27:1:010:0	Áko naa'nil binanit'a'í éí Daniel áyidííniid, Aláahgo naat'áanii shinanit'a'í nilíinii na'ałtso' doogo áádóó ni'iiłdlą́ą doogo niidiní'ánígíí binásdzid, háálá ashiiké ániid nidaakaii biláahgo t'óó naa hojoobá'í yíleełgo niidoołtsééł, áko niniinaa aláahgo naat'áanii bik'ehgo shitsiits'iin k'ídookał. 
