23:48:001:1	Ániidíii danilíinii baa hodoonih
23:48:001:0	Jéíkab dine'é, Ízrel nidi'níinii, éí Júdah dine'é bishchíinii, índa Bóhólníihii bízhi' bee ádee hadíínídzí'ígíí áádóó doo t'áá aaníígóó doo nidi t'áá ákogi át'éégóó Ízrel dine'é biDiyin God bízhi' bee yínízhíhígíí, díí yísíníłts'ą́ą́'. 
23:48:002:0	Jó, éí hodiyingo kin haal'áii bee ádííníjí áádóó Ízrel dine'é biDiyin God baa jííníshłí, diní; éí t'áá ałtsoní bee Bóhólníihii bidi'ní. 
23:48:003:0	Ch'óóshdą́ą'di ádahóót'įįdii bee nił hweeshne'; éí bee hahásdzíi'go yit'íní ádaashłaa índa t'áá hooshch'į' ádaashłaago bidahoolyaa. 
23:48:004:0	Shił bééhózingo nanchǫ' áádóó nik'os éí béésh nitł'izii nahalingo ayóó íídóots'id índa nítáá' éí béésh łitsoii nahalin. 
23:48:005:0	Éí bąą, E'elyaii danihíhígíí áát'įįd índa tsin naask'ęę'ii áádóó doolyį́į'go e'elyaii éí haadzíi'go bohoolyaa, doo dadidoohniił daígíí biniyé t'áá bítséedi t'áá náshiinídą́ą'dii bee nihich'į' haasdzíí' áádóó nihich'į' yit'íní áshłaa. 
23:48:006:0	Shoo, díí t'áá ałtso disíníts'ą́ą́' áádóó yiniłtsą́; da' doósh baa hodíílnih da? Nidanil'ingo doo nił béédahózin da yę́ę ániidí danilíinii k'ad kodóó nich'į' yit'íní ádaashłaa. 
23:48:007:0	K'ad índa ádaalyaago doo t'áá náshiinídą́ą'dii da; díí jį́įjį' nidi t'ah doo diits'į́įh da, áko, Shił bééhózin, jó'akon, doo didííniił da. 
23:48:008:0	T'áá aaníí, t'ah doo diits'į́įh da nít'éé'; t'áá aaníí, doo nił bééhózin da nít'éé'; t'áá aaníí, doo adinits'a'dą́ą́' díí shił bééhózin: doo nazhdí'nóodlí'ígi ánít'ée doo, áádóó t'áá ni'dizhchį́į́dę́ę́' bee haz'áanii yiyiitíihii yinílyéé nít'éé'. 
23:48:009:0	Shízhi' biniinaa sháháchį'ígíí átsé nahjį' kóshłaa, áádóó shaa ha'niihígíí biniyé ná t'ą́ą́' kwíínísin, áko doo ándeeshdįįł da. 
23:48:010:0	Jó, ąąh nándííłhį́į́', béésh łigaiigi át'éego éí dooda, nidi déédíljah góne' ach'į' nahwii'ná nibééhwiizįįhígíí bee nínítą́ą́'. 
23:48:002:1	Bóhólníihii éí Ízrel dine'é yik'é niná'doodlééł
23:48:011:0	Shí shąą, t'áá shí shąą ákódeeshnííł. Ha'át'íísh biniyé shízhi' t'óó baa'ihgo óolzin doo? Bee shaa ha'niihii doo ła' baa dideesh'áał da. 
23:48:012:0	Jéíkab nílíinii, Ízrel bee níízhi'ii, shíísíníłts'ą́ą́'; shí éí ásht'į́; shí áłtséhígíí nishłį́; shí ałdó' akéédę́'ígíí nishłį́. 
23:48:013:0	Shíla' bee nahasdzáán bítsé siláii ninílá, áádóó shíla' nish'náájíígíí bee yádiłhił k'ídasíłts'ǫ́ǫ́d; bich'į' ádííniidgo t'áá łahjį' deiizį'. 
23:48:014:0	T'áá ánółtso ahanihohkáahgo da'doohts'į́į́h; eda'alyaii bitahdóó háísh díí yaa hoolne'? Bóhólníihii ayóó'áyó'nínígíí éí Bábilan dine'é t'áá óoshłe' nízinígi íidoolíiłgo bidziil yee Kaldíya dine'é yich'į' dooldził. 
23:48:015:0	Shí, t'áá shí haasdzíí'; t'áá aaníí, hágo bidííniidgo bá áhoot'éégóó bił ní'áázh, áko yá'át'éehgo ó'oolíił doo. 
23:48:003:1	Bóhólníihii bidine'é yá nahaz'ánígíí
23:48:016:0	Áháníjį' shich'į' ninohkáahgo díí dadoohts'į́į́h; hahoolzhiizhdę́ę́' doo nanil'ingóó nihich'į' haasdzíi' da; áhóót'įįdę́ę́' ákwii honishłǫ́, áko k'ad Bóhólníihii Diyin God áádóó biNíłch'i Diyinii yił shííł'aad. 
23:48:017:0	Bóhólníihii, nik'éniná'ídláii Ízrel dine'é biDiyin nilíinii ání, Shí Bóhólníihii niDiyin God nishłíinii éí ná yá'át'éehii áádóó ná honít'i'góó yínááł dooleełgo yínaniniłtinii nishłį́. 
23:48:018:0	Shibik'eh ó'oo'níiłii yíníłts'ą́ą' doo nít'éé' nisin! Ákwíindzaago tooh nílį́ nahalingo nił hasht'ehodít'ée doo nít'éé' índa tónteel yilk'ooł nahalingo nit'áá ákogi át'éii nee hólǫ́ǫ doo nít'éé'; 
23:48:019:0	séigi át'éego na'áłchíní t'óó ahayói doo nít'éé', índa t'áá éí tsé yázhígi át'éego nits'ą́ą́dóó náás oochíłígíí hólǫ́ǫ doo nít'éé'; shidáahgi nízhi' doo nahjį' kódoolníił da, doo nidi ádooldįįł da nít'éé'. 
23:48:020:0	Bábilan kin haal'áádóó ch'ínóhnééh; Kaldíya dine'é bits'ąą dadínóhchééh; nihił dahózhǫ́ǫgo dadołwosh; díí baa dahołne'go nahasdzáán nidanees'ą́ąjį' baa ch'ídahoyoh'aah; kódadohní, Bóhólníihii bá naal'a'í Jéíkab yik'éniná'ídlá. 
23:48:021:0	Áádóó halgai góne' yoo'ishgo doo dibáá' daazlį́į' da; tsé biyi'dóó tó háálį́įgo yá áyiilaa; tsé yisk'isgo áyiilaago áádę́ę́' tó hadzííłhaal. 
23:48:022:0	Bóhólníihii ání, Doo yá'ádaashóonii hasht'ehodít'é bá ádin. 
