23:3:001:1	Bóhólníihii éí Júdah kéyahgi áádóó Jerúsalem kin haal'áagi dine'é yaa nídóot'įįł
23:3:001:0	Háálá, jó'akon, t'áá ałtsoní bee Bóhólníihii éí Jerúsalemgi áádóó Júdahgi bááh áádóó tó t'áá át'é ádingo áyiilaa; 
23:3:002:0	diné hayóii áádóó diné naabaahii, ánihwii'aahii áádóó atsijį' halne'ii, bił áhát'íinii áádóó hastóí nilíinii, 
23:3:003:0	siláo ashdladiin yinant'áii áádóó diné ił nilíinii, ach'į' yálti'ii áádóó na'ach'ąąh yiyiichįįhii índa indzinii ádaadingo áyiilaa. 
23:3:004:0	Áłchíní honanit'a'í danilį́įgo áhodeeshłííł áádóó awéé' danilíinii hwee ádídahólníih doo. 
23:3:005:0	Diné ahidiníłnáago ałk'ijį' danidlį́į doo; t'ááłá'í nítínígo bik'is áádóó bił kéédahat'íinii yich'į' ákódaat'ée doo: ániid nidaakaii éí hastóí yighá ádadool'áa doo, índa diné doo jooba'ii éí diné ił nilíinii yik'ijį' nilį́į doo. 
23:3:006:0	Diné ła' bizhé'é bighangi hak'is yizdoołtsołgo ábizhdidooniił, Ni'éénééz nee hólóonii nihinanit'a'í dííleeł; nidahaazhchǫ'go yáádaa'áhígíí bee níhólníih doo. 
23:3:007:0	Éí jínídi ádidooniił, Shí doo náádi'yiiłáahii nishłį́į da doo, háálá shighan góne' bááh áádóó éé' ádin, áko diné binanit'a'í doo ádashidoohłíił da. 
23:3:008:0	Jó, Jerúsalemgi hóóchǫ' áádóó Júdah kéyah baa honeezná, háálá Bóhólníihii aláahgo bee bits'ádi'nílíidii doo deiniizį́į́'góó yik'ijį' yádááłti' índa yik'ijį' nidaasdzil. 
23:3:009:0	Binii'jį' bee bééhózingo; Sádamgi kéédahat'íinii bibąąhági át'éii yit'íní silį́'ígi át'éego bąąhági át'éii t'áadoo yee nídeidół'į́łígóó yee ádadoot'į́. Dooládó' bii' naazíinii bich'į' doo hojooba' ájíníi da, háálá doo yá'áshóonii ádík'ijį' yídaalná. 
23:3:010:0	T'áá ákogi ádaat'éii bee bił dahołne'go t'éiyá yá'át'éehgo kéédahat'į́į doo, háálá yá'át'éehgo ádaaníłígíí binahjį' aneest'ą' deiyą́ą doo. 
23:3:011:0	Dooládó' doo yá'ájíshóonii hach'į' doo hojooba' ájíníi da! Háálá doo yá'át'ééhgóó kééhojit'į́į doo; jó, t'áá hó ájiilaii bik'ehgo hach'į' ánáhodoo'nííł. 
23:3:012:0	Shidine'é danilíinii éí áłchíní hach'į' nidahwiiłná áádóó sáanii ałdó' hwee ádídahólnííh. Shidine'é danohłíinii, nihindanit'a'í t'áá áhoodzaagóó danihí'éésh áádóó bik'ehgo dayínóhkáahii nihits'ą́ą́' nidayiishchxǫ'. 
23:3:013:0	Bóhólníihii bidine'é yił ahaa nidookah yiniyé yiizį' áádóó yaa nídóot'įįł yiniyé sizį́. 
23:3:014:0	Bóhólníihii éí bidine'é badahastóí áádóó bindanit'a'í yaa nídóot'įįłjį' yah iidiyoo'ish; nihí lą́ą ch'il na'atł'o'ii ałtso nidahishoołchxǫ'; badahojoobá'íii bindaalye'é danihighanjį' dasoołná. 
23:3:002:1	Záíyangi sáanii baa náhódóot'įįł
23:3:015:0	Ha'át'íishą' biniyé shidine'é niłjizh áádóó badahojoobá'íii nihidadíníil'ą́ągo bik'i naałdeeh? ní t'áá ałtsoní bee Bóhólníihii Diyin God. 
23:3:016:0	Bóhólníihii ánáádoo'niid, Záíyan bich'é'éké ádaa deidzódlí áádóó shidáhodínóoniił, danízingo dah danéet'aahgo áádóó yoo' achaaí bikétsíín dadiits'a'go hadahidil'éesgo nidaakai; 
23:3:017:0	éí bąą Bóhólníihii éí Záíyan bich'é'éké bitsiitahgóó łóód bik'i nidahaazkę́ęzgo yee atíhodoolííł áádóó Bóhólníihii éí t'áá łichí'ígo nidajikaigo áhodoolííł. 
23:3:018:0	Éí bijį́ Bóhólníihii kódoonííł éí kétsíín názt'i'ii dadiits'a'ígíí áádóó ch'ah nidaashch'ąą'ii áádóó yoo' dahiitą́ bida'alyaago, 
23:3:019:0	jaatł'óól áádóó látsíní áádóó anii'jį' bik'índaaltihii nizhóníii, 
23:3:020:0	ch'ah áádóó béésh da'ahólzha'í akétsíín názt'i'ii áádóó bee áká ná'álzisii áádóó łikání bee dahojílchinii áádóó ts'áhoníyéé' bizéédaazt'i', 
23:3:021:0	yoostsah áádóó áchį́į́h bił dah nídaatį́hí, 
23:3:022:0	ééłgaii agháadi ádaat'éii áádóó éénééz áádóó dáábalí áádóó béeso bizis nidaadló'ígíí, 
23:3:023:0	bii' adéest'į́į́' áádóó áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii éé' áádóó tsiighá bił íí'áhí áádóó nidaneeszahgo anii'jį' bik'ídaasti'í éí bee ádazhdilzhóní yę́ę t'áá ałtso Bóhólníihii hats'ą́ąjį' kwíidoolííł. 
23:3:024:0	Ákódaadzaago bee łikání dahojílchinii dííłdzid dahalchin doo; bee áká dadziszaazii tł'óół t'éiyá dooleeł; bitsii' nizhónígo nidaashch'ąą'ii bídáát'óod doo; ééłgaii yiih nídaakahii tł'oh azis éé' nídadoodleeł; dajízhóní yę́ę t'óó haa yádahasin doo. 
23:3:025:0	Nidiné danilíinii diltłish bee nidadootsił; nidiné dahayóii anaa'di nidadootsił. 
23:3:026:0	Áko bidáń'da'ditį́hígóó daachxago yínííł danilį́į doo, índa t'áadoo hąąhígóó ni'góó dzizdáa doo.
