23:45:001:1	Sáíras wolyéii bik'i hodiinii'
23:45:001:0	Bóhólníihii éí Sáíras wolyéii ak'ah yik'i yayiiziidgo yiyíísį́į'ii éí ał'ąą dine'é bidáahgi nideeshniłgo áádóó aláahgo naat'áanii danilíinii yee áká daaszaazii nítłóo'go ádeeshłííł índa béésh łitsoii dáń'dítį́hí naakigo ąą ádooníiłgo doo dáń'di'dootį́įł da biniyé bíla' nish'náájí yótą'go yich'į' yáłti'go ííłní, 
23:45:002:0	Nilą́ąjį' yisháałgo nidahoneeshtł'iizhii k'ídahodeeshdǫǫł; béésh łitsoii dáń'dítį́hí nihideeshtih áádóó béésh nitł'izii bee dá'deelkaalígíí k'ídeeshtih; 
23:45:003:0	nízhi' yee níízhi'ii Bóhólníihii nishłíinii éí Ízrel biDiyin God nishłį́įgo nił bééhózin doo biniyé daat'íinii chahałheełdi nidanil'inii áádóó tsé da'ílíinii doo bééhózingóó nidanil'inii naa dideesh'ááł. 
23:45:004:0	Jéíkab shá naal'a'ígíí biniinaa áádóó Ízrel nídiiłtíinii biniinaa t'áá aaníí nízhi' bee níízhi'; azhą́ doo shééhonísin da nidi, ayóó át'éii yízhí bee ni'dójíii bee níízhi'. 
23:45:005:0	Shí Bóhólníihii nishłį́, doo ła' nááhódlǫ́ǫ da; diyin doo ła' nááhódlǫ́ǫ da; azhą́ doo shééhonísin da nidi, áká niséłzaaz, 
23:45:006:0	áko jį́honaa'éí hanádáhídóó e'e'aahjį' doo ła' diyin nááhódlǫ́ǫ́góó bee hoł béédahodoozįįł. Shí Bóhólníihii nishłį́ áádóó doo ła' nááhódlǫ́ǫ da. 
23:45:002:1	Bóhólníihii t'áá ałtsoní áyiilaii
23:45:007:0	Adinídíingo áádóó chahałheełgo áádóó hasht'ehodít'éego índa doo yá'áshóonii hólǫ́ǫgo ásh'íinii nishłį́; shí Bóhólníihii nishłíinii díí t'áá ałtso ááshłííł. 
23:45:008:0	Yádiłhił nílíinii, ąą ánínééh; bíni'dii t'áá ákogi át'éii naałtin; bíni'dii nahasdzáán ąą ánéehgo yisdá'iildééh bits'ą́ą́dóó aneest'ą' haleeh áádóó bíni'dii t'áá ákogi át'éii yił hanisé. Bóhólníihii nishłíinii shí éí ádaashłaa. 
23:45:009:0	Áhoolaii bich'į' nidzildzilígíí doo hojooba' ájíníi da! Éí ásaats'iil łeezhtahgóó hólónígíí bitahdóó ła' jílį́. Da' hashtł'ish ásaa'ásh éí ábiilaii áyididooniił, Ha'át'íísh ánílééh? Éí doodaii', da' íinilaiísh áníłníi doo, Eii hála' ádin? 
23:45:010:0	Ha'át'íísh ná yizhchį́? hazhé'é bijinínígíí, doodaii' asdzání ábijinínígíí, Ha'át'íísh shíníłchį́? jinínígíí doo hojooba' ájíníi da! 
23:45:011:0	Ízrel biDiyin nilíinii, éí Ábiilaii, Bóhólníihii ání, Shiye'ké baa dahodiyoolzhishígíí bínashídídííłkił, índa shinaanish ádeeshłíiłii bee nihił hodeeshnihígíí bee shich'į' hadíídzih. 
23:45:012:0	Nahasdzáán íishłaa áádóó ał'ąą dine'é yikáá' kéédahat'į́įgo íishłaa; shí shíla' bee yádiłhił k'ídasíłts'ǫ́ǫ́d áádóó biyi'di hiníláii t'áá ałtso bee shóhólnííh. 
23:45:013:0	T'áá ákogi át'éii bee de áhooshłaa, áádóó há honít'i'góó k'íhoneezláago áhodeeshłííł; shikin hadaas'áago ádazhdoolííł, áádóó shits'ą́ą́' daasnáanii nályééh ádingo t'áá jíík'eh béédazhdidoochił, ní t'áá ałtsoní bee Bóhólníihii. 
23:45:014:0	Bóhólníihii kóní, Ííjip kéyahdóó ádaalyaii índa Iithiyópiya kéyahdóó naalyéhé danilíinii áádóó Sabíya dine'é danineezígíí naa hidookahgo níí' dadooleeł; nikéé' nihidookah; béésh da'ahólzha'í yee bida'astł'ǫ́ǫgo naa hidookahgo nich'į' nitsidadidoogoh áádóó nídanookąąhgo ádadidooniił, T'áá aaníí, Diyin God nił hólǫ́; diyin ła' doo nááhódlǫ́ǫ da. 
23:45:015:0	Ts'ídá t'áá aaníí Diyin God ná'ádees'į́į'ii nílį́, Ízrel dine'é biDiyin God Yisdá'iiníiłii nílíinii. 
23:45:016:0	Éí t'áá ałtso ádaa yádadinóodzįįł áádóó ałdó' bił dahodooląął; eda'alyaii ádeił'íinii t'áá bił dahodooląął. 
23:45:017:0	Hool'áágóó yisdá'iildéehii bee Bóhólníihii éí Ízrel yisdéidoonił; doo nihonít'i'góó doo ádaa yádadínóohdzįįł da áádóó doo nihił dahazkée da doo. 
23:45:018:0	Háálá Bóhólníihii yádiłhił áyiilaii, t'áá éí Diyin God nilíinii nahasdzáán hasht'eyiilaago bohoníłdzilgo niiní'áanii índa bikáa'gi dahináanii kéédahat'į́į doo biniyé doo t'áadoo biniyéhígóó hasht'eyiilaaígíí ání, Shí Bóhólníihii nishłį́ áádóó doo ła' nááhódlǫ́ǫ da. 
23:45:003:1	Bóhólníihii áádóó Bábilan bi'eda'alyaii
23:45:019:0	Doo nant'ingóó índa doo chahałheeł haz'ą́ągi haasdzíi' da; Jéíkab ba'áłchíní doo ábidííniid da, Ch'ééh hadashinohtáa doo. Shí Bóhólníihii nishłíinii t'áá ákogi át'éego yáshti' áádóó t'áadoo le'é t'áá ákogi ádaat'éii baa hashne'. 
23:45:020:0	Wóshdę́ę́' ahanihohkáahgo áháníjį' shich'į' ninohkááh, ał'ąą dine'é bitahdóó yóó'adahinoochą́ą'ii danohłíinii; e'elyaa tsin bee ádaalyaii áádóó yisdádabidoonił doo bohónéedzánígíí yich'į' sodadilzinii doo bił éédahózin da. 
23:45:021:0	Bił dahołne'go áháníjį' nidahoh'éésh; t'áá aaníí, bíni'dii yaa nídaat'į́į doo. Háísh éí ałk'idą́ą́' hoolzhiizhígíí yaa hoolne'? Bóhólníihii nishłíinii shí baa hweeshne'. Ts'ídá doo ła' nááhódlǫ́ǫ da; Diyin God t'áá ákogi át'éii áádóó Yisdá'iiníiłii ts'ídá doo ła' nááhódlǫ́ǫ da. 
23:45:022:0	Nahasdzáán nidahonees'ą́ą́dę́ę́' t'áá ánółtso shich'į' dadóh'į́į́' áádóó yisdáhóhkááh, háálá shí Diyin God nishłį́ áádóó doo ła' nááhódlǫ́ǫ da. 
23:45:023:0	T'áá shí ádee hadeesdzíi'go saad t'áá ákogi át'éii bee haasdzíí', áko doo t'ą́ą́' kónídoo'níił da, Éí t'ááłá'í jinítínígo shich'į' nitsidazhdidoogohgo t'áá ádzíłtso hazéé' bee ádee hadazhdidoodzih. 
23:45:024:0	T'áá aaníí, ła' áshididooniił, Bóhólníihii bee t'áá ákogi át'éii áádóó bee adziilii shee hólǫ́; t'áá éí diné baa hakáah doo, áádóó t'áá ádzíłtso bich'į' ádá nídahojilchįįhígíí ádaa yádazdínóodzįįł. 
23:45:025:0	Bóhólníihii bee Ízrel dine'é t'áá ałtso t'áá ákogi ádaat'éego bá ha'doodzihgo baa dahaniih doo.
