23:28:001:1	Íífreiyim dine'é t'ahídą́ą́' bee bi'ílnii'ii
23:28:001:0	Íífreiyim kéyahdóó da'adláanii ádaa daha'niihii áádóó ch'ilátah hózhóón nahalingo yee ayóó ánóolnin yę́ę néiba'ii doo hojooba' ájíníi da! Éí ayóó át'éego na'nt'ą'go honíts'aa' de nihoneel'ánídi bił haz'ą́ áádóó wáin bik'eh dadeesdlį́'ígíí áłah nádleeh. 
23:28:002:0	Shoo, Bóhólníihii éí bidziilii áádóó hayóígíí bee hólǫ́; éí níló naałtin áádóó ayóó'íits'a'go níyol índa tó ayóó át'éego daaląąhgo wó'ąnídaanahígi át'éego t'áá na'níle'dii nihokáa'jį' iidiyoołhą́ą́ł. 
23:28:003:0	Íífreiyim kéyahdóó da'adláanii ádaa daha'niihii bik'i nidooldah. 
23:28:004:0	Índa ayóó át'éego na'nt'ą'go honíts'aa' de nihoneel'ánídi bił haz'ánígíí éí ch'ilátah hózhóón nahalingo yee ayóó ánóolninii néiba'ii, t'ah doo ch'ínáshį́į́hgóó fig sikaadii bineest'ą' áłtsé neest'ánígíí éí diné ła' yiyiiłtsą́ągo t'áá ni'idii'ą́ągo yiyííyą́'ígíí nahalin doo. 
23:28:005:0	Éí yoołkáałdi t'áá ałtsoní bee Bóhólníihii bidine'é daadziihígíí bá naat'á ch'ah ayóó át'éii áádóó ayóó ánóolninii nilį́į doo; 
23:28:002:1	Jerúsalem t'ahídą́ą́' bee bi'ílnii'ii áádóó bee bá nihoot'áanii
23:28:006:0	ánihwii'aahgo dah sidáhígíí doo haada yit'éii yinízingo índa yah a'atiingi anaa' dahal'íinii t'ą́ą́' yééda'iiłníihii yá adziil nilį́į doo. 
23:28:007:0	Áko éí ałdó' wáin yik'ee nida'nt' i áádóó tó tsi'na'iiłáii yik'ee tsi'nidaakai; nááda'iiłniihii áádóó áhodooníiłii yaa dahalne'ígíí tó tsi'na'iiłáii yik'ee tsi'nidaakai; wáin dabisnááh áádóó tó tsi'na'iiłáii yik'ee tsi'nidaakai; nida'nt'igo bił ádahat'į́ índa bił nidahondohgo nidahwii'aah. 
23:28:008:0	Áko kwih áádóó t'óó badaa'ihii bibikáá' adání bił naaz'ą́, áko doo łahgo chin bąąh ádingo haz'ą́ą da. 
23:28:009:0	Háishą' ił ééhózin bee nizhdínóotįįł? Háishą' hana'nitinii yik'idi'dootį́įłgo ázhdoolííł? Áłchíní yázhí índa i'da'deezt'ódígíí daats'í. 
23:28:010:0	Jó, bik'eh oodáałii áádóó ła' bik'eh náá'oodáałii, bik'eh oodáałii áádóó ła' bik'eh náá'oodáałii, bee ak'e'ashchínígíí áádóó bee ak'enáá'áshchíinii, kwe'é áłts'íísígo áádóó áadi ánáánáłts'íísígo. 
23:28:011:0	T'áá aaníí díí dine'é yich'į' ałt'andzihgo áádóó náánáła' bizaad yee yáłti' doo. 
23:28:012:0	Ch'ééh dadeeskaii díí yee háádadoołyįh, yidííniidii; díí háá'áyį́į́h baa dahidooh'aah; ákondi t'áadoo dabidiizts'ą́ą' da. 
23:28:013:0	Áko éí ch'íhidookah áádóó chą́ą́h dahidigeeh doo áádóó bąąh nidahwiikaad doo índa łoh yiih hekáahgo nidabi'diilnéeh doo biniyé kót'éego Bóhólníihii bizaad haa hodooleeł, Bik'eh oodáałii áádóó ła' bik'eh náá'oodáałii, bik'eh oodáałii áádóó ła' bik'eh náá'oodáałii, bee ak'e'ashchínígíí áádóó bee ak'enáá'áshchíinii, kwe'é áłts'íísígo áádóó áadi ánáánáłts'íísígo. 
23:28:014:0	Éí bąą diné ándahałt'i'ii danohłíinii, Jerúsalemgi diné bindanoht'áii Bóhólníihii bizaad deísínółts'ą́ą́'. 
23:28:015:0	Kódadooniid, Aniné bił ahada'di'niit'ą́ áádóó hool'áágóó ti'hoo'nííh bił lą́ da'siidlį́į́'; atída'ał'íinii nihik'i ch'ínínáago doo atídanihidoolíił da, háálá wooch'ííd bine' adahiniichéehgo ádeiilyaa áádóó na'adlo' bine' nidaneet'į́į́'; 
23:28:016:0	éí bąą Bóhólníihii Diyin God ání, Záíyangi tsé bee naaná'ástł'inii bóhoneestą́ą'go t'áá íiyisí niłdzilgo ninish'aah, jó'akon, áko t'áá háiida boodlánígíí éí doo yánízin da doo. 
23:28:017:0	Áádóó doo haada yit'éii bee í'neel'ąąhí nilį́įgo índa t'áá ákogi át'éii éí k'éhézdon tł'óół náát'i'ígíí ałdó' ádeeshłííł, áko wooch'ííd bine' aná'níchéehii níló bee yóó'adeeshoh índa nínádadooht'į́į́h yę́ęgi tó bik'íizdoołhał. 
23:28:018:0	Áádóó aniné bił ahada'di'noht'áanii bik'inídoodzoh índa hool'áágóó ti'hoo'nííh bił lą́ da'soohłį́į́' yę́ę t'áadoo biniyéhí da doo; atída'ał'íinii nihitahgóó ch'ínínáago nihik'i nidooldah. 
23:28:019:0	T'áá ch'ídahanééh bik'eh adanihii'éesh doo, háálá t'áá ałkééhoní'ą́ągo, jį́įgo áádóó tł'ée'go nihitahgóó ch'ídahanéeh doo; éí hane' dazdiits'a'ígíí baa ákodazdínóozįįł yę́ę t'áadoo ádajóne'ígóó t'óó yéego nídadzildzid doo. 
23:28:020:0	Jó, tsásk'eh áłts'ísígo diné yikáá' dínóotéłígíí bi'oh áníłtso áádóó bee antéhí áłts'ózígo ák'ízhdidoodisígíí doo bíighah da. 
23:28:021:0	Bóhólníihii dooldził t'áá Dził Pérazimdi ádzaaígi át'éego áádóó Gíbiyan honíts'aa'di doo bił hóózhǫǫdgóó atí'iilaa yę́ęgi át'éego doo bił hodoozhǫǫłgóó binaanish; t'áadoo ájóne' hasingi áyoolíiłii binaanish íidoolííł áádóó t'áadoo ájóne' hasingi ádooníłígíí baa hodoolzhish. 
23:28:022:0	Éí bąą k'ad t'áadoo nidahołt'i'í, áko bik'ee ti'dahoohníhígíí doo t'óó yówehda ádooníił da, háálá t'áá ałtsoní bee Bóhólníihii Diyin God nihokáá' t'áá át'éé nít'éé' ádazhdoodįįłgo yee haadzíi'go diséts'ą́ą́'. 
23:28:023:0	Dashíínółts'ą́ą'go shiinéé' dadoohts'į́į́h; hazhó'ó dashíínółts'ą́ą'go shizaad dadoohts'į́į́h. 
23:28:024:0	Da' diné nihwiiłdlaadiísh t'áá ákwíí jį́ nihwiiłdlaad? Da' t'áá áłahjį'ísh bis neiłtseed biniyé ak'i na'ashood? 
23:28:025:0	Ałtso bis yik'i na'asho'go da' doósh dil áádóó kámin wolyéii bílástsii' áádóó tł'oh naadą́ą́' áádóó tł'oh naadą́ą́' bidee'í índa tł'oh naadą́ą́' rai wolyéii nihiidiyoołkał da? 
23:28:026:0	Háálá biDiyin God nabinitin; hazhó'ó yaa nitsíkees dooleeł biniyé nabinitin. 
23:28:027:0	Dil wolyéii éí tł'oh naadą́ą́' habé'él'ésígi át'éego doo habé'él'ées da, doo nidi tsinaabąąs naaldlózígíí kámin wolyéii bik'i naalbąąs da, nidi dil éí gish bee habé'élghał índa kámin éí tsihał bee habé'élgha ł. 
23:28:028:0	Da' tł'oh naadą́ą́'ásh yéego dooljish? Doo nízaadgóó hayé'éł'ées da doo, doo nidi bitsinaabąąs naaldlózígíí yik'i neiłbąąs da doo, áádóó doo bilį́į́' yik'i naajeehgo deidoołjish da. 
23:28:029:0	Díí ałdó' t'áá ałtsoní bee Bóhólníihii bits'ą́ą́dę́ę́' nihwiileeh; éí ayóó ánóolningo na'nitin áádóó ayóó át'éego naanish áyoolííł.
