23:58:001:1	T'áá aaníígóó hodílzingo doo adą́
23:58:001:0	Yéego hadílgháásh, t'áadoo t'ą́ą́' kwíínísiní; deenásts'aa' bidee' bee í'dílzoołí bee ájínínígi át'éego niinéé' bee chánahgo ádíní áádóó shidine'é ádił nida'iilzííh índa Jéíkab dine'é bibąąhági ádaat'éii bich'į' yit'íní ánílééh. 
23:58:002:0	Ákondi dine'é ła' t'áá ákogi ádaadzaiigi át'éego áádóó Diyin God bibik'eh hoogáałii doo nahjį' nideideez'áaniigi át'éego éí t'áá ákwíí jį́ há dashidéez'į́į́' índa shik'ehgo iináanii shił bééhodoozįįł danízingo yaa bił dahózhǫ́; t'áá ákogi át'éego bik'eh hoogáałii shídayókeed; t' áá áháníjį' Diyin God yich'į' nidadookahígíí yaa bił dahózhǫ́. 
23:58:003:0	Ha'át'éegoshą' hodílzingo doo da'iidą́ą́góó doo nihííní'į́į da? daaní. Ha'át'éegoshą' nihii' naazíinii atídeiil'į́įgo doo baa ákonínízin da? Jó, hodílzingo doo da'ohsánígíí éí jíní góne' t'áá nihí ádeinohsinígíí bik'ehgo ádaohnííł áádóó t'óó nihá da'íníísh. 
23:58:004:0	Jó, ahinídiiltłáád áádóó ałgha'dit'ááh índa doo yá'áshǫ́ǫ́góó nitsáhákeesgo azdoolts'į́į́ł t'éí biniyé hodílzingo doo da'ohsą́ą da. Díí jį́ ádaoht'ínígi át'éego shiinéé' chánahgo shá didoots'į́į́ł, danohsingo doo dahodíínóhsingóó doo da'ohsą́ą da. 
23:58:005:0	Da' hodílzingo doo adą́ kót'éiísh nidiní'ą́? Da' éí jínígíísh bii' sizíinii atíidoolííł biniyé át'é? Da' teełgi át'éego diné bitsii' nahíí'ą́ągo áádóó łeeshch'iihtahgi índa tł'oh azis bik'ísti'go sidáagoósh biniyé át'é? Da' éí hodílzingo doo adánígíí áádóó éí jínígíí Bóhólníihii bił yá'át'éehiísh dabidohní? 
23:58:006:0	Díí kót'éego hodílzingo doo da'adą́ nidiní'ą́: éí doo yá'ádaashóonii bitł'óól k'idoot'ał, hééł nidaazii néidooltał, áádóó bide ádahoot'éii doo bidahodiit'i' góó ádabi'didoolnííł índa azéédéetání t'áá ałtso dahidoohtihgo nidiní'ą́. 
23:58:007:0	Dichin danilíinii nibááh ba'dííłtsoł áádóó badahojoobá'íii doo dabidi'niidzį́'ígíí nighanjį' yah ahidookahgo nidiní'ą́. Bi'éé' ádaadinii yíní'į́įgo bi'éé' bá ádadííliił. Índa nik'isóó danilíinii doo bits'ąą nanít'in da doogo nidiní'ą́. 
23:58:008:0	Áko abínígo adideezdládígíí nahalingo idi'dííłdlał áádóó bee nąąh dahaz'áanii bits'ą́ą́dóó t'ahaa'go yá'át'ééh nídíídleeł índa nit'áá ákogi át'éii nilą́ąjį' hólǫ́ǫ doo; Bóhólníihii yee ayóó át'éii éí yee nik'iiní'į́į' doo. 
23:58:009:0	Ákohgo Bóhólníihii bich'į' ádidííniił áádóó nich'į' hadoodzih; néinikąąhgo nich'į' hadoodzihgo ándidooniił, Kǫ́ǫ́ honishłǫ́.Nihitahdóó azéédéetání áádóó ni'į́įgo bich'į' dah dílnihígíí índa t'óó baa'ihgo yáníłti'ígíí áts'ádinít'aahgo, 
23:58:010:0	áádóó dichin danilíinii baa nitsíníkees áádóó baa a'ááh nínízingo índa bii' sizíinii tídáánáanii hwiih danilį́įgo íínísingo, áko índa bíighahígi áhóót'įįdígi ne'adinídíín t'áá hoonaałgo idi'doołdlał, áádóó nił chahałheełígi ałní'ní'ą́ nahalingo adinídíin doo, 
23:58:011:0	áádóó Bóhólníihii náásgóó ninootį́įł doo índa nił náhooltseiigo nii' sizíinii hwiih nilį́įgo áyósin doo, áádóó nidínóołk'ah; dá'ák'eh bitaa niyęęshígíí nahonílin doo, índa tó háálį́įgo bits'ą́ą́dóó tó doo ádįįhígíí nahonílin doo. 
23:58:002:1	Kót'éego háá'áyį́į́h jį́ hodílzin
23:58:012:0	Áádóó ałk'idą́ą́' kééhót'į́į́ nít'éé' yę́ęgi na'áłchíní nídahodoołbįįł; náás aníchį́į́dę́ę́' á siláii háádííłt'ih, áádóó ahééda'astł'inii nidahaasdázígíí hasht'ééyiidlaii índa kééhwiit'į́įgo bá haz'ánígíí hasht'ééyiidlaii nidi'níi doo. 
23:58:013:0	Háá'áyį́į́h jį́ azlį́į́' biniinaa shihodiyin jį́į́ góne' t'áá ni nił honeełninii bits'éíníyáago áádóó, Háá'áyį́į́h jį́ baa hózhǫ́, Bóhólníihii bihodiyin jį́ ílį́, diníigo áádóó t'áá yínáłígíí bik'ehgo ákót'éego t'áadoo yínáłígóó áádóó t'áá ni nínízinígíí t'áadoo bíká nítáhígóó índa doo t'áá ni íinínízinii bee yáníłti'góogo, Bóhólníihii nił nilį́į doo, 
23:58:014:0	áko índa Bóhólníihii bee nił hózhǫ́ǫ doo, áádóó nihokáá' wódahdi nahaz'ą́ą́góó nahóle' doo, índa nizhé'é yę́ę Jéíkab baa deet'ánígíí bits'ą́ą́dóó ni' iisą́ą doo. Jó, Bóhólníihii yee haadzíí'.
