23:52:001:1	Diyin God éí Záíyangi kéédahat'íinii yisdéidoonił
23:52:001:0	Záíyan nílíinii, ch'éénídzííd; ch'éénídzíidgo díldzííł; Jerúsalem diyingo kin haal'áii nílíinii, ni'éé' nizhónígíí biih ninááh, háálá k'ad kodóó doo bąąh náhineeshgizhii índa chin bąąh hólóonii doo ła' nił yah adookah da. 
23:52:002:0	Jerúsalem yisnááh nílíinii, nídiidáahgo łeezh ádąąh nigáád áádóó dah nídah; Záíyan bich'é'é yisnááh nílíinii, nizénázt'i'ígíí ádaa diidlé. 
23:52:003:0	Háálá Bóhólníihii kóní, Doo bą́ą́h ílínígóó nani'diiznii' índa béeso t'áágééd nik'é niná'doolyééł. 
23:52:004:0	Jó, Bóhólníihii Diyin God kóní, Shidine'é áłtséédą́ą́' Ííjip kéyah góyaa eekaigo áá kééhat'į́į́ nít'éé' yę́ędą́ą́' Asíriya dine'é t'áadoo baanígóó hade ádahósin nít'éé'. 
23:52:005:0	T'áadoo biniyéhígóó shidine'é yóó'adajiizh'eezhgo bąą k'ad kwe'é ha'át'íí shee hólǫ́? ní Bóhólníihii. Bá nidajil'a'í hahóół'áago shízhi' t'áá ákwíí jį́ baa'ihgo bá yáti'go hoolzhish, ní Bóhólníihii. 
23:52:006:0	Éí bąą shidine'é shízhi' bił béédahodoozįįł; éí bąą ałdó', beiníłką́ądi bił béédahodoozįįł, éí shí ásht'į́įgo haasdzíí', éí shí ásht'į́. 
23:52:007:0	Dziłghą́ą'di hane' yá'át'éehii bee hózhǫ́ náhoodleełii, éí hane' baa hózhóonii bits'ą́ą́dóó yá'ádaat'éehii áádóó yisdá'iildééh yaa halne'ii dooládó' bikee' ayóó ánóolnin da; éí Záíyan ííłní, NiDiyin God éí nant'á! 
23:52:008:0	Ge', diné ná hada'asíidii biinéé' chánah ádeidoolííł, áádóó t'áá ła' bizhi'ee hadadi'doo'ááł, háálá Bóhólníihii éí Záíyan bidisnánídę́ę́' nábiní'eezhgo deizdoołtsééł. 
23:52:009:0	Jerúsalem kin haal'áagi dahóóchxǫ'go nahaz'ánígíí danohłíinii, ił hózhǫ́ náhodoodleełgo t'áá ła' bizhi'ee dahohtaał, háálá Bóhólníihii éí bidine'é ha'iyoosníí', Jerúsalem yik'é niná'ídlá. 
23:52:010:0	Ał'ąą dine'é binááł Bóhólníihii bigaan diyinii hach'į' yit'íní áyiilaa, áko nahasdzáán nidahonees'ą́ą́dę́ę́' diné t'áá ałtso nihiDiyin God bibee yisdá'iildéehii deizdoołtsééł. 
23:52:011:0	Dah dohkááh, dah dohkááh, bits'ą́ąjigo dah dohkááh; chin bąąh hólóonii bidadoołchííd; biníí'dę́ę́' ch'ínóhkááh; Bóhólníihii bileets'aa' deínóhjáahii, chin nihąąh ádaadin áda'dołnééh. 
23:52:002:1	Bóhólníihii bá naal'a'í ti'hooznii'ii
23:52:012:0	Jó, doo tsį́įłgo ch'ídoohkah da, doo nidi ch'ídadínóohchéeł da, háálá Bóhólníihii t'áá bí nihilą́ąjį' yigáał doo, índa Ízrel dine'é biDiyin God éí t'áá nihikéédę́ę́' nihaa áhályą́ą doo. 
23:52:013:0	Shoo, shá naal'a'í hóyą́ągo nidool'aał; t'áá íiyisí ayóó át'éego abidi'doolníiłgo ayóo baa ha'niih; t'áá íiyisí wódahgo agháhidíízį́į doo. 
23:52:014:0	Diné t'óó ahayóí hak'ee t'óó bił adahóóyóigo diné náádaała' biláahgo hanii' bik'i na'asgazgo doo bééhózin da; diné ahoolchíiłii biláahgo hak'i na'asgaz dzizlį́į́', 
23:52:015:0	ákót'éego ał'ąą dine'é t'óó ahayóí hak'ee tsídadoolyis; aláahgo naat'áanii danilíinii hak'ee dadidoołhił; t'áadoo bee bił dahóóne' yę́ę deidoołtsééł índa t'áadoo deidiizts'ą́ą́' yę́ę yaa ákodadínóozįįł. 
