23:66:001:1	Bóhólníihii éí nihokáá' dine'é yaa nídóot'įįł áádóó Záíyan náásgóó yá'át'éehgo bił áhooníił doo
23:66:001:0	Bóhólníihii kóní, Yádiłhił éí shibik'i dah asdáhí bikáá'dóó nahash'áii át'é, áádóó nahasdzáán éí shibik'i dah adées'eezí át'é; háadish kin shá ádaohłééh? Índa háadish éí shihóoghahgo hanáshyį́įh doo? 
23:66:002:0	Háálá éí t'áá ałtso ádeishłaa, áádóó éí t'áá ałtso dahazlį́į́', ní Bóhólníihii, nidi díí diné ayáhígo át'éii índa bąąhági át'éii biniinaa ádąąh bíni'ii shizaad yits'ąą yisti'ii bich'į' ídéesh'įįł. 
23:66:003:0	Béégashii dziisxíinii éí diné dziisxínígíí bił aheełt'é; dibé yázhí náádziisnii'ii éí łééchąą'í bik'os k'ízhníti'ígíí bił aheełt'é; ch'iyáán náájiiłniihígíí éí bisóodi bidił náájiiłniihígíí bił aheełt'é, índa t'áá háiida tsin bijeeh dilidgo łikání halchinii nááhániihii náájiiłniihígíí éí e'elyaii bich'į' nahojiłá nahalin. T'áá aaníí, t'áá bí deinízinígíí bik'ehgo nideideez'ą́, áádóó t'óó baa'ihii yaa naakaígíí bił dahóshǫ́. 
23:66:004:0	Shí ałdó' doo áháyą́ą́góó ádajíít'įįdii t'áá éí hak'ijį' ninádeesh'ááł áádóó béédadzildzidii hak'ijį' kónídeeshdlííł, háálá hach'į' ádííniidgo t'áadoo ła' shich'į' énáhoosin da, índa haasdzíi'go t'áadoo da'diizts'ą́ą' da, nidi shinááł doo yá'áshóonii yaa naaskai áádóó doo baa shił hózhóonii nideideez'ą́. 
23:66:005:0	Nihí Bóhólníihii bizaad bits'ąą dasoohti'ii, t'áá éí dadoohts'į́į́h; nihik'isóó danihijoołháago shízhi' biniinaa ch'ídanihiistł'íidii ádadííniid, Bíni'dii Bóhólníihii baa ha'niih le', áko nihich'į' ííshją́ą́ í'diilyaago nihił dahózhǫ́ǫ doo. Nidi hó t'éí yádazdínóozįįł. 
23:66:006:0	Bóhólníihii bi'ana'í k'éidoodlíiłii biinéé' diits'a'; kin bii' sohodizin si'ą́ą́dóó iinéé' diits'a'; kin haal'áádóó hahóó'áago iinéé' hahosiilts'įįh. 
23:66:007:0	T'áadoo awéé' bídii'néhí ashchį́ índa t'ah doo bił honiigááhgóó ashkii yishchį́. 
23:66:008:0	Háísh ákót'éego ha'át'íhída yaa hodiizts'ą́ą́'? Háísh ha'át'íhída ákódaat'éii yiyiiłtsą́? Dine'é bikéyah daats'í t'áá ła'a jį́ hodooleeł? Éí doodaii', dine'é daats'í t'áá łahjį' t'áá hooshch'į' hodooleeł? Jó, Záíyan awéé' bídii'na'go t'áá áko ba'áłchíní hazlį́į́'. 
23:66:009:0	Bóhólníihii ání, Da' adoochíiłgo íishłaagoósh doo adoochííłgóó ánáádeeshdlííł? NiDiyin God ání, Shí ni'iichíihgo áshłéhígíí da' shíísh doo achíígóó ałdó' ádeeshłííł? 
23:66:010:0	Jerúsalem kin haal'á ayóó'ádeínóh'níinii t'áá ánółtso, baa nihił dahózhǫ́ǫgo bił nihił nidahoozhǫǫh; baa yínííł nidaahkaígíí t'áá ánółtso t'áá íiyisí baa nihił nidahoozhǫǫh, 
