23:19:001:1	Ííjip dine'é át'ée dooleełii
23:19:001:0	Ííjip dine'é át'ée dooleełii ch'ét'ą́.Bóhólníihii éí tsxį́įłgo k'os bił yilzhoł go Ííjip kéyahjį' doogááł, jó'akon. Bóhólníihii binááł Ííjipgi eda'alyaii éí daditsxiz doo, índa Ííjip dine'é t'óó bił ádahodoodįįł. 
23:19:002:0	Áádóó Ííjip dine'é t'áá bí ałk'ijį' nídandlį́įgo ádeeshłííł áádóó t'ááłá'í nítínígo bik'is yik'ijį' danilį́įgo áádóó yił kéédahat'íinii yik'ijį' danilį́įgo yił da'ahigą́ą doo; kin hadaas'áii da'ahóbáah doo, índa bee óhólnííh bił nahaz'áanii da'ahóbáah dooleeł. 
23:19:003:0	Ííjip dine'é bitahgóó ahił yah honiidlįįh ádin doo, áádóó yindaha'áhígíí bits'ą́ą́' deeshchǫǫł, áko eda'alyaii áádóó t'áadoo le'é yee bił éédahózinii áádóó ch'į́įdii yádabiiłt'i'ii índa adiłgąshii yich'į' choda'ooł'į́į doo. 
23:19:004:0	Áádóó Ííjip dine'é dajílíinii naat'áanii doo yits'íidii baa hodideesh'ááł, índa aláahgo naat'áanii t'óó báhádzidii honant'áa doo, ní Diyin God, t'áá ałtsoní bee Bóhólníihii. 
23:19:005:0	Tónteel bits'ą́ą́dóó tó ałtso ádoodįįł, áádóó tooh nílínígi t'áá ádzaaí dooleełgo t'óó náhooltseii doo. 
23:19:006:0	Áádóó tooh danílínígíí t'óó baa'ih halchin silį́į' dooleeł, áádóó tó danílínígóó nídahooltseii doo, índa lók'aatsoh áádóó teeł a łtso dadínóołnah. 
23:19:007:0	Tooh Náil wolyéhígóó kédaayahgi t'áá tábąąhjį' ch'il bee áda'azįįdii áádóó Náil kédaayahgóó k'idadeesya'ígíí t'áá át'é bił nídahooltseiigo nahgóó kólyaago ádin doo. 
23:19:008:0	Łóó' hadayiileehí chaał nidahałe' doo, áádóó Náil tooh danílíinii dabiyi' łóó' bee hahadleehí taah nídayii'niłii yąąh dabíni'go daacha doo, índa łóó' bee hahaltsósí taah nídeiłtsosii bide áńdahoot'įįh doo. 
23:19:009:0	Náá'áłdó' naak'ą' ałts'óózígíí hanoolchaadgo yindaalnishii áádóó ééłgaii deiztł'óonii naanish bąąh nídaast'įįd. 
23:19:010:0	Áádóó Ííjip kéyahgi bee ihoníłdzilii dahidiitáah doo, índa adeenáago nidaalnishii bii' sizíinii bíníidoo'aał. 
23:19:011:0	Zówan kin haal'áádóó naat'áanii danilíinii t'áá aaníí doo ádahoosyąąd da; Féro yá kót'ée doo daaníinii aláahgo dahóyáanii doo ádahalyą́ą́góó nidaha'á daazlį́į́'. Haash yit'éego Féro kódabididoohniił, Dahóyáanii áádóó azhé'é aláahgo binanit'a'í danilį́į́ nít'éé' yę́ę biye' nishłį́? 
23:19:012:0	Háadishą' nidiné dahóyáanii? Áko háni'dii k'ad nił dahalne' áádóó háni'dii t'áá ałtsoní bee Bóhólníihii Ííjip dine'é yik' ijį' yinahaz'áanii bił béédahoozįįh. 
23:19:013:0	Zówan kin haal'áádóó naat'áanii danilíinii doo ádahalyą́ą da daazlį́į́'; Mémfis kin haal'áádóó naat'áanii danilíinii bida'deesdlo'; díí bidine'é bee naanída'astł'inii danilį́įgo Ííjip dine'é yóó'adeineez'aa'. 
23:19:014:0	Bóhólníihii éí níłch'i bináhoodǫ́ǫsii hatah nahale'go áyiilaa, áko adláanii názkwigo yik'i naaná'noot'ihígi át'éego Ííjip dine'é yaa nidaakaii t'áá át'é yee ádił nída'alnaadgo ádayósin nít'éé'. 
23:19:015:0	Áádóó índa aląąjį' naazíinii, doodaii' nidaal'a'í danilíinii éí atsii', doodaii' atsee' nidahojílingo páam sikaadii bits'áoz'a', doodaii' lók'aa' nidahojílingo Ííjip dine'é naanish há ádaadin doo. 
23:19:016:0	Éí yoołkáałdi t'áá ałtsoní bee Bóhólníihii éí Ííjip dine'é yik'ijį' k'ídéesnii'go sáanii nahalingo nídadooldzíiłgo bitah dahoditłid doo. 
23:19:017:0	Áádóó Ííjip dine'é éí Júdah kéyahdóó dine'é yik'ee bił daayée' doo; t'áá háiida éí baa hane'go yik'ee bił yée' dooleeł, háálá t'áá ałtsoní bee Bóhólníihii hak'ijį' yee honahaz'áanii át'é. 
