23:5:001:1	Ch'il na'atł'o'ii yíl'áii binahjį' sin
23:5:001:0	Ayóó'óósh'níinii háni'dii bá hashtaałgo bich'il na'atł'o'ii k'edoolyáhígíí sin ayóó'óó'níinii bee bá hashtaał doo. Ayóó'óósh'níinii éí yílk'id binániijį' ayóo na'nt'ą'gi ch'il na'atł'o'ii bee hólǫ́. 
23:5:002:0	Nihwiiłdlaadgo tsé nahjį' hayiiznil áádóó ch'il na'atł'o'ii agháago yá'át'éhígíí k'iidííláínda ałníi'gi bikáá'dóó ha'alzídí hayíítł'ingo dego yaa'áago áyiilaa,áádóó ałdó' ch'il na'atł'o'ii bitoo' bąąh haha'nííh biniyé haz'ą́ągo áhoolaa, áádóó índa ch'il na'atł'o'ii yá'át'éhígíí bąąh dah dadínóodah nízingo yaa ninánítaah,nidi ch'il na'atł'o'ii dík'ǫ́zhígíí bąąh hazlį́į́' lá. 
23:5:003:0	Áko k'ad, Jerúsalemgi kéédahoht'íinii áádóó Júdahgi diné danohłíinii,nánihooshkąąh: shí daats'í, doodaii' shich'il na'atł'o'ii k'idoolyáhígíí daats'í yá'át'ééh, éí nidadinoh'aah. 
23:5:004:0	Shich'il na'atł'o'ii k'idoolyáhígíí ha'át'íí lá t'áá íídą́ą́' t'áá ha'át'éhígoda ánáádeeshłííł nít'éé' lá.Ch'il na'atł'o'ii yá'át'éehii bíká dínísh'į́į'ii ha'át'éegoshą' ch'il na'atł'o'ii dík'ǫ́zhígíida bąąh hazlį́į́' lá? 
23:5:005:0	Áko k'ad, shich'il na'atł'o'ii k'idííláii ádeeshłíłígíí bee nihił hodeeshnih;ch'il ináneeskálígíí nahjį' kódeeshłííłáádóó ałtso doodį́į́ł;binaa ahénátł'inii ałtso táideesh'niłgo ałtso bik'i nidooldah, 
23:5:006:0	áko t'áá ádzaaí ádeeshłííł;ch'il na'atł'o'ii doo baa áháyą́ą́góó, doodaii' doo bik'i náhágodgóót'óó ch'il ahoshí áádóó ch'il deeníní bił yíl'áa dooleeł,áádóó ałdó' k'os bits'ą́ą́dóó doo bik'i nahodoołtį́į́łgóó bee hwiideesh'aał. 
23:5:002:1	Dooládó' doo yá'ádaashóonii bik'iidooldoh da
23:5:007:0	Háálá t'áá ałtsoní bee Bóhólníihii bich'il na'atł'o'ii k'idoolyáhígíí éí Ízrel dine'é át'é,áádóó Júdah dine'é éí baa hózhǫ́ǫgo k'idoolyáhígíí át'é:doo haada yit'éii yíká déez'į́į́', nidi jó'akon, t'áadoo le'é bee ade áhoot'é óolzinii yiyiiłtsą́;t'áá ákogi ádaat'éii yíká déez'į́į́', nidi jó'akon, chanahadle' yidiizts'ą́ą́'. 
23:5:008:0	Dooládó' kin áádóó kéyah aghahidit'aah bee da'íínót'įįhii doo hojooba' ájíníi da, áko diné doo bá nahosooł'ą́ą dago t'áá ádíighahígo kéyah bee ádídahwíínółnííh! 
23:5:009:0	T'áá ałtsoní bee Bóhólníihii kóníigo diséts'ą́ą́', Ts'ídá t'áá aaníí kin t'óó ahayóí t'áá ádzaaí dadooleeł; kin ts'ídá dantsxaii áádóó ayóó ádaanóolnin nít'éé', nidi bii' doo nidaagháhí da doo. 
23:5:010:0	Neeznáá náhásdzohgo ch'il na'atł'o'ii k'idoolyáhígíí éí ch'il na'atł'o'ii bitoo' tseebíí yikááł bíighah doo; bee í'neel'ąąhí ómer wolyéii bii' álástsii' hadeezbingo k'idoolyáago íífah wolyéii neeznáá hadeezbingo bíighah nídoodleeł.  
23:5:011:0	Dooládó' shá bíighah tó diłhił dajídlį́įh doo biniyé abíínídą́ą́' nijildeehii áádóó wáin hadeidínídlį́įhgo hiłiijį́įhjį' naa'ada'iidlį́įhii doo hojooba' ájíníi da! 
23:5:012:0	Tsin tł'óół naakits'áadah bąąh daneelzhee'go bee nida'a'néii áádóó tsin tł'óół neeznáá bąąh daneelzhee'go bee nida'a'néii áádóó ásaa' yilghaałígíí áádóó tsin bee í'dílzoołí índa wáin díí bee áda'azįįdgi bee dahólǫ́, nidi Bóhólníihii binaanish doo yaa nida'áhodílt'į́į da áádóó áyoolíiłii doo yaa nitsídaakees da. 
23:5:013:0	Éí bąą shidine'é t'áadoo hoł éédahoozingóó biniinaa t'óó naalte' dazhdooleeł, áádóó diné bił danilíinii dichin bi'niighą́ą́' áádóó bidine'é deíl'áhígíí dibáá' bi'niighą́ą́'. 
23:5:014:0	Éí bąągo ch'į́įdiitah ayóo aldeeł áádóó bizéé' doo bí'nól'ąąh áníłtsogóó yee aldeeł, áádóó yee ayóó ádaat'éii áádóó bidine'é deíl'áhígíí áádóó yee ayóó ádaat'é ída'dólzinii índa t'áá háiida baa hoł hózhóonii éí jishcháá' góne' ajiikáah doo. 
23:5:015:0	Áádóó diné t'áá bita'ígi ádaat'éii áádóó diné ayóó ádaat'éii ałdó' a'ohgo ádabidi'doolnííł índa ádaa deijódlí dajoolnáa'ii a'ohgo ádahodi'doolnííł. 
23:5:016:0	Nidi t'áá ałtsoní bee Bóhólníihii ánihwii'aahgo ts'ídá baa ha'niih dooleeł, áádóó Diyin God t'ááłá'í diyinii t'áá bí ts'ídá t'áá ákwii át'éii nilíinii diyingo ádééhodoolzįįł. 
23:5:017:0	Ákohgo bidahootsogóó dibé yázhí nida'ałchozhgo áádóó daneesk'ahii kints'iilgóó da'ayą́ą doo. 
23:5:018:0	Doo ákwii é'ét'éii t'áadoo biniyéhí daígíí tł'óółts'ósí nahalinii yee ch'ídayiidzį́įsii áádóó ádił ni'iidzííh tł'óół nahalingo yee hayiidzį́įsii dayíshoodii doo hojooba' ájíníi da. 
23:5:019:0	Dadíníil'įįł biniyé háni'dii doo hodíína' ájít'į́į doo áádóó índa nihił béédahodoozįįł biniyé Ízrel biDiyin t'ááłá'íii yinahaz'áanii háni'dii ákóhánéehgo k'ad baa hoolzhíísh, kójíníinii bich'į' doo hojooba' ájíníi da. 
23:5:020:0	Doo yá'át'éehii éí yá'át'éehii át'é áádóó yá'át'éehii éí doo yá'át'éehii át'é, daaníinii; chahałheeł éí adinídíín át'é áádóó adinídíín éí chahałheeł át'é, índa dích'íi'ii éí łikanii át'é áádóó łikanii éí dích'íi'ii át'é, daaníinii bich'į' doo hojooba' ájíníi da! 
23:5:021:0	Dahoniidzą́, danízingo ádadiníl'íinii áádóó, Hóyáanii daniidlį́, danízinii bich'į' doo hojooba' ájíníi da! 
23:5:022:0	Wáin deizdidlį́įhii índa tó tsi'na'iiłáii ałtaa nídeídlį́įhii, 
23:5:023:0	béeso bideená bik'é doo yá'ádaashóonii ts'ídá t'áá ákwii át'éego yá hadahadziihii índa t'áá ákogi át'éii bá yá'át'éehii nahjį' kódeił'íinii bich'į' doo hojooba' ájíníi da! 
23:5:024:0	Éí bąą kǫ' atsoo' nahalingo ehégod iidiyiiłk'ą́hígi át'éego áádóó azhool ahidik'ą́hígi át'éego behétł'óól hadahidoołdził índa łeezh łibáhígi át'éego bílátah hózhóón bił hadooyoł, háálá t'áá ałtsoní bee Bóhólníihii bibee haz'áanii doo deiniizį́į' da, áádóó Ízrel dine'é biDiyin nilíinii bizaad dayíí'įįd. 
23:5:025:0	Éí bąą Bóhólníihii báhóóchįįdgo bidine'é yik'ijį' nilį́ áádóó yik'ijį' dah doolnihgo atíyiilaa áádóó dził daditłid índa kintah da'nítiingóó bits'íís ts'iilzéí nahalingo nihidadíbéézh. Azhą́ díí t'áá ałtsojį' kóhoolaa nidi, t'ah hach'į' báháchį'go hak'ijį' k'ídéesnii'. 
23:5:026:0	Áádóó ał'ąą dine'é doo deeghánídi kéédahat'íinii dah na'at'a'í yich'į' dah yididoołtsos índa nahasdzáán nidahonees'ą́ą́góó kéédahat'íinii yich'į' ídi'doosoł áádóó jó'akon, t'áadoo hodina'í tsxį́įłgo nidahakáah doo; 
23:5:027:0	t'ááłá'í nidi, doo ch'ééh digháah da doo, doodaii' doo digeeh da doo; t'ááłá'í nidi, doo bił nízin da doo, doodaii' doo ałhosh da doo; yee áká daaszaazii doo k'eda'oo'nééh át'ée da doo índa dabikétł'óól doo dahadlaad da doo; 
23:5:028:0	dabik'aa' t'áá ałtso dadeení, t'áá ałtso be'ełtį́į́' yił naazdá, dabilį́į́' bikee' tsédildǫ́'iigi ádaat'é hwiindzin, áádóó nááts'ó'oołdísii yilwoł nahalingo tsinaabąąs bijáád naakiígíí bił nidaajeeh; 
23:5:029:0	náshdóítsoh bitsiijį' ditł'ooígíí ádaaní nahalingo áádóó biyázhí ádaaní nahalingo nidadi'ni' doo; t'áá aaníí, bii' nahodi'ni'go haalzheehii yił didiłgo yik'i dah niljį́į́h, áko doo yisdáoya' át'éégóó áyiił'įįh. 
23:5:030:0	Éí bijį́ tónteel diits'a' nahalingo yił dahidideełii yich'į' hahóół'á, áádóó ła'da kéyahgóó jidéé'į́į'go, jó'akon, chahałheeł áádóó yínííł yizdoołtsééł índa adinídínígíí k'os bee tł'éé' hodooleeł.
