23:1:001:1	Dine'é ádił nida'iilzíihii
23:1:001:0	Azáíyah áádóó Jótham áádóó Éíhaz índa Heziikáíyah éí Júdah dine'é aláahgo binanit'a'í nidahaleehgo yoołkááłdą́ą́' éí Júdah kéyahgi áádóó Jerúsalem kin haal'áagi át'ée dooleełgi Éímaz biye' Aizéíyah éí bił ádzaa. 
23:1:002:0	Yót'ááh hinooláii índa nahasdzáán nílíinii, da'íísínółts'ą́ą́', háálá Bóhólníihii haadzíi'go ání, Sha'áłchíní ba'astso'go biyaa dahooł'a', nidi t'áá shich'į' nídadiiltee' nít'éé'. 
23:1:003:0	Béégashii éí yilį́į́' nilíinii yééhósin áádóó télii éí yíí' nilíinii bii' bá niná'áljołígíí bił bééhózin, nidi Ízrel dine'é éí doo bił béédahózin da; shidine'é doo ak'ida'diitįįh da. 
23:1:004:0	Dooládó' dine'é ádił nida'iisíihii éí doo ákwii át'éii t'éí bíni' dadineesdlį́į' da; nichǫ́'ígo dayíkáahii ya'áłchíní danilį́; áłchíní ádadoolchxǫ'ii danilį́. Bóhólníihii yóó'adeideez'ą́; Ízrel dine'é biDiyin nilíinii dayíí'įįdgo yádahóółchįįd, áádóó t'ą́ą́' anídahaaskai. 
23:1:005:0	Haash yit'éego nanilteehgo t'ahdii atíndil'į́į doo? Atsii'jį' t'áá át'é daatsaah áádóó ajéí t'áá át'é bąąh nahaka'. 
23:1:006:0	Nikétł'ááhdóó nitsiit'áajį' doo yá'át'éeh da; tídiinilyaago hadadíínítł'iizh áádóó dił nąąh dadeeshchii'; doo yá'át'éehii t'áadoo hadahaas'nii' da áádóó t'áadoo bik'ídeesdiz da, índa t'áadoo ak'ah bąąh ályaa da. 
23:1:007:0	Nikéyah hóóchxǫ'; nikin hadaas'á adahideezk'ą́ą́'; dé'éyóní nilíinii nikéyah t'áá ninááł yił naneesdaa'; dé'éyóní danilíinii nighadahodeest'ą́ągo nikéyah dahóółchxǫ'. 
23:1:008:0	Záíyan bitsi' éí ch'il na'atł'o'ii yíl'áhígíí bitahgi chaha'oh si'ánígíí nahojílin áádóó da'neesk'ání dík'ǫ́zhí k'éédílyéehgi ha'asíidii bikin nahojílin índa kin haal'áago siláo bináshzhiizhii nahojílingo ho'ílnii'. 
23:1:002:1	Hágo, łahgo át'éego tsídóhkees, hodoo'niid
23:1:009:0	T'áá ałtsoní bee Bóhólníihii éí Ízrel dine'é t'áadoo t'áá díkwíí nihá ninéi'nilgóogo t'éiyá Sádamgi índa Gomárahgi áhóót'įįdígi ánihi'diilyaa nít'éé'.  
23:1:010:0	Sádamdóó naat'áanii danohłíinii, Bóhólníihii bizaad deísínółts'ą́ą́'; Gomárahdóó diné danohłíinii, nihíjí nihiDiyin God bibee haz'áanii dadoohts'į́į́h. 
23:1:011:0	Ha'át'íísh biniyé dooląął shį́į́ shich'į' náádahołniih? Deenásts'aa' áádóó naaldlooshii dabinilk'ahígíí bik'ah didlidgo náádahaniihii doo binádíízįįd da; dóola áádóó dibé yázhí índa tł'ízíchǫǫh éí dabidił doo baa shił hózhǫ́ǫ da, ní Bóhólníihii. 
23:1:012:0	Shidááhdóó nináhkahgo háí ánihiłníigo, Shihodiyingo haz'ą́ą́ góne' nidaahkai? 
23:1:013:0	Náádahaniihii t'áadoo biniyéhí daígíí t'áadoo nidahohjáhí; tsin bijeeh dilidgo łikání halchinii áádóó hááníbąsgo nihi'áłah ná'ádleehígíí áádóó nihihá'áyį́į́h jį́ áádóó dílzingo áłah nídaahdleehígíí doo yinishdin da; doo ákwii át'éii bił naazhóodgo baa áłah nídaahdleehgo doo shił aaníi da. 
23:1:014:0	Dah néitį́įhgo dahodíínóhsinígíí áádóó baa náhwiilzhíishgo dílzingo áłah nídaahdleehii bee ninádahoh'áhígíí jooshłxá; éí baa nanishtł'a; bich'į' ha'ííníshníigo bąąh nanííłna'. 
23:1:015:0	Áko dah dadíínółníihgo doo t'áá k'ad nihinééł'į́į' da; azhą́ ts'ídá t'áá íiyisí sodadołzin nidi, doo nihíídéests'įįł da, háálá diné nidasoołtseedii dabidił nihíla' daabąąh. 
23:1:016:0	T'áá nihí tá'ádadohgis; t'áá nihí chin ádąąh daałdééh; doo yá'át'ééhgóó ádaahníłígíí shinááł yóó'adahidoh'aahgo ádił nida'ayohsíhígíí bik'i dohkááh; 
23:1:017:0	yá'át'ééh ó'oo'níiłii bídahooł'aah; doo haada yit'éii hádaaht'į́; bide ádahoot'éii bíká anídaahjah áádóó áłchíní bizhé'é ádaadinii bich'ą́ą́h yádaałti' índa asdzání bąąh ádahasdįįdii bá nída'oohkąąh. 
23:1:018:0	K'ad hágo haa'íshą' díí baa nídíit'įįł, ní Bóhólníihii. Azhą́ nihibąąhági át'éii éí t'áá íiyisí łichxíí' nidi, yas nahalingo łigai dooleeł; azhą́ diłhiłgo łichxíí' nidi, aghaałgaiigi át'éego łigai doo. 
23:1:019:0	Ádeinohsingo ak'eh dahonoł'į́įgo yá'át'éehii nihikéyah bikáá'góó nidant'ą'ii daahsą́ą doo, 
23:1:003:1	Záíyan bá nihodoot'ááł áádóó háábidi'doo'nił
23:1:020:0	nidi doo danohsingóó áádóó nidaałteehgo, éí diltłish bee ánihidi'dooldįįł. Jó, Bóhólníihii éí yee haadzíí'. 
23:1:021:0	Dooládó' kin haal'áii ba'ahódlí nít'éé' yę́ę ałjiłnii silį́į' da! Doo haadeit'éégóó haz'ą́ą́ nít'éé'; t'áá ákwii é'ét'éii bii' hólǫ́ǫ́ nít'éé', nidi k'ad diné nida'ałtseedii bii' hólǫ́. 
23:1:022:0	Nibéésh łigaii bąąh hahidiyį́hígíí t'éí silį́į́'; niwáin tó bił ałtah daazlį́į́'; 
23:1:023:0	ninanit'a'í danilíinii nidaalteeh; da'ni'įįhii bik'is ádayiilaa; t'ááłá'í nítínígo bee naho'diiniihii bił ayóó ádahoot'é áádóó aa doolyéełii yíká ádił nídahodilchił; áłchíní bizhé'é ádaadinii doo yich'ą́ą́h yádaałti' da, doodaii' asdzání bąąh ádahasdįįdii t'áadoo le'é doo bá baa hwiinít'į́į da. 
23:1:024:0	Éí bąą Bóhólníihii éí t'áá ałtsoní bee Bóhólníihii, Ízrel dine'é biDiyin God Ayóó'ábóodziilii ání, K'ad lą́ą, shi'ana'í danilíinii ák'idínéeshkałgo k'éédideeshdlííł. 
23:1:025:0	Áádóó nich'į' dah dideeshnihgo doo yá'át'éehii ałtso nąąh néideeshgah áádóó nibéésh kágí ałtso nahjį' kódeeshłííł, 
23:1:026:0	áádóó átséédą́ą́' nihá dahwée'aah nít'éé' yę́ę áádóó ach'į' yálti'ii yę́ę nihá ninádeeshnił, áádóó índa ts'ídá t'áá ákwii át'éego kin haal'áii áádóó ba'ahódlíigo kin haal'áii bee ni'dójíi doo. 
23:1:027:0	Záíyan éí doo haadeit'éii bee háábidi'doo'nił áádóó bidine'é baa nináhaaskaígíí éí t'áá ákogi át'éii bee háábidi'doo'nił. 
23:1:028:0	Nidi bee haz'áanii dayiitíihii áádóó ádił nida'iisíihii t'áá ła' bizhi'ee ábidi'dooldįįł, áádóó Bóhólníihii yóó'adeideez'ánígíí ábidi'dooldįįł. 
23:1:029:0	Jó, chéch'il yaajį' e'elyaii bił nidahooshǫǫh nít'éé' yę́ę t'óó bił baa yádahasin doo, áádóó dá'ák'eh nídahodiyoo'ánígíí baa yádanohsin doo. 
23:1:030:0	Háálá chéch'il bit'ąą' t'óó siganii áádóó dá'ák'ehgi tó bąąh ádinii nahonílin doo. 
23:1:031:0	Áádóó hadziil éí tsin bizhííłgi át'ée dooleeł índa honaanish biih hodidoo'nił, áko t'áadoo yinółtséségóó hanaanish t'áá bił jidook'ą́ął dooleeł.
