23:7:001:1	Aizéíyah éí Éíhaz hane' yee yił hoolne'ii átséhígíí
23:7:001:0	Ákohgo Júdah dine'é aláahgo binanit'a'í Azáíyah biye' Jótham éí biye' Éíhaz bíyoołkááł yę́ędą́ą́' Síriya dine'é aláahgo binanit'a'í Ríízin índa Ízrel dine'é aláahgo binanit'a'í Remaláíyah biye' Pííkah éí Jerúsalem yich'į' anaa' hodoołeeł biniyé ákóde níná, nidi t'áadoo bik'esdeesdlį́į' da. 
23:7:002:0	Áko David bits'ą́ą́dóó náás ahoolchíiłii bił hóóne'go áhodoo'niid, Síriya dine'é éí Íífreiyim dine'é yił ałch'odaasne'. Áko tsin yíl'áii bich'į' deeyolígi át'éego Éíhaz áádóó hadine'é bił hajéí nisedaastłah. 
23:7:003:0	Áádóó Bóhólníihii éí Aizéíyah áyidííniid, Ni áádóó niye' Shíyar-jéíshab bił k'ad nílááh Éíhaz bich'į' dooh'ashgo wódahgo tó bá az'ání góde tó bii' nílíní háá'áhígi áádóó iigisgo iilgááh bá haz'ánígíí bich'į'go atiinígi bidááh noh'aash, 
23:7:004:0	áko ábididoohniił, Ha'ídíníl'į́į́' áádóó t'óó dííníłhéél; Síriya dine'é aláahgo binanit'a'í Ríízin áádóó bidine'é índa Remaláíyah biye' éí chizh nideek'ą́ą́h nahalingo bánáháchįįhígíí biniinaa t'áadoo nił yé'í áádóó t'áadoo nijéí doo bidziilí. 
23:7:005:0	Síriya dine'é áádóó Íífreiyim dine'é índa Remeláíyah biye' nilíinii ahił ch'odaasne'go t'óó baa'ihgo nindahaz'ą́ągo ádaaní, 
23:7:006:0	Sołtį', Júdah dine'é baatįįh diikahgo bił yéé' ádahodiilnííł, áádóó haa'íshą' t'áá nihí bik'eh dadidiidleeł áádóó Téíbiyel biye' nilíinii éí aláahgo naat'áanii ádadiilníiłgo Júdah kéyah biyi' nant'áa doo. 
23:7:007:0	Díí Diyin God Bóhólníihii nilíinii yee haadzíí', Doo yídaneel'ą́ą da índa doo ákódaone' át'ée da. 
23:7:008:0	Damáskas kin haal'áii éí Síriya dine'é yinant'á áádóó Damáskas binanit'a'í éí Ríízin, áádóó hastą́diindóó ba'aan ashdla' nááhaijį' Íífreiyim dine'é tabidí'nóolkałgo doo łá'í dine'é nídoodleeł da. 
23:7:002:1	Aizéíyah éí Imányowel yaa hoolne'
23:7:009:0	Samériya kin haal'áii éí Íífreiyim dine'é yinant'á áádóó Samériya binanit'a'í éí Remaláíyah biye'. Doo iinídlą́ą́góogo t'áá aaníí doo nidziil da doo. 
23:7:010:0	Náá'áłdó' Bóhólníihii éí Éíhaz yich'į' hanáánáádzíi'go ííłní, 
23:7:011:0	Bóhólníihii niDiyin God bits'ą́ą́dóó bee ééhózinii bííníkeed; ch'į́įdiitahgóó, doodaii' yá'ąąshgóó bee ééhózinii yíníkeed. 
23:7:012:0	Nidi Éíhaz ájíní, Dooda, Bóhólníihii doo bínabídídéeshkił da, doodaii' Bóhólníihii doo nabídínéeshtah da. 
23:7:013:0	Áko Aizéíyah ájíní, David ba'áłchíní, da'íísínółts'ą́ą́'; diné nabídanohtaahígíísh t'įįhdígo át'éego baa nitsídaahkees, áko shiDiyin God ałdó' nabídanohtaah doo? 
23:7:014:0	Éí bąą Bóhólníihii t'áá bí bee ééhózinii nihaididoo'ááł: Jó'akon, ch'ikę́ę́h t'ah doo diné bee haleehii idí'nóoltsąąłgo ashkii yidoołchííł áádóó Imányowel yee yídóozhiił. 
23:7:015:0	Yá'át'éehii yóó'ahidit'aah índa yá'át'éehii ihidit'aahgi bił ééhózingo géeso áádóó tsés'ná bitł'izh yiyą́. 
23:7:016:0	Háálá awéé' éí doo yá'át'éehii yóó'ahidit'aah índa yá'át'éehii nihidit'aahgi bił bééhózin dooígíí t'ah bítséedi díí aláahgo naat'áanii nidilt'éego bééníldzidígíí bikéyah yóó'adidoot'ááł. 
23:7:017:0	Íífreiyim dine'é éí Júdah dine'é bits'ájíkai yę́ędóó ti'hoo'níihgo yiníłkánígíí bilááh át'éego ti'hoo'níihii Bóhólníihii éí nik'ijį' áádóó nidine'é índa nizhé'é ba'áłchíní náás ahoolchíiłii yik'ijį' kwíidoolííł: éí Asíriya dine'é aláahgo binanit'a'í yee ákónihidoolííł. 
23:7:018:0	Éí beiníłką́ądi Ííjip kéyahgi tooh dadeezlį́į́dóó tsé'édǫ́'ii áádóó Asíriya kéyahdóó tsés'ná éí Bóhólníihii yíká ídi'doosoł. 
23:7:019:0	Áko áádę́ę́' hadooldah áádóó tsékooh doo na'adáhí góyaa áádóó tsénídahasdzą́ą́góó áádóó ch'il ahoshí ał'ąą ádaat'éii deíl'áágóó índa dahootsogóó ałk'ída'asoł doo. 
23:7:020:0	T'áá éí yoołkáałdi Bóhólníihii éí dághá bee yilzhéhé yee adooshih; tooh nílíní bilááh nahós'a'dóó bá nidoolnishii ła' shóyoost'e'; t'áá éí Asíriya dine'é aláahgo binanit'a'í nidoolnishgo tsiighá áádóó ajáád bitáshtł'oh índa dághá ałtso yidooshih. 
23:7:021:0	Kódahóót'įįdóó bik'ijį' éí yoołkáałdi diné ła' éí béégashiitsa'ii ła' binááhaii áádóó dibé naakigo yaa áhályą́ą doo, 
23:7:022:0	áko éí bits'ą́ą́dóó abe' bee ída'azįįdgo géeso yiyą́ą doo, háálá éí kéyahgi diné dadzoodzí'ígíí t'áá ádzíłtso géeso áádóó tsés'ná bitł'izh dajiyą́ą dooleeł. 
23:7:023:0	Áádóó éí yoołkáałdi t'áá dáda'ak'ehígi miilgo ch'il na'atł'o'ii éí miilgo béésh łigaii bą́ą́h ná'ádleehii bitsásk'ehgi ch'il ahoshí áádóó ch'il deeníní hodooleeł. 
23:7:024:0	Kéyah t'áá át'é bikáá' ch'il ahoshí áádóó ch'il deeníní dahólǫ́ǫgo biniinaa ałtį́į́' áádóó k'aa' bee dahólóonii áadi nidaakai doo. 
23:7:025:0	Deílk'idgóó nínádahago' yę́ęgóó ch'il ahoshí áádóó ch'il deeníní t'óó báhádzidgo deíl'áago biniinaa doo ła' ákǫ́ǫ́ naagháa da doo, nidi béégashii áádóó dibéda t'éí bá át'ée dooleeł.
