22:6:001:1	Young Women of Jerusalem
22:6:002:1	Young Woman
22:6:001:0	Where has your lover gone , O woman of rare beauty ? Which way did he turnso we can help you find him ?
22:6:002:0	My lover has gone down to his garden , to his spice beds , to browse in the gardensand gather the lilies .
22:6:003:1	Young Man
22:6:003:0	I am my lover 's , and my lover is mine.He browses among the lilies .
22:6:004:0	You are beautiful , my darling , like the lovely city of Tirzah.Yes , as beautiful as Jerusalem , as majestic as an army with billowing banners .
22:6:005:0	Turn your eyes away , for they overpower me.Your hair falls in waves , like a flock of goats winding down the slopes of Gilead .
22:6:006:0	Your teeth are as white as sheepthat are freshly washed.Your smile is flawless , each tooth matched with its twin .
22:6:007:0	Your cheeks are like rosy pomegranatesbehind your veil .
22:6:008:0	Even among sixty queensand eighty concubinesand countless young women ,
22:6:009:0	I would still choose my dove , my perfect one — the favorite of her mother , dearly loved by the one who bore her.The young women see her and praise her ; even queens and royal concubines sing her praises :
22:6:004:1	Young Woman
22:6:010:0	“ Who is this , arising like the dawn , as fair as the moon , as bright as the sun , as majestic as an army with billowing banners ? ”
22:6:011:0	I went down to the grove of walnut treesand out to the valley to see the new spring growth , to see whether the grapevines had buddedor the pomegranates were in bloom .
22:6:005:1	Young Women of Jerusalem
22:6:012:0	Before I realized it , my strong desires had taken me to the chariot of a noble man .
22:6:006:1	Young Man
22:6:013:0	Return , return to us , O maid of Shulam.Come back , come back , that we may see you again.Why do you stare at this young woman of Shulam , as she moves so gracefully between two lines of dancers ?
