16:10:001:0	Now those that sealed were , Nehemiah , the Tirshatha , the son of Hachaliah , and Zidkijah ,
16:10:002:0	Seraiah , Azariah , Jeremiah ,
16:10:003:0	Pashur , Amariah , Malchijah ,
16:10:004:0	Hattush , Shebaniah , Malluch ,
16:10:005:0	Harim , Meremoth , Obadiah ,
16:10:006:0	Daniel , Ginnethon , Baruch ,
16:10:007:0	Meshullam , Abijah , Mijamin ,
16:10:008:0	Maaziah , Bilgai , Shemaiah : these were the priests .
16:10:009:0	And the Levites : both Jeshua the son of Azaniah , Binnui of the sons of Henadad , Kadmiel ;
16:10:010:0	And their brethren , Shebaniah , Hodijah , Kelita , Pelaiah , Hanan ,
16:10:011:0	Micha , Rehob , Hashabiah ,
16:10:012:0	Zaccur , Sherebiah , Shebaniah ,
16:10:013:0	Hodijah , Bani , Beninu .
16:10:014:0	The chief of the people ; Parosh , Pahath–moab , Elam , Zattu , Bani ,
16:10:015:0	Bunni , Azgad , Bebai ,
16:10:016:0	Adonijah , Bigvai , Adin ,
16:10:017:0	Ater , Hezekiah , Azzur ,
16:10:018:0	Hodijah , Hashum , Bezai ,
16:10:019:0	Hariph , Anathoth , Nebai ,
16:10:020:0	Magpiash , Meshullam , Hezir ,
16:10:021:0	Meshezabeel , Zadok , Jaddua ,
16:10:022:0	Pelatiah , Hanan , Anaiah ,
16:10:023:0	Hoshea , Hananiah , Hashub ,
16:10:024:0	Hallohesh , Pileha , Shobek ,
16:10:025:0	Rehum , Hashabnah , Maaseiah ,
16:10:026:0	And Ahijah , Hanan , Anan ,
16:10:027:0	Malluch , Harim , Baanah .
16:10:028:0	And the rest of the people , the priests , the Levites , the porters , the singers , the Nethinims , and all they that had separated themselves from the people of the lands unto the law of God , their wives , their sons , and their daughters , every one having knowledge , and having understanding ;
16:10:029:0	They clave to their brethren , their nobles , and entered into a curse , and into an oath , to walk in God's law , which was given by Moses the servant of God , and to observe and do all the commandments of the Lord our Lord , and his judgments and his statutes ;
16:10:030:0	And that we would not give our daughters unto the people of the land , nor take their daughters for our sons :
16:10:031:0	And if the people of the land bring ware or any victuals on the sabbath day to sell , that we would not buy it of them on the sabbath , or on the holy day : and that we would leave the seventh year , and the exaction of every debt .
16:10:032:0	Also we made ordinances for us , to charge ourselves yearly with the third part of a shekel for the service of the house of our God ;
16:10:033:0	For the shewbread , and for the continual meat offering , and for the continual burnt offering , of the sabbaths , of the new moons , for the set feasts , and for the holy things , and for the sin offerings to make an atonement for Israel , and for all the work of the house of our God .
16:10:034:0	And we cast the lots among the priests , the Levites , and the people , for the wood offering , to bring it into the house of our God , after the houses of our fathers , at times appointed year by year , to burn upon the altar of the Lord our God , as it is written in the law :
16:10:035:0	And to bring the firstfruits of our ground , and the firstfruits of all fruit of all trees , year by year , unto the house of the Lord :
16:10:036:0	Also the firstborn of our sons , and of our cattle , as it is written in the law , and the firstlings of our herds and of our flocks , to bring to the house of our God , unto the priests that minister in the house of our God :
16:10:037:0	And that we should bring the firstfruits of our dough , and our offerings , and the fruit of all manner of trees , of wine and of oil , unto the priests , to the chambers of the house of our God ; and the tithes of our ground unto the Levites , that the same Levites might have the tithes in all the cities of our tillage .
16:10:038:0	And the priest the son of Aaron shall be with the Levites , when the Levites take tithes : and the Levites shall bring up the tithe of the tithes unto the house of our God , to the chambers , into the treasure house .
16:10:039:0	For the children of Israel and the children of Levi shall bring the offering of the corn , of the new wine , and the oil , unto the chambers , where are the vessels of the sanctuary , and the priests that minister , and the porters , and the singers : and we will not forsake the house of our God .
