2:30:001:1	Tsin bijeeh dilidgo łikání halchinii bikáá' náá'iiniihí
2:30:001:0	Bikáá' náá'iiniihí áníléehgo éí bikáa'jį' tsin bijeeh dilidgo łikání halchinii nááhániih doo biniyé tsin nitł'izii bee ádíílííł. 
2:30:002:0	T'ááłá'í ké siláádóó ná'áłníi'go áníłnéez doo, índa naaniigo t'ááłá'í ké siláádóó náá'áłníi'go áníłtéel doo; dik'ą́ą doo, nidi dego éí táá' ké silá ánízah doo; bidee' hadaaz'áa dooígíí bił t'áá ła' bizhi'ee ádíílííł. 
2:30:003:0	Óola t'áá bízhání bik'ídadííłtih; bikáá'dę́ę́' áádóó booshk'iizh naaz'áhígíí índa bidee' hadaaz'áa dooígíí ákódíílííł, áádóó ałdó' bibąąhgóó óola ahénálch'ah dooígíí ádíílííł. 
2:30:004:0	Índa biyaagi t'áá ałch'ishjí tsin níyizii ii' ní'áago bee naat'á biniyéhígíí bá óola názbąsgo bąąh dah sinilgo ádíílííł. 
2:30:005:0	Tsin nitł'izii níyizgo íinilaago óola bik'ésti'go ádíílííł. 
2:30:006:0	Áko tsits'aa' dílzinii éí neeznáago bik'eh ó'oo'níiłii bee bééhániihii bii' sinilii bidáahgi ata'naníbaalígíí éí bitsį́įgi nidíí'ááł; éí neeznáago bik'eh ó'oo'níiłii bee bééhániihii bikáa'gi aa a'ááh hasinii bił haz'ánígi t'áá ákwii nił ahínéisht'ash doo. 
2:30:007:0	Áko Éran éí t'áá ákwíí ábíní bikáá' náá'iiniihí bikáa'jį' tsin bijeeh dilidgo łikání halchinii jidiłid doo; bee dahool'inígíí baa áhojilyą́ągo éí łikání halchinii jidiłid doo, 
2:30:008:0	índa t'áá iná'át'ááh bik'eh Éran éí bee dahool'inígíí nízhdiiłtłi'go tsin bijeeh dilidgo łikání halchinii jidiłid doo, áko t'áá ákwíí jį́ tsin bijeeh dilidgo łikání halchinii éí Bóhólníihii binááł náádahołniihgo náás da'ahíínółchíih dooleeł. 
2:30:009:0	Tsin bijeeh dilidgo łikání halchinii doo dílzinígíí áádóó didlidgo nááhániihii áádóó ak'áán nááhániihii díí bikáá' náá'iiniihí bikáa'gi ts'ídá doo didoodlił da, índa yanáadzi'go nááhániihii doo bik'i yeidooził da. 
2:30:002:1	Béeso bee k'ééhodǫǫłgo á nináhályéii
2:30:010:0	Áádóó Éran éí ádił ni'iihdzíihii bee k'ééhoodǫǫłgo biniyé nááhániihii bidiłígíí bee díí bikáá' náá'iiniihí bidee' hadaaz'áhígíí níjiidlish; t'áá nináháhááh bik'eh bee á k'ééhodǫǫłii ánáyiil'įįhgo bikáá' náá'iiniihí bidee' dił yee náyiidlishgo náás da'ahíínółchíih dooleeł, áko Bóhólníihii bich'į' ts'ídá aláahgo dílzinii át'é. 
2:30:011:0	Bóhólníihii éí Mózes áyidííniid, 
2:30:012:0	Nizaad k'ehgo Ízrel dine'é ánéelt'e'gi bééhodoozįįłgo bi'déélta'ígíí t'ááłá'í jinítínígo t'áá hó Bóhólníihii bich'į' ádá nináhályéii nizhníláhígíí hoł da'éélta' doo, áko dahwííníłta'ígíí hatahgóó naałniih doo bee hach'į' nidahwii'náa da doo. 
2:30:013:0	Daho'déélta'ígíí t'ááłá'í jinítínígo nidahizhdoojihígíí éí díí: shékel wolyéii hodiyingo haz'ą́ą́ góne' choo'íinii bik'ehgo ałníí'dóó nidajiijáah doo; shékel wolyéii naadiin gíírah bíighah; díí shékel éí Bóhólníihii bich'į' nááhániih doo. 
2:30:014:0	Íighah dah dahizhdiikáahgo daho'déélta'ígíí naadiin hwéédááhaidóó degoígíí t'áá ádzíłtso éí Bóhólníihii díí baa dahizhdidoo'ááł. 
2:30:015:0	Ádá nináhályéii nijiléego nihitahgóó da'jit'íinii béeso shékel ałníí' biláahgo, doodaii' hadahojoobá'ígíí ałdó' ałníí' t'áá bi'ohgo, doo Bóhólníihii baa nídahizhdi'aah da doo; éí bee nihá k'ééhoodǫǫłii át'é. 
2:30:003:1	Bii' tá'ádígisí
2:30:016:0	Ízrel dine'é bits'ą́ą́dóó béeso bee á k'ééhojooldǫǫłii nídidííniłgo níbaal bii' dahozdísinii bii' choo'į́į doogo ats'ádíínił; éí bee Ízrel dine'é yénálniihgo Bóhólníihii binááł ákót'ée doo; éí nihá bee k'ééhoodǫǫłii át'é. 
2:30:017:0	Bóhólníihii éí Mózes áyidííniid, 
2:30:018:0	Bii' tá'ádígisí bii' tá'ádazdigis doo biniyé índa bá si'ánígíí béésh łitsoii bee ádíílííł, áádóó níbaal bii' dahozdísinii índa bikáá' náá'iiniihí bita'gi nidíí'áałgo tó bee nidííkááł. 
2:30:019:0	Ákwii Éran áádóó biye'ké dabíla' índa dabikee' tánínádeigis doo. 
2:30:020:0	Níbaal bii' dahozdísinii góne' yah anídaakahgo átsé tá'ánídadigisgo, áko doo dadínóonéeł da, doodaii' bikáá' náá'iiniihí yich'į' ninádaakahgo shá nidaal'a'go Bóhólníihii yich'į' didlidgo nááhániihii náádayiiłniih doo biniyé, 
2:30:004:1	Ak'ah ak'i yahiidzíidgo bee alzį́įhii áádóó tsin bijeeh dilidgo łikání halchinii
2:30:021:0	áko dabíla' áádóó dabikee' tánínádeigis doo, áko doo dadínóonéeł da; éí yee nihoní'áanii ahóyéel'áágóó bá át'ée doo; bí áádóó biye'ké bits'ą́ą́dóó náás ahoolchíiłii bá át'ée doo. 
2:30:022:0	Náá'áłdó' Bóhólníihii éí Mózes áyidííniid, 
