2:31:001:1	Biizáliyel áádóó Ahóliyab bíká ahodoo'niid
2:31:001:0	Bóhólníihii éí Mózes áyidííniid, 
2:31:002:0	Shoo, Yúrai biye' Biizáliyel wolyéii yízhi'go bik'i diish'nii'. Yúrai éí Her biye' jílį́įgo Júdah dine'é jílį́. 
2:31:003:0	Áko Biizáliyel bíni' bíighahgo Diyin God biNíłch'i Diyinii bii' hólǫ́ǫgo áádóó hóyą́ągo índa ak'idi'yiitįįhgo áádóó bił ééhózingo índa naanish ał'ąą ádaat'éii yiyiichįįhgo íishłaa, 
2:31:004:0	áko na'ach'ąąh yindoolnishii yinaha'áa doo; éí óola áádóó béésh łigaii índa béésh łitsoii bee ázhdoolííł; 
2:31:005:0	tsé da'ílíinii bee hazhdidoolííł áádóó tsin nijik'ęęhgo bee nizhdooch'ąh biniyé hasht'ezhdoolííł, áko naanish ał'ąą ádaat'éii binizhdoolnish. 
2:31:006:0	Áádóó, jó, Ahóliyab bił nijilnish doo biniyé nídiiłtį́; éí Ahísamak biye' jílį́įgo Dan dine'é jílį́; diné da'iichįįhii t'áá ałtso bee hódzáanii baa diní'ą́, áko bee ná hooł'a'ígíí t'áá ałtso bidazhdoolííł; 
2:31:007:0	éí níbaal bii' dahozdísinii áádóó tsits'aa' dílzinii éí neeznáago bik'eh ó'oo'níiłii bee bééhániihii bii' sinilii áádóó Diyin God aa a'ááh nízinii bił haz'áanii índa níbaal bii' hodílzinii bii' chodao'íinii t'áá ałtso ádazhdoolííł 
2:31:008:0	índa Diyin God bich'į' bááh nááhániihii bikáá' adání bá si'áanii áádóó chodao'íinii áádóó bee hool'iní bá yadaa'áii t'áá bízhání áádóó bił chodao'íinii t'áá ałtso índa tsin bijeeh dilidgo łikání halchinii bikáá' náá'iiniihí bá ádoolníłígíí ádazhdoolííł. 
2:31:009:0	Náá'áłdó' bikáá' náá'iiniihí éí didlidgo nááhániihii bá ádoolníłígíí áádóó bii' tá'ádazdigisgo bá si'ánígíí t'áá bił ádazhdoolííł, 
2:31:010:0	áádóó éé' ts'ídá yá'át'éehgo ádazhdoolííł; éí éé' dadílzingo Éran náá'iiłniihii bá, áádóó biye'ké ałdó' daabá; éí yiih nídaakahgo shá nidaal'a'go nááda'iiłniihii danilį́į doo biniyé ádazhdoolííł, 
2:31:002:1	Háá'áyį́į́h jį́ éí bee ééhózinii át'é
2:31:011:0	áádóó índa ak'ah ak'i yahiidzíidgo bee alzį́įhii índa tsin bijeeh dilidgo łikání halchinii éí hodiyingo haz'ánígi choo'į́į dooleełígíí ádazhdoolííł; bee nich'į' haasdzí'ígíí t'áá ałtso bik'ehgo ádajit'į́į doo. 
2:31:012:0	Áko Bóhólníihii éí Mózes áyidííniid, 
2:31:013:0	Ízrel dine'é kóbididííniił, Shiháá'áyį́į́h jínígíí hodiyingo ádayínóhsin doo, háálá náás da'ahidoołchį́į́góó nihita'gi éí bee ééhózinii át'é, áko shí Bóhólníihii nishłį́įgo diyingo ninihidiish'aahígíí nihił béédahózin doo. 
2:31:014:0	Háá'áyį́į́h jínígíí hodiyingo ádayínóhsin doo, háálá diyingo nihá ályaa. T'áá háiida éí jííłchxǫ'ígíí t'óó hodi'yoolyééł; t'áá háiida háá'áyį́į́h jį́į́ góne' nijilnishígíí hadine'é bits'ą́ąjį' hodi'yoolyééł. 
2:31:015:0	Hastą́ą́h jį́ t'éí na'anish dooleeł, nidi tsosts'id jínígíí éí háá'áyį́į́h jį́ át'éego dílzin; Bóhólníihii bich'į'go hodílzin; ła' háá'áyį́į́h jį́į́ góne' t'áá ha'át'éegoda nijilnishígíí t'óó hodi'yoolyééł. 
2:31:016:0	Éí bąą Ízrel dine'é danilíinii háá'áyį́į́h jínígíí deidísin doo; náás da'ahideeshchį́į́góó háá'áyį́į́h jínígíí deidísin dooígíí yéédaalniih doo; éí hool'áágóó bee aha'deet'ą́. 
2:31:003:1	Béégashii yáázh óola bee ályaaígíí
2:31:017:0	Éí shí áádóó Ízrel dine' é danilíinii nihita'gi hool'áágóó bee ééhózinii át'é, háálá Bóhólníihii hastą́ą́h jį́įjį' yádiłhił índa nahasdzáán áyiilaa, áko tsosts'id jį́į́ góne' hanáályį́į'go chánah silį́į́'.  
2:31:018:0	Áádóó índa Dził Sáínai bighą́ą'di Diyin God ałtso Mózes yich'į' haadzíi'go tsé dilkǫǫhii naakigo bikáa'gi neeznáago bik'eh ó'oo'níiłii bee bééhániihii Mózes yeinínil; éí Diyin God t'áá bí bíla' yee yik'e'ashchį́.
