2:15:001:1	Mózes biyiin
2:15:001:0	Ákohgo Mózes índa Ízrel dine'é díí sin yee Bóhólníihii yich'į' dahóótáál kódaaníigo, Bóhólníihii bich'į' hashtaał doo, háálá bí ayóó át'éego ak'eh deesdlį́į́';łį́į́' áádóó bik'i dah nidzizdáii tónteel yiih hwiistł'ííd. 
2:15:002:0	Bóhólníihii éí bee shidziilii áádóó shiyiin nilį́, k'ad bee yisdééyáii silį́į́', bí shiDiyin God nilį́, áádóó baa hashniih doo; shizhé'é yę́ę biDiyin God nilį́; éí ayóó át'éego íínísin doo. 
2:15:003:0	Bóhólníihii éí diné anaa' yik'eh didlíinii nilį́, Bóhólníihii bee bi'dójí. 
2:15:004:0	Féro bitsindaabąąs bijáád naakiígíí áádóó bisiláo éí tónteel yiih yiyiistł'ííd,áádóó bisiláo binanit'a'í ts'ídá aláahgo dahayóí yę́ę Tónteel Łichíí' bii' tó bííghą́ą́'. 
2:15:005:0	Tó ditáanii bik'i diilkǫ'go tségi át'éego táłtł'ááh níídee'. 
2:15:006:0	Bóhólníihii nílíinii, níla' nish'náájí bee ayóó ánít'éego nidziil;Bóhólníihii nílíinii, níla' nish'náájí bee ana'í ahiih néíníghą́ą́'. 
2:15:007:0	Áko ayóó át'éego ts'ídá aláahdi ánít'éii beego nik'ijį' danilíinii bik'eh dínídlį́į́';bich'į' náhóóchįįdgo tł'oh behégod nahalingo adíídeez. 
2:15:008:0	Níníí'dę́ę́' bee náhidíyoołii bee tó ahąh íinilaa;tó ałt'ah nehegeehgo nídiidzá;tó ditáanii bitł'áahjį'go tónteel yíníłtł'is. 
2:15:009:0	Ana'í danilíinii ádaaní,Bikéé' adii'nééł; bídiilnééł; bindaalye'é dadiilnéełgo ałts'ádadi'dii'nił;bídin daniidlíinii bee hwiih dadiidleeł;nihidiltłish bee ádahodiildįįł. 
2:15:010:0	Nits'ą́ą́dę́ę́' hááyolígíí bee tónteel hak'i dadiilkǫ';béésh diłhį́hígi át'éego tó ayóó ábóodziilii bitł'ááshníídee'. 
2:15:011:0	Bóhólníihii nílíinii, háishą' diyin dabidi'níinii bitahgóó nigi át'é?Háishą' nigi át'éego ayóó át'éego dílzin, t'óó bik'e'íyée'go baa ha'niih; t'óó bik'eda'ayóii áyoolííł? 
2:15:012:0	Ninish'náájí bee dah dinilnii'go nahasdzáán adabiisna'. 
2:15:013:0	Bee'aa a'ááh nínízinii bee diné ch'ííní'eezhígíí yisdéínínil;yí'ishígíí nihodiyingo haz'ą́ąjį' nidziil bee ííní'eezh. 
2:15:014:0	Ał'ąą dine'é da'diizts'ą́ą'go bitah dahoditłid doo;Filístiya kéyahdi kéédahat'íinii yínííł yiih dínóodah. 
2:15:015:0	Íídam dine'é binanit'a'í t'óó bił yéé' dahodooleeł;Mó'ab kéyahdóó diné ayóó ádaat'éii atah hoditłid yiih dínóodah;Kéínan kéyahdi kéédahat'íinii nisidookah. 
2:15:016:0	Yéé' índa náhádzid bik'iidooldoh; nigaan ayóó át'éii bik'ee tsé doohaamáasii nahalingo doo nidajii'náa da doo, Bóhólníihii nílíinii,nidine'é háíní'nilígíí tsé'naa niikaijį' ákót'ée doo. 
2:15:017:0	Éí yah ahodíí'ishgo t'áá ni nidził dooleełígi k'idahodidíílééł;Bóhólníihii nílíinii, kééhót'į́į doogo áhwiinilaagi,éí hodiyingo haz'ánígíí, Bóhólníihii nílíinii,t'áá ni níla' bee hasht'ehwiinilaagi bohoníłdzilgo k'idahodidíílééł. 
2:15:002:1	Míriyam biyiin
2:15:018:0	Bóhólníihii hool'áágóó bóhólníihgo ahóyéel'áa doo. 
2:15:019:0	Jó, Féro bilį́į́' áádóó bitsindaabąąs bijáád naakiígíí índa łį́į́' yee nidaabaahii éí tónteel yiih yíná áádóó Bóhólníihii éí tónteel hak'ijį' anáyííłk'ol, nidi Ízrel dine'é t'éiyá tónteel biyi' ni' yíłtseii bikáá' ha'naa niníná. 
