2:22:001:1	Niná'iilyééjí bee nahaz'áanii
2:22:001:0	Diné ła'da béégashii, doodaii' dibé yineez'į́į'go áádóó yiyiisxį́įgo, doodaii' baa nahaznii'go hó éí béégashii jineez'į́'ígíí béégashii ashdla' ninázh'doodlééł; dibé jineez'į́'ígíí dibé dį́į́' ninázh'doodlééł. 
2:22:002:0	Índa ani'įįhii yah ii'néehii habi'deel'į́į'go bił nidzílghaal ládą́ą́' bidiłígíí doo ła'da bee bohodidoot'ih da. 
2:22:003:0	Nidi ha'íí'ą́ągo ani'įįhii jiisxį́įgo bidił bee hohodidoot'ih. Azneez'į́'ígíí t'ahdii jiináago diné bich'į' ałtso ninázh'doodlééł, nidi bee ninázh'doodléełii ádingo azneez'į́'ígíí biniinaa nahodi'yoolnih. 
2:22:004:0	Áko neest'į́į'ii éí béégashii, doodaii' télii, doodaii' dibé t'áá hináago bił habi'deel'į́į́' ládą́ą́' éí ahą́ą́h nániiláago ninázh'doodlééł. 
2:22:005:0	Áko diné éí náánáła' diné bidá'ák'ehjį', doodaii' bich'il na'atł'o'ii yíl'áajį' halį́į́' yah ajííłt'e'go ííłchozhgo t'áá hó hadá'ák'ehdóó aneest'ą' ts'ídá yá'ádaat'éhígíí, doodaii' t'áá hó hach'il na'atł'o'ii yíl'áádóó aneest'ą' ts'ídá yá'ádaat'éhígíí ninázh'doodlééł. 
2:22:006:0	Hodiiltłahgo ch'il ahoshí adíík'ą́ą'go tł'oh naadą́ą́' bida'astł'ónígíí, doodaii' tł'oh naadą́ą́' yíl'áhígíí, doodaii' dá'ák'ehgóó hodíílidgo éí iihozhdíínilígíí t'áá aaníí nályééh ninázh'doodlééł. 
2:22:007:0	Diné ła'da éí béeso, doodaii' naalyéhé bił kééhojit'íinii ba'ałk'ee nizhnínilgo, nít'éé' bighandóó neest'į́į'go aneez'į́į'ii bénálkáa'go bíni'dii ahą́ą́h nániiláago niná'doodlééł. 
2:22:008:0	Nidi aneez'į́į'ii t'áadoo bénálkáá'góó kin bee hóhólníhígíí ándahwii'aahii baa hodi'doodlóós; éí bił kééhojit'íinii binaalye'é daats'í dzidínées'į́į'go bił bééhodoozįįł. 
2:22:009:0	T'áá ha'át'íhída baa saad hólóonii éí béégashii, doodaii' télii, doodaii' dibé, doodaii' bee ha'dít'éii, doodaii' t'áá ha'át'íhída yóó'eeldéelgo ła'da eii shí nít'éé' níigo yaa nitsi'níłdéelgo t'áá ájíłah ándahwii'aahii baa hodi'doot'ishgo t'áá háiida ádihodiilt'i'go ándahwii'aahii bá nihodoo'áałgo bił kééhojit'íinii ahą́ą́h nániiláago bich'į' ninázh'doodlééł. 
2:22:010:0	Diné ła'da hatélii, doodaii' habéégashii, doodaii' hadibé, doodaii' halį́į́' bił kééhojit'íinii ba'ałk'ee nizhníłtį́įgo nít'éé' daaztsą́ągo, doodaii' haada yidzaago, doodaii' yóó'anoolchą́ą'go, nidi t'áadoo haideel'į́'í dago 
2:22:011:0	éí Bóhólníihii binááł bił kééhojit'íinii binaalye'é t'áadoo haada jiilaaígíí bee ádee hazdidoodzih, áádóó bíí' ílíinii lą́ didooniił, áko doo ninázh'doodléeł da. 
2:22:012:0	Nidi bee neest'į́į'go éí bíí' ílíinii bich'į' ninázh'doodlééł. 
2:22:013:0	Naaldlooshii hashkéii biisxį́įgo háni'dii bitsį' yidzí'ígíí bee bééhózin doo biniyé nízhdoojih, áko doo ninázh'doodléeł da. 
2:22:014:0	Áádóó diné ła'da bił kééhojit'íinii alį́į́' ha'níłtį́įgo, nít'éé' haada yidzaago, doodaii' daaztsą́ągo bíí' ílíinii doo ákwii naagháágóó éí t'áá aaníí ninázh'doodlééł. 
2:22:002:1	Diné áda'ahó'níi dooleełgi áádóó binahagha' bee nahaz'áanii
2:22:015:0	Nidi bíí' ílíinii ákwii naagháago doo ninázh'doodléeł da. Adeenáago alį́į́' a'íltį́įgo t'áá íídą́ą́' bilį́į́' ílíinii bich'į' na'ílyá. 
2:22:016:0	Diné ła'da ch'ikę́ę́h doo baa yíltíinii yi'deezlo'go yił neezhtéezhgo éí hwe'asdzą́ą́ doogo t'áá aaníí bizhé'é bich'į' yigééh nizh'doolééł. 
2:22:017:0	Nidi bizhé'é t'áá íiyisí doo haa hodooltéeł da, níigo ch'ikéí t'ah doo diné bee dahaleehii bik'é nahalyéii béeso ánéelt'e'ígíí bik'ehgo nizh'doolééł.  
2:22:018:0	Asdzání azhdiłgąshii ts'ídá doo jiináa da doo. 
2:22:019:0	T'áá háiida alį́į́' bił jineezhtéézhígíí t'áá aaníí hodi'yoolyééł.  
2:22:020:0	T'áá háiida diyin dabidi'níinii yich'į' náá'iiłniihgo t'áá hazhó'ó doo Bóhólníihii t'éí yich'į' náá'iiłniihgóó nidi éí t'áá aaníí ábidi'dooldįįł.  
2:22:021:0	Dé'éyóní t'áadoo biná'ílo'go bide áhwíínísiní, háálá Ííjip kéyahdi nihí łah dé'éyóní danohłį́į́ nít'éé'. 
2:22:022:0	Asdzání bąąh áhásdįįdii, doodaii' áłchíní bizhé'é ádinii t'áadoo bide ádahwíínóhsiní. 
2:22:023:0	Ha'át'éegoda bide ádahwíínóhsingo shich'į' daachago t'áá aaníí daachago dideests'į́į́ł. 
2:22:024:0	Áko t'áá íiyisí shá hodoochįįłgo diltłish bee nanihideestsxiłgo nihida'asdzą́ą́ bąąh áhásdįįdii índa niha'áłchíní bizhé'é ádaadinii dadooleeł. 
2:22:025:0	Shidine'é bił kééhót'íinii badahojoobá'ígíi nidi ła' béeso ba'íínínil ládą́ą́' ínáóltą'í biniyé béeso ada'iiníłígi át'éego éí dooda; doo ła' bá bínéidíí'áał da. 
2:22:026:0	Bił kééhót'íinii bi'éé' nąąh niiníłtsoozgo t'áadoo e'e'aahí bi'éé' baa nídííłtsos. 
2:22:027:0	Háálá éí t'éí yiih nádááh; éí t'éí yee áká nálzis; ha'át'íí yikáá' nánítéeh doo? Jó, ákódzaago shich'į' yichago dideests'į́į́ł, háálá shí éí jooshba'.  
2:22:028:0	Diyin God t'áadoo baa'ihgo baa yáníłti'í, doodaii' nidine'é binanit'a'í nidi doo hóyée'go bá hadíídzih da.  
2:22:029:0	Aneest'ą' dasinoołt'áanii áádóó ch'il na'atł'o'ii bineest'ą' bitoo' dahólóonii alą́ąjį' náníníłt'áanii náádiyííłnihígíí t'ááká bił náás hodólzhíísh lágo.Nihiye'ké alą́ąjį' nihá daazhchíinii shaa dahohnííł. 
2:22:030:0	T'áá ákót'éego béégashii índa dibé ałdó' ákódaał'į́į doo; áłtsé yizhchíinii tsosts'id yiską́ąjį' bimá yił naa'aash doo; tseebíí yiską́ągo shaa dííłtééł. 
2:22:031:0	Áko nihí diné diyinii shá danohłį́į doo; éí bąą halgaidi naaldlooshii hashkéii biisxíinii doo dadoohsį́įł da; t'óó łééchąą'í bich'į' adahołtł'iid doo.
