2:3:001:1	Mózes bíká ahodoo'niid
2:3:001:0	Ákohgo Mózes baadaaní jílíní Jéthro wolyéii bilį́į́' bá baa áhojilyą́; éí Mídiyan hoolyéédóó náá'iiłniihii nilį́įgo bilį́į́' dashdíníiłkaadgo e'e'aahjigo honoojíígóó Diyin God biDził Hóreb hoolyéejį' izh'nííłkaad. 
2:3:002:0	Áko Bóhólníihii bidiyingo naal'a'í hach'į' yit'íní í'diilyaa; dówózhii biyi'dóó kǫ' dah nídína'go jiníł'į́įgo dówózhii doo adik'ą́ą́hgóó diltłi' lá. 
2:3:003:0	Áko Mózes ání, Haa'íyee' bich'į' nideeshááł; díí ayóó át'éii nísh'ínígíí haléit'éego doo adik'ą́ąh da. 
2:3:004:0	Éí bich'į' nizhníyáago jinééł'į́į'go Diyin God hoołtsą́ągo dówózhii diltłi'ígíí biyi'dę́ę́' áhá łní, Mózes, Mózes. Áko ázhdííniid, Kǫ́ǫ́ sézį́. 
2:3:005:0	Áádóó áhodííniid, T'áadoo wóshdę́ę́' hidínáhí; nikee' hadiidlé, háálá sínízínígi hodiyingo haz'ą́. 
2:3:006:0	Áko ánáádí'ní, Danizhé'é yę́ę biDiyin God ásht'į́: Éíbraham biDiyin God áádóó Áízak biDiyin God índa Jéíkab biDiyin God nishłį́. Áko Mózes hanii' bich'ą́ą́h nizhdeelnii', háálá Diyin God bik'izhdooghał yę́ę béédzísdzííd. 
2:3:007:0	Áko Bóhólníihii ání, T'áá aaníí Ííjip kéyahdi shidine'é ti'dahooníihgo yiiłtsą́, áádóó naanish binanit'a'í danilíinii yik'ee daachago ałdó' diséts'ą́ą́', háálá yik'ee ti'dahooníhígíí shił bééhózin. 
2:3:008:0	Éí bąą Ííjip dine'é bílák'ee hááhodeesh'nił biniyé hadahóóle' áádóó kéyahdóó yá'áhoot'éehjį' áádóó hótsaa haz'ą́ąjį' ch'íhodeesh'ish; éí kéyah yá'áhoot'éehgi abe' índa tsés'ná bitł'izh bee áda'azįįdgo haz'ą́ąjį', Kéínan dine'é áádóó Het dine'é áádóó Ámor dine'é áádóó Píírez dine'é áádóó Háíva dine'é índa Jííbas dine'é dabikédaayahjį' yah ahodeesh'ish. 
2:3:009:0	Éí bąą k'ad, shoo, Ízrel dine'é shich'į' daachago diséts'ą́ą́', áko Ííjip dine'é bide ádeinízingo ti'dabiyoołníihgo t'áá íiyisí bide ádahósingo yiiłtsą́. 
2:3:010:0	Éí bąą k'ad tį', Féro bich'į' nihééndeesh'aał, áko shidine'é Ízrel dine'é danilíinii Ííjip kéyahdę́ę́' ch'ídíí'ish. 
2:3:011:0	Áko Mózes éí Diyin God ábizhdííniid, Hádą́ą́' lá shígi át'éii Féro yich'į' deeyáago Ííjip kéyahdę́ę́' Ízrel dine'é ch'íiní'eezh! 
2:3:012:0	Diyin God ánááhodoo'niid, T'áá aaníí nił honishłǫ́ǫ doo, áko díí bee nich'į' ééhózin doo; éí shí nííł'aadgo Ííjip kéyahdóó diné ch'ínéíní'eezhgo díí dził bighą́ą'di Diyin God bich'į' nidahohłáa doo. 
2:3:013:0	Áko Mózes éí Diyin God ánéidoo'niid, Shoo, Ízrel bidine'é baa níyáago ko daats'í ábidideeshniił, Danihizhé'é yę́ę biDiyin God nihaa shiníł'a', dííniidgo ádashididooniił, Haashą' wolyé? Áko ha'át'íishą' bidideeshniił? 
2:3:014:0	Diyin God éí Mózes áyidííniid, Ásht'ínígíí t'áá éí ásht'į́. Áko ánáádoo'niid, Ízrel dine'é kóbididííniił, Ásht'į́ nínígíí t'áá éí nihaa shiníł'a'. 
2:3:015:0	Áko Diyin God éí Mózes ánááyidoo'niidgo ání, Díí Ízrel dine'é kóbididííniił, Danihizhé'é yę́ę biBóhólníihii Diyin God, Éíbraham biDiyin God áádóó Áízak biDiyin God índa Jéíkab biDiyin God nihaa shiníł'a'. Díí shízhi'go ahool'áa doo, índa náás adideezhchį́į́góó ts'ídá bee shééhániih doo, ní. 
